




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (773)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
response to lipid (GO:0033993)	523	49	28.38	+	1.73	2.06E-04
response to brassinosteroid (GO:0009741)	75	7	4.07	+	1.72	1.18E-01
iron ion homeostasis (GO:0055072)	43	4	2.33	+	1.71	2.07E-01
organophosphate ester transport (GO:0015748)	43	4	2.33	+	1.71	2.07E-01
cellulose biosynthetic process (GO:0030244)	43	4	2.33	+	1.71	2.07E-01
regulation of cell communication (GO:0010646)	258	24	14.00	+	1.71	8.74E-03
negative regulation of RNA metabolic process (GO:0051253)	194	18	10.53	+	1.71	2.16E-02
response to abscisic acid (GO:0009737)	399	37	21.65	+	1.71	1.42E-03
carbohydrate derivative transport (GO:1901264)	54	5	2.93	+	1.71	1.73E-01
vitamin biosynthetic process (GO:0009110)	54	5	2.93	+	1.71	1.73E-01
peptidyl-proline modification (GO:0018208)	54	5	2.93	+	1.71	1.73E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	314	29	17.04	+	1.70	4.67E-03
glutathione metabolic process (GO:0006749)	65	6	3.53	+	1.70	1.46E-01
response to alcohol (GO:0097305)	403	37	21.87	+	1.69	1.68E-03
nucleoside phosphate metabolic process (GO:0006753)	229	21	12.43	+	1.69	1.56E-02
purine-containing compound metabolic process (GO:0072521)	186	17	10.09	+	1.68	2.83E-02
xyloglucan metabolic process (GO:0010411)	55	5	2.98	+	1.68	1.82E-01
plant-type cell wall modification (GO:0009827)	55	5	2.98	+	1.68	1.82E-01
beta-glucan biosynthetic process (GO:0051274)	55	5	2.98	+	1.68	1.82E-01
cellular divalent inorganic cation homeostasis (GO:0072503)	55	5	2.98	+	1.68	1.82E-01
amino acid transport (GO:0006865)	44	4	2.39	+	1.68	2.19E-01
histidine biosynthetic process (GO:0000105)	11	1	.60	+	1.68	4.50E-01
secretion by cell (GO:0032940)	44	4	2.39	+	1.68	2.19E-01
plant-type cell wall organization or biogenesis (GO:0071669)	209	19	11.34	+	1.68	2.23E-02
glycolipid metabolic process (GO:0006664)	33	3	1.79	+	1.68	2.67E-01
glycerophospholipid metabolic process (GO:0006650)	121	11	6.57	+	1.68	6.98E-02
valine metabolic process (GO:0006573)	22	2	1.19	+	1.68	3.35E-01
L-phenylalanine catabolic process (GO:0006559)	11	1	.60	+	1.68	4.50E-01
histidine metabolic process (GO:0006547)	11	1	.60	+	1.68	4.50E-01
ATP transport (GO:0015867)	11	1	.60	+	1.68	4.50E-01
ADP transport (GO:0015866)	11	1	.60	+	1.68	4.50E-01
C4-dicarboxylate transport (GO:0015740)	22	2	1.19	+	1.68	3.35E-01
ribonucleoside catabolic process (GO:0042454)	11	1	.60	+	1.68	4.50E-01
cellular response to carbohydrate stimulus (GO:0071322)	44	4	2.39	+	1.68	2.19E-01
negative regulation of photosynthesis (GO:1905156)	11	1	.60	+	1.68	4.50E-01
establishment of plastid localization (GO:0051667)	22	2	1.19	+	1.68	3.35E-01
isoprenoid catabolic process (GO:0008300)	22	2	1.19	+	1.68	3.35E-01
cellular response to toxic substance (GO:0097237)	33	3	1.79	+	1.68	2.67E-01
sphingoid metabolic process (GO:0046519)	11	1	.60	+	1.68	4.50E-01
sulfate transport (GO:0008272)	11	1	.60	+	1.68	4.50E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	11	1	.60	+	1.68	4.50E-01
cellular response to sulfate starvation (GO:0009970)	11	1	.60	+	1.68	4.50E-01
nicotinamide nucleotide metabolic process (GO:0046496)	11	1	.60	+	1.68	4.50E-01
phosphatidylglycerol metabolic process (GO:0046471)	11	1	.60	+	1.68	4.50E-01
chloroplast relocation (GO:0009902)	22	2	1.19	+	1.68	3.35E-01
protein repair (GO:0030091)	22	2	1.19	+	1.68	3.35E-01
regulation of proteasomal protein catabolic process (GO:0061136)	22	2	1.19	+	1.68	3.35E-01
long-day photoperiodism, flowering (GO:0048574)	11	1	.60	+	1.68	4.50E-01
regulation of chlorophyll biosynthetic process (GO:0010380)	11	1	.60	+	1.68	4.50E-01
embryonic axis specification (GO:0000578)	11	1	.60	+	1.68	4.50E-01
leaf vascular tissue pattern formation (GO:0010305)	22	2	1.19	+	1.68	3.35E-01
response to nutrient (GO:0007584)	11	1	.60	+	1.68	4.50E-01
floral organ morphogenesis (GO:0048444)	33	3	1.79	+	1.68	2.67E-01
regulation of post-embryonic root development (GO:2000069)	11	1	.60	+	1.68	4.50E-01
negative regulation of cell cycle (GO:0045786)	44	4	2.39	+	1.68	2.19E-01
production of ta-siRNAs involved in RNA interference (GO:0010267)	11	1	.60	+	1.68	4.50E-01
response to UV-C (GO:0010225)	11	1	.60	+	1.68	4.50E-01
regulation of phosphorelay signal transduction system (GO:0070297)	22	2	1.19	+	1.68	3.35E-01
shade avoidance (GO:0009641)	11	1	.60	+	1.68	4.50E-01
regulation of tetrapyrrole biosynthetic process (GO:1901463)	11	1	.60	+	1.68	4.50E-01
RNAi-mediated antiviral immune response (GO:0009616)	11	1	.60	+	1.68	4.50E-01
pyrimidine ribonucleoside metabolic process (GO:0046131)	11	1	.60	+	1.68	4.50E-01
response to nitrate (GO:0010167)	22	2	1.19	+	1.68	3.35E-01
regulation of ethylene-activated signaling pathway (GO:0010104)	22	2	1.19	+	1.68	3.35E-01
pyridine nucleotide biosynthetic process (GO:0019363)	11	1	.60	+	1.68	4.50E-01
detection of abiotic stimulus (GO:0009582)	22	2	1.19	+	1.68	3.35E-01
detection of external stimulus (GO:0009581)	22	2	1.19	+	1.68	3.35E-01
cellular response to aldehyde (GO:0110096)	11	1	.60	+	1.68	4.50E-01
liposaccharide metabolic process (GO:1903509)	33	3	1.79	+	1.68	2.67E-01
glycerolipid metabolic process (GO:0046486)	145	13	7.87	+	1.65	5.67E-02
transition metal ion transport (GO:0000041)	67	6	3.64	+	1.65	1.60E-01
divalent inorganic cation homeostasis (GO:0072507)	67	6	3.64	+	1.65	1.60E-01
cellular metal ion homeostasis (GO:0006875)	112	10	6.08	+	1.65	8.86E-02
membrane lipid biosynthetic process (GO:0046467)	56	5	3.04	+	1.65	1.91E-01
organophosphate metabolic process (GO:0019637)	472	42	25.61	+	1.64	1.52E-03
response to light stimulus (GO:0009416)	540	48	29.30	+	1.64	7.38E-04
glucan biosynthetic process (GO:0009250)	102	9	5.54	+	1.63	1.08E-01
negative regulation of response to biotic stimulus (GO:0002832)	34	3	1.85	+	1.63	2.81E-01
quinone biosynthetic process (GO:1901663)	34	3	1.85	+	1.63	2.81E-01
quinone metabolic process (GO:1901661)	34	3	1.85	+	1.63	2.81E-01
negative regulation of response to external stimulus (GO:0032102)	34	3	1.85	+	1.63	2.81E-01
positive regulation of response to stimulus (GO:0048584)	193	17	10.47	+	1.62	3.78E-02
generation of precursor metabolites and energy (GO:0006091)	284	25	15.41	+	1.62	1.41E-02
purine nucleoside bisphosphate metabolic process (GO:0034032)	57	5	3.09	+	1.62	2.00E-01
polysaccharide biosynthetic process (GO:0000271)	171	15	9.28	+	1.62	5.02E-02
microtubule-based movement (GO:0007018)	57	5	3.09	+	1.62	2.00E-01
organophosphate catabolic process (GO:0046434)	57	5	3.09	+	1.62	2.00E-01
ribonucleoside bisphosphate metabolic process (GO:0033875)	57	5	3.09	+	1.62	2.00E-01
nucleoside bisphosphate metabolic process (GO:0033865)	57	5	3.09	+	1.62	2.00E-01
cellular response to chemical stimulus (GO:0070887)	836	73	45.37	+	1.61	5.70E-05
nucleotide metabolic process (GO:0009117)	218	19	11.83	+	1.61	3.22E-02
aerobic respiration (GO:0009060)	69	6	3.74	+	1.60	1.76E-01
unsaturated fatty acid biosynthetic process (GO:0006636)	23	2	1.25	+	1.60	3.55E-01
DNA mediated transformation (GO:0009294)	23	2	1.25	+	1.60	3.55E-01
genetic transfer (GO:0009292)	23	2	1.25	+	1.60	3.55E-01
multi-organism cellular process (GO:0044764)	23	2	1.25	+	1.60	3.55E-01
positive regulation of cell death (GO:0010942)	23	2	1.25	+	1.60	3.55E-01
cellular response to cytokinin stimulus (GO:0071368)	46	4	2.50	+	1.60	2.41E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	23	2	1.25	+	1.60	3.55E-01
inflorescence development (GO:0010229)	23	2	1.25	+	1.60	3.55E-01
response to insect (GO:0009625)	23	2	1.25	+	1.60	3.55E-01
cellular response to oxygen-containing compound (GO:1901701)	415	36	22.52	+	1.60	4.72E-03
cellular response to organic substance (GO:0071310)	531	46	28.82	+	1.60	1.56E-03
regulation of post-embryonic development (GO:0048580)	254	22	13.78	+	1.60	2.39E-02
negative regulation of RNA biosynthetic process (GO:1902679)	185	16	10.04	+	1.59	4.90E-02
negative regulation of transcription, DNA-templated (GO:0045892)	185	16	10.04	+	1.59	4.90E-02
negative regulation of nucleic acid-templated transcription (GO:1903507)	185	16	10.04	+	1.59	4.90E-02
cellular cation homeostasis (GO:0030003)	139	12	7.54	+	1.59	8.08E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	232	20	12.59	+	1.59	3.14E-02
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	232	20	12.59	+	1.59	3.14E-02
regulation of multicellular organismal development (GO:2000026)	267	23	14.49	+	1.59	2.24E-02
response to radiation (GO:0009314)	559	48	30.34	+	1.58	1.49E-03
glycosylation (GO:0070085)	140	12	7.60	+	1.58	8.41E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	35	3	1.90	+	1.58	2.96E-01
ketone biosynthetic process (GO:0042181)	35	3	1.90	+	1.58	2.96E-01
glucose metabolic process (GO:0006006)	35	3	1.90	+	1.58	2.96E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	210	18	11.40	+	1.58	4.14E-02
carbohydrate metabolic process (GO:0005975)	713	61	38.69	+	1.58	3.92E-04
negative regulation of cell communication (GO:0010648)	82	7	4.45	+	1.57	1.62E-01
negative regulation of signaling (GO:0023057)	82	7	4.45	+	1.57	1.62E-01
negative regulation of signal transduction (GO:0009968)	82	7	4.45	+	1.57	1.62E-01
tropism (GO:0009606)	82	7	4.45	+	1.57	1.62E-01
response to extracellular stimulus (GO:0009991)	212	18	11.50	+	1.56	4.46E-02
phospholipid metabolic process (GO:0006644)	177	15	9.61	+	1.56	6.33E-02
energy derivation by oxidation of organic compounds (GO:0015980)	118	10	6.40	+	1.56	1.14E-01
positive regulation of catalytic activity (GO:0043085)	59	5	3.20	+	1.56	2.19E-01
sterol metabolic process (GO:0016125)	59	5	3.20	+	1.56	2.19E-01
response to cytokinin (GO:0009735)	83	7	4.50	+	1.55	1.69E-01
response to oxygen-containing compound (GO:1901700)	1215	102	65.94	+	1.55	8.96E-06
cellular lipid metabolic process (GO:0044255)	551	46	29.90	+	1.54	3.12E-03
aromatic amino acid family metabolic process (GO:0009072)	60	5	3.26	+	1.54	2.29E-01
regulation of flower development (GO:0009909)	120	10	6.51	+	1.54	1.23E-01
beta-glucan metabolic process (GO:0051273)	60	5	3.26	+	1.54	2.29E-01
meristem determinacy (GO:0010022)	24	2	1.30	+	1.54	3.74E-01
unsaturated fatty acid metabolic process (GO:0033559)	24	2	1.30	+	1.54	3.74E-01
carbohydrate homeostasis (GO:0033500)	24	2	1.30	+	1.54	3.74E-01
chloroplast rRNA processing (GO:1901259)	12	1	.65	+	1.54	4.79E-01
reactive oxygen species biosynthetic process (GO:1903409)	12	1	.65	+	1.54	4.79E-01
meiosis II cell cycle process (GO:0061983)	12	1	.65	+	1.54	4.79E-01
NADH metabolic process (GO:0006734)	12	1	.65	+	1.54	4.79E-01
regulation of ion transport (GO:0043269)	36	3	1.95	+	1.54	3.11E-01
regulation of posttranscriptional gene silencing (GO:0060147)	12	1	.65	+	1.54	4.79E-01
meiosis II (GO:0007135)	12	1	.65	+	1.54	4.79E-01
positive regulation of mRNA metabolic process (GO:1903313)	12	1	.65	+	1.54	4.79E-01
ceramide metabolic process (GO:0006672)	12	1	.65	+	1.54	4.79E-01
acylglycerol metabolic process (GO:0006639)	24	2	1.30	+	1.54	3.74E-01
neutral lipid metabolic process (GO:0006638)	24	2	1.30	+	1.54	3.74E-01
phospholipid translocation (GO:0045332)	12	1	.65	+	1.54	4.79E-01
regulation of mitotic nuclear division (GO:0007088)	12	1	.65	+	1.54	4.79E-01
glucosamine-containing compound metabolic process (GO:1901071)	12	1	.65	+	1.54	4.79E-01
genetic imprinting (GO:0071514)	12	1	.65	+	1.54	4.79E-01
zinc ion homeostasis (GO:0055069)	12	1	.65	+	1.54	4.79E-01
GPI anchor biosynthetic process (GO:0006506)	12	1	.65	+	1.54	4.79E-01
GPI anchor metabolic process (GO:0006505)	12	1	.65	+	1.54	4.79E-01
nucleoside catabolic process (GO:0009164)	12	1	.65	+	1.54	4.79E-01
secretion (GO:0046903)	48	4	2.60	+	1.54	2.65E-01
aromatic amino acid family biosynthetic process (GO:0009073)	36	3	1.95	+	1.54	3.11E-01
cellular response to glucose stimulus (GO:0071333)	12	1	.65	+	1.54	4.79E-01
regulation of gene expression by genetic imprinting (GO:0006349)	12	1	.65	+	1.54	4.79E-01
organic cation transport (GO:0015695)	12	1	.65	+	1.54	4.79E-01
DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	12	1	.65	+	1.54	4.79E-01
cellular modified amino acid biosynthetic process (GO:0042398)	24	2	1.30	+	1.54	3.74E-01
maintenance of location in cell (GO:0051651)	36	3	1.95	+	1.54	3.11E-01
regulation of cell cycle phase transition (GO:1901987)	36	3	1.95	+	1.54	3.11E-01
nucleobase-containing small molecule catabolic process (GO:0034656)	12	1	.65	+	1.54	4.79E-01
cellulose metabolic process (GO:0030243)	48	4	2.60	+	1.54	2.65E-01
regulation of defense response to fungus (GO:1900150)	24	2	1.30	+	1.54	3.74E-01
regulation of seedling development (GO:1900140)	72	6	3.91	+	1.54	2.00E-01
acetyl-CoA metabolic process (GO:0006084)	24	2	1.30	+	1.54	3.74E-01
(1->3)-beta-D-glucan biosynthetic process (GO:0006075)	12	1	.65	+	1.54	4.79E-01
(1->3)-beta-D-glucan metabolic process (GO:0006074)	12	1	.65	+	1.54	4.79E-01
protein localization involved in auxin polar transport (GO:1901703)	12	1	.65	+	1.54	4.79E-01
salicylic acid mediated signaling pathway (GO:0009863)	36	3	1.95	+	1.54	3.11E-01
negative regulation of proteolysis (GO:0045861)	12	1	.65	+	1.54	4.79E-01
protein tetramerization (GO:0051262)	12	1	.65	+	1.54	4.79E-01
regulation of salicylic acid biosynthetic process (GO:0080142)	12	1	.65	+	1.54	4.79E-01
lipid translocation (GO:0034204)	12	1	.65	+	1.54	4.79E-01
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	36	3	1.95	+	1.54	3.11E-01
gibberellin metabolic process (GO:0009685)	24	2	1.30	+	1.54	3.74E-01
epithelium development (GO:0060429)	12	1	.65	+	1.54	4.79E-01
mucilage biosynthetic process (GO:0010192)	24	2	1.30	+	1.54	3.74E-01
pyridine nucleotide metabolic process (GO:0019362)	12	1	.65	+	1.54	4.79E-01
response to fungus (GO:0009620)	266	22	14.44	+	1.52	3.66E-02
monosaccharide metabolic process (GO:0005996)	109	9	5.92	+	1.52	1.43E-01
purine nucleotide metabolic process (GO:0006163)	170	14	9.23	+	1.52	8.45E-02
meristem development (GO:0048507)	170	14	9.23	+	1.52	8.45E-02
leaf senescence (GO:0010150)	85	7	4.61	+	1.52	1.83E-01
regulation of innate immune response (GO:0045088)	73	6	3.96	+	1.51	2.08E-01
cellular response to endogenous stimulus (GO:0071495)	415	34	22.52	+	1.51	1.31E-02
regulation of response to stimulus (GO:0048583)	550	45	29.85	+	1.51	4.91E-03
aging (GO:0007568)	110	9	5.97	+	1.51	1.49E-01
organophosphate biosynthetic process (GO:0090407)	257	21	13.95	+	1.51	4.49E-02
organic acid transport (GO:0015849)	98	8	5.32	+	1.50	1.68E-01
alcohol biosynthetic process (GO:0046165)	49	4	2.66	+	1.50	2.77E-01
negative regulation of cellular biosynthetic process (GO:0031327)	245	20	13.30	+	1.50	4.97E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	368	30	19.97	+	1.50	2.00E-02
homeostatic process (GO:0042592)	418	34	22.68	+	1.50	1.44E-02
response to chemical (GO:0042221)	2105	171	114.24	+	1.50	3.44E-08
cellular response to extracellular stimulus (GO:0031668)	173	14	9.39	+	1.49	9.38E-02
photosynthesis (GO:0015979)	136	11	7.38	+	1.49	1.27E-01
metal ion transport (GO:0030001)	161	13	8.74	+	1.49	1.05E-01
anion transmembrane transport (GO:0098656)	223	18	12.10	+	1.49	6.54E-02
cellular response to oxidative stress (GO:0034599)	62	5	3.36	+	1.49	2.49E-01
cellular modified amino acid metabolic process (GO:0006575)	112	9	6.08	+	1.48	1.60E-01
terpenoid metabolic process (GO:0006721)	137	11	7.43	+	1.48	1.31E-01
Golgi to vacuole transport (GO:0006896)	25	2	1.36	+	1.47	3.93E-01
one-carbon metabolic process (GO:0006730)	25	2	1.36	+	1.47	3.93E-01
regulation of cellular protein catabolic process (GO:1903362)	25	2	1.36	+	1.47	3.93E-01
hyperosmotic salinity response (GO:0042538)	50	4	2.71	+	1.47	2.89E-01
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	25	2	1.36	+	1.47	3.93E-01
cotyledon development (GO:0048825)	50	4	2.71	+	1.47	2.89E-01
carboxylic acid transmembrane transport (GO:1905039)	50	4	2.71	+	1.47	2.89E-01
positive gravitropism (GO:0009958)	25	2	1.36	+	1.47	3.93E-01
negative regulation of biosynthetic process (GO:0009890)	250	20	13.57	+	1.47	5.85E-02
protein homooligomerization (GO:0051260)	25	2	1.36	+	1.47	3.93E-01
cellular catabolic process (GO:0044248)	976	78	52.97	+	1.47	4.81E-04
modification-dependent protein catabolic process (GO:0019941)	376	30	20.40	+	1.47	2.57E-02
cell wall organization or biogenesis (GO:0071554)	414	33	22.47	+	1.47	2.03E-02
post-Golgi vesicle-mediated transport (GO:0006892)	38	3	2.06	+	1.45	3.40E-01
mitotic cytokinesis (GO:0000281)	38	3	2.06	+	1.45	3.40E-01
defense response to symbiont (GO:0140546)	38	3	2.06	+	1.45	3.40E-01
defense response to virus (GO:0051607)	38	3	2.06	+	1.45	3.40E-01
response to carbohydrate (GO:0009743)	127	10	6.89	+	1.45	1.58E-01
small molecule metabolic process (GO:0044281)	1283	101	69.63	+	1.45	1.18E-04
cellular response to external stimulus (GO:0071496)	178	14	9.66	+	1.45	1.11E-01
regulation of immune system process (GO:0002682)	89	7	4.83	+	1.45	2.13E-01
negative regulation of cellular metabolic process (GO:0031324)	318	25	17.26	+	1.45	4.49E-02
modification-dependent macromolecule catabolic process (GO:0043632)	382	30	20.73	+	1.45	3.07E-02
organelle localization by membrane tethering (GO:0140056)	51	4	2.77	+	1.45	3.01E-01
membrane docking (GO:0022406)	51	4	2.77	+	1.45	3.01E-01
leaf development (GO:0048366)	268	21	14.54	+	1.44	6.35E-02
response to abiotic stimulus (GO:0009628)	1647	129	89.38	+	1.44	1.47E-05
regulation of shoot system development (GO:0048831)	128	10	6.95	+	1.44	1.63E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	282	22	15.30	+	1.44	6.08E-02
cellular response to hormone stimulus (GO:0032870)	385	30	20.89	+	1.44	3.34E-02
plant organ senescence (GO:0090693)	90	7	4.88	+	1.43	2.21E-01
defense response to fungus (GO:0050832)	193	15	10.47	+	1.43	1.09E-01
regulation of response to biotic stimulus (GO:0002831)	142	11	7.71	+	1.43	1.55E-01
organic hydroxy compound biosynthetic process (GO:1901617)	142	11	7.71	+	1.43	1.55E-01
metal ion homeostasis (GO:0055065)	155	12	8.41	+	1.43	1.43E-01
response to cold (GO:0009409)	336	26	18.23	+	1.43	4.83E-02
isoprenoid metabolic process (GO:0006720)	168	13	9.12	+	1.43	1.32E-01
regulation of developmental growth (GO:0048638)	117	9	6.35	+	1.42	1.90E-01
detoxification (GO:0098754)	91	7	4.94	+	1.42	2.28E-01
Golgi to plasma membrane transport (GO:0006893)	13	1	.71	+	1.42	5.06E-01
trichome morphogenesis (GO:0010090)	39	3	2.12	+	1.42	3.55E-01
zinc ion transport (GO:0006829)	26	2	1.41	+	1.42	4.12E-01
negative regulation of protein phosphorylation (GO:0001933)	13	1	.71	+	1.42	5.06E-01
porphyrin-containing compound catabolic process (GO:0006787)	13	1	.71	+	1.42	5.06E-01
plant-type cell wall cellulose metabolic process (GO:0052541)	13	1	.71	+	1.42	5.06E-01
protein secretion (GO:0009306)	13	1	.71	+	1.42	5.06E-01
protein localization to extracellular region (GO:0071692)	13	1	.71	+	1.42	5.06E-01
establishment of protein localization to extracellular region (GO:0035592)	13	1	.71	+	1.42	5.06E-01
microtubule polymerization or depolymerization (GO:0031109)	13	1	.71	+	1.42	5.06E-01
fatty acid transport (GO:0015908)	13	1	.71	+	1.42	5.06E-01
polyamine biosynthetic process (GO:0006596)	13	1	.71	+	1.42	5.06E-01
export from cell (GO:0140352)	65	5	3.53	+	1.42	2.80E-01
phosphate ion transmembrane transport (GO:0035435)	13	1	.71	+	1.42	5.06E-01
positive regulation of histone methylation (GO:0031062)	13	1	.71	+	1.42	5.06E-01
nucleobase transport (GO:0015851)	26	2	1.41	+	1.42	4.12E-01
glycoprotein metabolic process (GO:0009100)	143	11	7.76	+	1.42	1.60E-01
peptidyl-proline hydroxylation to 4-hydroxy-L-proline (GO:0018401)	13	1	.71	+	1.42	5.06E-01
regulation of secondary cell wall biogenesis (GO:2000652)	13	1	.71	+	1.42	5.06E-01
tetrapyrrole catabolic process (GO:0033015)	13	1	.71	+	1.42	5.06E-01
negative regulation of phosphorylation (GO:0042326)	13	1	.71	+	1.42	5.06E-01
regulation of DNA repair (GO:0006282)	13	1	.71	+	1.42	5.06E-01
exocytic process (GO:0140029)	13	1	.71	+	1.42	5.06E-01
regulation of cellular carbohydrate metabolic process (GO:0010675)	26	2	1.41	+	1.42	4.12E-01
protein hydroxylation (GO:0018126)	13	1	.71	+	1.42	5.06E-01
cell population proliferation (GO:0008283)	13	1	.71	+	1.42	5.06E-01
regulation of cell cycle process (GO:0010564)	65	5	3.53	+	1.42	2.80E-01
regulation of autophagy (GO:0010506)	13	1	.71	+	1.42	5.06E-01
fructose 6-phosphate metabolic process (GO:0006002)	13	1	.71	+	1.42	5.06E-01
cell tip growth (GO:0009932)	130	10	7.05	+	1.42	1.74E-01
cell wall beta-glucan metabolic process (GO:0034406)	13	1	.71	+	1.42	5.06E-01
organic acid transmembrane transport (GO:1903825)	52	4	2.82	+	1.42	3.13E-01
peptide secretion (GO:0002790)	13	1	.71	+	1.42	5.06E-01
response to glucose (GO:0009749)	52	4	2.82	+	1.42	3.13E-01
