




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of septum digestion after cytokinesis (GO:0010590)	1	1	.81	+	1.23	5.55E-01
cytochrome c-heme linkage (GO:0018063)	3	3	2.43	+	1.23	4.38E-01
cell cycle DNA replication maintenance of fidelity (GO:1902298)	1	1	.81	+	1.23	5.55E-01
polyadenylation-dependent snoRNA 3'-end processing (GO:0071051)	15	15	12.15	+	1.23	2.42E-01
DNA strand elongation involved in cell cycle DNA replication (GO:1902296)	1	1	.81	+	1.23	5.55E-01
nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription (GO:0071049)	4	4	3.24	+	1.23	4.07E-01
polyadenylation-dependent mRNA catabolic process (GO:0071047)	15	15	12.15	+	1.23	2.42E-01
histone mRNA catabolic process (GO:0071044)	3	3	2.43	+	1.23	4.38E-01
nuclear polyadenylation-dependent mRNA catabolic process (GO:0071042)	15	15	12.15	+	1.23	2.42E-01
nuclear polyadenylation-dependent antisense transcript catabolic process (GO:0071040)	2	2	1.62	+	1.23	4.82E-01
negative regulation of RNA helicase activity (GO:1902281)	1	1	.81	+	1.23	5.55E-01
regulation of RNA helicase activity (GO:1902280)	4	4	3.24	+	1.23	4.07E-01
glyoxylate cycle (GO:0006097)	8	8	6.48	+	1.23	3.24E-01
negative regulation of cytosolic calcium ion concentration (GO:0051481)	1	1	.81	+	1.23	5.55E-01
nuclear mRNA surveillance of mRNP export (GO:0071032)	1	1	.81	+	1.23	5.55E-01
regulation of double-strand break repair via homologous recombination (GO:0010569)	2	2	1.62	+	1.23	4.82E-01
regulation of budding cell apical bud growth (GO:0010568)	1	1	.81	+	1.23	5.55E-01
positive regulation of (R)-carnitine transmembrane transport (GO:1902274)	1	1	.81	+	1.23	5.55E-01
regulation of (R)-carnitine transmembrane transport (GO:1902272)	1	1	.81	+	1.23	5.55E-01
(R)-carnitine transmembrane transport (GO:1902270)	1	1	.81	+	1.23	5.55E-01
substituted mannan metabolic process (GO:0006080)	1	1	.81	+	1.23	5.55E-01
positive regulation of polyamine transmembrane transport (GO:1902269)	1	1	.81	+	1.23	5.55E-01
regulation of polyamine transmembrane transport (GO:1902267)	1	1	.81	+	1.23	5.55E-01
regulation of arginine catabolic process (GO:1900081)	1	1	.81	+	1.23	5.55E-01
vesicle fusion with vacuole (GO:0051469)	2	2	1.62	+	1.23	4.82E-01
glycerol-3-phosphate metabolic process (GO:0006072)	4	4	3.24	+	1.23	4.07E-01
agglutination involved in conjugation (GO:0000771)	1	1	.81	+	1.23	5.55E-01
peptide pheromone export (GO:0000770)	1	1	.81	+	1.23	5.55E-01
peptidyl-lysine dimethylation (GO:0018027)	6	6	4.86	+	1.23	3.60E-01
peptidyl-lysine monomethylation (GO:0018026)	7	7	5.67	+	1.23	3.41E-01
peptidyl-histidine methylation (GO:0018021)	1	1	.81	+	1.23	5.55E-01
regulation of arginine biosynthetic process (GO:1900079)	1	1	.81	+	1.23	5.55E-01
tRNA threonylcarbamoyladenosine modification (GO:0002949)	4	4	3.24	+	1.23	4.07E-01
tRNA C5-cytosine methylation (GO:0002946)	1	1	.81	+	1.23	5.55E-01
tRNA dihydrouridine synthesis (GO:0002943)	4	4	3.24	+	1.23	4.07E-01
ethanol oxidation (GO:0006069)	1	1	.81	+	1.23	5.55E-01
positive regulation of sulfite transport (GO:1900072)	1	1	.81	+	1.23	5.55E-01
regulation of sulfite transport (GO:1900071)	1	1	.81	+	1.23	5.55E-01
negative regulation of cellular hyperosmotic salinity response (GO:1900070)	2	2	1.62	+	1.23	4.82E-01
tRNA N2-guanine methylation (GO:0002940)	1	1	.81	+	1.23	5.55E-01
N-terminal peptidyl-proline dimethylation (GO:0018016)	1	1	.81	+	1.23	5.55E-01
N-terminal peptidyl-glycine methylation (GO:0018013)	1	1	.81	+	1.23	5.55E-01
regulation of cellular hyperosmotic salinity response (GO:1900069)	2	2	1.62	+	1.23	4.82E-01
tRNA N1-guanine methylation (GO:0002939)	1	1	.81	+	1.23	5.55E-01
negative regulation of cellular response to alkaline pH (GO:1900068)	1	1	.81	+	1.23	5.55E-01
regulation of cellular response to alkaline pH (GO:1900067)	1	1	.81	+	1.23	5.55E-01
positive regulation of ethanol catabolic process (GO:1900066)	1	1	.81	+	1.23	5.55E-01
regulation of ethanol catabolic process (GO:1900065)	1	1	.81	+	1.23	5.55E-01
positive regulation of transposition (GO:0010530)	2	2	1.62	+	1.23	4.82E-01
regulation of peroxisome organization (GO:1900063)	2	2	1.62	+	1.23	4.82E-01
positive regulation of thiamine biosynthetic process (GO:0090180)	3	3	2.43	+	1.23	4.38E-01
agglutination involved in conjugation with cellular fusion (GO:0000752)	1	1	.81	+	1.23	5.55E-01
mitotic cell cycle G1 arrest in response to pheromone (GO:0000751)	1	1	.81	+	1.23	5.55E-01
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	2	2	1.62	+	1.23	4.82E-01
N-terminal peptidyl-glycine N-myristoylation (GO:0018008)	1	1	.81	+	1.23	5.55E-01
N-terminal peptidyl-glutamic acid acetylation (GO:0018002)	1	1	.81	+	1.23	5.55E-01
positive regulation of transposition, RNA-mediated (GO:0010527)	1	1	.81	+	1.23	5.55E-01
tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation (GO:0002926)	2	2	1.62	+	1.23	4.82E-01
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	5	5	4.05	+	1.23	3.81E-01
positive regulation of histone exchange (GO:1900051)	1	1	.81	+	1.23	5.55E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	6	6	4.86	+	1.23	3.60E-01
negative regulation of histone exchange (GO:1900050)	2	2	1.62	+	1.23	4.82E-01
regulation of synaptonemal complex assembly (GO:0090173)	1	1	.81	+	1.23	5.55E-01
N-acetylglucosamine metabolic process (GO:0006044)	1	1	.81	+	1.23	5.55E-01
nuclear migration involved in conjugation with cellular fusion (GO:0000743)	3	3	2.43	+	1.23	4.38E-01
nuclear membrane fusion (GO:0000740)	1	1	.81	+	1.23	5.55E-01
positive regulation of nitric oxide metabolic process (GO:1904407)	1	1	.81	+	1.23	5.55E-01
negative regulation of nitric oxide metabolic process (GO:1904406)	1	1	.81	+	1.23	5.55E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process (GO:1902223)	4	4	3.24	+	1.23	4.07E-01
regulation of histone exchange (GO:1900049)	4	4	3.24	+	1.23	4.07E-01
spermidine metabolic process (GO:0008216)	2	2	1.62	+	1.23	4.82E-01
spermine metabolic process (GO:0008215)	3	3	2.43	+	1.23	4.38E-01
cell wall chitin catabolic process (GO:0006039)	1	1	.81	+	1.23	5.55E-01
DNA catabolic process, endonucleolytic (GO:0000737)	3	3	2.43	+	1.23	4.38E-01
gene conversion at mating-type locus, DNA repair synthesis (GO:0000734)	1	1	.81	+	1.23	5.55E-01
chitin localization (GO:0006033)	1	1	.81	+	1.23	5.55E-01
chitin catabolic process (GO:0006032)	5	5	4.05	+	1.23	3.81E-01
polyamine homeostasis (GO:0010509)	1	1	.81	+	1.23	5.55E-01
positive regulation of cellular response to hypoxia (GO:1900039)	1	1	.81	+	1.23	5.55E-01
regulation of cellular response to hypoxia (GO:1900037)	1	1	.81	+	1.23	5.55E-01
ergosterol metabolic process (GO:0008204)	28	28	22.68	+	1.23	1.55E-01
endoplasmic reticulum membrane organization (GO:0090158)	6	6	4.86	+	1.23	3.60E-01
regulation of cellular response to heat (GO:1900034)	1	1	.81	+	1.23	5.55E-01
positive regulation of sphingolipid biosynthetic process (GO:0090154)	1	1	.81	+	1.23	5.55E-01
aminoglycan catabolic process (GO:0006026)	5	5	4.05	+	1.23	3.81E-01
microtubule nucleation by microtubule organizing center (GO:0051418)	3	3	2.43	+	1.23	4.38E-01
microtubule nucleation by spindle pole body (GO:0051417)	1	1	.81	+	1.23	5.55E-01
microtubule nucleation by interphase microtubule organizing center (GO:0051415)	2	2	1.62	+	1.23	4.82E-01
regulation of ruffle assembly (GO:1900027)	3	3	2.43	+	1.23	4.38E-01
membrane fission (GO:0090148)	3	3	2.43	+	1.23	4.38E-01
nucleotide-excision repair, DNA duplex unwinding (GO:0000717)	1	1	.81	+	1.23	5.55E-01
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)	5	5	4.05	+	1.23	3.81E-01
positive regulation of mitochondrial fission (GO:0090141)	1	1	.81	+	1.23	5.55E-01
mannose metabolic process (GO:0006013)	5	5	4.05	+	1.23	3.81E-01
regulation of mitochondrial fission (GO:0090140)	1	1	.81	+	1.23	5.55E-01
meiotic heteroduplex formation (GO:0000713)	1	1	.81	+	1.23	5.55E-01
centromere localization (GO:0072765)	1	1	.81	+	1.23	5.55E-01
phosphorylation of RNA polymerase II C-terminal domain serine 5 residues involved in recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex (GO:1900018)	1	1	.81	+	1.23	5.55E-01
mitochondrion morphogenesis (GO:0070584)	3	3	2.43	+	1.23	4.38E-01
spore membrane bending pathway (GO:0070583)	1	1	.81	+	1.23	5.55E-01
mitochondrial DNA packaging (GO:0090139)	1	1	.81	+	1.23	5.55E-01
glucose catabolic process (GO:0006007)	2	2	1.62	+	1.23	4.82E-01
one-carbon compound transport (GO:0019755)	2	2	1.62	+	1.23	4.82E-01
nitrogen utilization (GO:0019740)	8	8	6.48	+	1.23	3.24E-01
dimethylallyl diphosphate metabolic process (GO:0050993)	1	1	.81	+	1.23	5.55E-01
dimethylallyl diphosphate biosynthetic process (GO:0050992)	1	1	.81	+	1.23	5.55E-01
response to fatty acid (GO:0070542)	2	2	1.62	+	1.23	4.82E-01
response to cisplatin (GO:0072718)	1	1	.81	+	1.23	5.55E-01
regulation of anion transmembrane transport (GO:1903959)	3	3	2.43	+	1.23	4.38E-01
response to hydroxyurea (GO:0072710)	1	1	.81	+	1.23	5.55E-01
protein K63-linked deubiquitination (GO:0070536)	1	1	.81	+	1.23	5.55E-01
execution phase of apoptosis (GO:0097194)	2	2	1.62	+	1.23	4.82E-01
S-adenosylmethioninamine metabolic process (GO:0046499)	1	1	.81	+	1.23	5.55E-01
S-adenosylhomocysteine metabolic process (GO:0046498)	2	2	1.62	+	1.23	4.82E-01
nicotinate nucleotide metabolic process (GO:0046497)	4	4	3.24	+	1.23	4.07E-01
isopentenyl diphosphate metabolic process (GO:0046490)	5	5	4.05	+	1.23	3.81E-01
oxazole or thiazole metabolic process (GO:0046484)	1	1	.81	+	1.23	5.55E-01
para-aminobenzoic acid metabolic process (GO:0046482)	1	1	.81	+	1.23	5.55E-01
epoxide metabolic process (GO:0097176)	1	1	.81	+	1.23	5.55E-01
regulation of eIF2 alpha phosphorylation by amino acid starvation (GO:0060733)	2	2	1.62	+	1.23	4.82E-01
hormone transport (GO:0009914)	1	1	.81	+	1.23	5.55E-01
dynamin family protein polymerization involved in mitochondrial fission (GO:0003374)	3	3	2.43	+	1.23	4.38E-01
dynamin family protein polymerization involved in membrane fission (GO:0003373)	3	3	2.43	+	1.23	4.38E-01
positive regulation of mating-type specific transcription from RNA polymerase II promoter (GO:0001197)	1	1	.81	+	1.23	5.55E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase III promoter (GO:0001195)	2	2	1.62	+	1.23	4.82E-01
membrane lipid catabolic process (GO:0046466)	5	5	4.05	+	1.23	3.81E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter (GO:0001193)	2	2	1.62	+	1.23	4.82E-01
dolichyl diphosphate metabolic process (GO:0046465)	1	1	.81	+	1.23	5.55E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation (GO:0001192)	4	4	3.24	+	1.23	4.07E-01
negative regulation of posttranslational protein targeting to membrane, translocation (GO:0120236)	2	2	1.62	+	1.23	4.82E-01
regulation of posttranslational protein targeting to membrane, translocation (GO:0120235)	2	2	1.62	+	1.23	4.82E-01
positive regulation of developmental growth (GO:0048639)	1	1	.81	+	1.23	5.55E-01
regulation of developmental growth (GO:0048638)	1	1	.81	+	1.23	5.55E-01
RNA polymerase I preinitiation complex assembly (GO:0001188)	5	5	4.05	+	1.23	3.81E-01
short-chain fatty acid metabolic process (GO:0046459)	6	6	4.86	+	1.23	3.60E-01
regulation of viral life cycle (GO:1903900)	2	2	1.62	+	1.23	4.82E-01
diaminopimelate metabolic process (GO:0046451)	2	2	1.62	+	1.23	4.82E-01
regulation of ribonuclease activity (GO:0060700)	2	2	1.62	+	1.23	4.82E-01
positive regulation of gamma-aminobutyric acid catabolic process (GO:1901717)	1	1	.81	+	1.23	5.55E-01
regulation of gamma-aminobutyric acid catabolic process (GO:1901715)	1	1	.81	+	1.23	5.55E-01
positive regulation of urea catabolic process (GO:1901714)	1	1	.81	+	1.23	5.55E-01
L-lysine metabolic process (GO:0046440)	1	1	.81	+	1.23	5.55E-01
regulation of homoserine biosynthetic process (GO:1901710)	1	1	.81	+	1.23	5.55E-01
raffinose catabolic process (GO:0034484)	1	1	.81	+	1.23	5.55E-01
L-cysteine metabolic process (GO:0046439)	1	1	.81	+	1.23	5.55E-01
D-amino acid biosynthetic process (GO:0046437)	1	1	.81	+	1.23	5.55E-01
phosphatidylglycerol catabolic process (GO:0034478)	1	1	.81	+	1.23	5.55E-01
U6 snRNA 3'-end processing (GO:0034477)	1	1	.81	+	1.23	5.55E-01
U1 snRNA 3'-end processing (GO:0034473)	6	6	4.86	+	1.23	3.60E-01
negative regulation of DNA-dependent DNA replication initiation (GO:0032297)	2	2	1.62	+	1.23	4.82E-01
cellular polysaccharide catabolic process (GO:0044247)	4	4	3.24	+	1.23	4.07E-01
90S preribosome assembly (GO:0034463)	1	1	.81	+	1.23	5.55E-01
small-subunit processome assembly (GO:0034462)	2	2	1.62	+	1.23	4.82E-01
chorismate metabolic process (GO:0046417)	5	5	4.05	+	1.23	3.81E-01
D-amino acid metabolic process (GO:0046416)	3	3	2.43	+	1.23	4.38E-01
positive regulation of cellular amino acid biosynthetic process (GO:2000284)	2	2	1.62	+	1.23	4.82E-01
microtubule anchoring (GO:0034453)	1	1	.81	+	1.23	5.55E-01
protein repair (GO:0030091)	1	1	.81	+	1.23	5.55E-01
lipid oxidation (GO:0034440)	16	16	12.96	+	1.23	2.33E-01
XMP salvage (GO:0032265)	2	2	1.62	+	1.23	4.82E-01
IMP salvage (GO:0032264)	3	3	2.43	+	1.23	4.38E-01
GMP salvage (GO:0032263)	2	2	1.62	+	1.23	4.82E-01
pyrimidine nucleotide salvage (GO:0032262)	4	4	3.24	+	1.23	4.07E-01
purine nucleotide salvage (GO:0032261)	6	6	4.86	+	1.23	3.60E-01
protein-DNA complex remodeling (GO:0001120)	7	7	5.67	+	1.23	3.41E-01
peptidyl-histidine methylation, to form tele-methylhistidine (GO:0042038)	1	1	.81	+	1.23	5.55E-01
CTP salvage (GO:0044211)	2	2	1.62	+	1.23	4.82E-01
'de novo' CTP biosynthetic process (GO:0044210)	2	2	1.62	+	1.23	4.82E-01
transcription open complex formation at RNA polymerase II promoter (GO:0001113)	5	5	4.05	+	1.23	3.81E-01
DNA-templated transcription open complex formation (GO:0001112)	7	7	5.67	+	1.23	3.41E-01
AMP salvage (GO:0044209)	3	3	2.43	+	1.23	4.38E-01
'de novo' AMP biosynthetic process (GO:0044208)	2	2	1.62	+	1.23	4.82E-01
UMP salvage (GO:0044206)	4	4	3.24	+	1.23	4.07E-01
'de novo' UMP biosynthetic process (GO:0044205)	6	6	4.86	+	1.23	3.60E-01
nuclear-transcribed mRNA catabolic process, exonucleolytic, 5'-3' (GO:0034428)	1	1	.81	+	1.23	5.55E-01
post-translational protein acetylation (GO:0034421)	1	1	.81	+	1.23	5.55E-01
positive regulation of nucleobase-containing compound transport (GO:0032241)	1	1	.81	+	1.23	5.55E-01
positive regulation of establishment or maintenance of bipolar cell polarity regulating cell shape (GO:2000247)	1	1	.81	+	1.23	5.55E-01
tRNA 3'-trailer cleavage, exonucleolytic (GO:0034415)	1	1	.81	+	1.23	5.55E-01
tRNA 3'-trailer cleavage, endonucleolytic (GO:0034414)	1	1	.81	+	1.23	5.55E-01
cell wall (1->3)-beta-D-glucan biosynthetic process (GO:0034411)	5	5	4.05	+	1.23	3.81E-01
negative regulation of actin filament bundle assembly (GO:0032232)	2	2	1.62	+	1.23	4.82E-01
negative regulation of transcription by pheromones (GO:0045996)	6	6	4.86	+	1.23	3.60E-01
nuclear migration by microtubule mediated pushing forces (GO:0098863)	2	2	1.62	+	1.23	4.82E-01
positive regulation of rRNA processing (GO:2000234)	1	1	.81	+	1.23	5.55E-01
negative regulation of ncRNA transcription associated with protein coding gene TSS/TES (GO:1904388)	1	1	.81	+	1.23	5.55E-01
cell wall (1->3)-beta-D-glucan metabolic process (GO:0034407)	5	5	4.05	+	1.23	3.81E-01
mannose trimming involved in glycoprotein ERAD pathway (GO:1904382)	2	2	1.62	+	1.23	4.82E-01
endoplasmic reticulum mannose trimming (GO:1904380)	1	1	.81	+	1.23	5.55E-01
plasma membrane fusion involved in cytogamy (GO:0032220)	2	2	1.62	+	1.23	4.82E-01
DNA double-strand break attachment to nuclear envelope (GO:1990683)	5	5	4.05	+	1.23	3.81E-01
negative regulation of pyrimidine nucleobase metabolic process (GO:0045984)	1	1	.81	+	1.23	5.55E-01
positive regulation of nucleotide metabolic process (GO:0045981)	2	2	1.62	+	1.23	4.82E-01
riboflavin transport (GO:0032218)	1	1	.81	+	1.23	5.55E-01
positive regulation of telomere maintenance via telomerase (GO:0032212)	2	2	1.62	+	1.23	4.82E-01
negative regulation of telomere maintenance via telomerase (GO:0032211)	3	3	2.43	+	1.23	4.38E-01
actin filament reorganization involved in cell cycle (GO:0030037)	1	1	.81	+	1.23	5.55E-01
positive regulation of establishment of bipolar cell polarity (GO:0061173)	1	1	.81	+	1.23	5.55E-01
regulation of establishment of bipolar cell polarity (GO:0061172)	1	1	.81	+	1.23	5.55E-01
histone H4-K12 deacetylation (GO:1990679)	1	1	.81	+	1.23	5.55E-01
histone H4-K16 deacetylation (GO:1990678)	1	1	.81	+	1.23	5.55E-01
cell projection assembly (GO:0030031)	5	5	4.05	+	1.23	3.81E-01
cell projection organization (GO:0030030)	5	5	4.05	+	1.23	3.81E-01
negative regulation of invasive growth in response to glucose limitation (GO:2000218)	1	1	.81	+	1.23	5.55E-01
positive regulation of proline metabolic process (GO:2000216)	1	1	.81	+	1.23	5.55E-01
protein localization to cell division site after cytokinesis (GO:0098841)	1	1	.81	+	1.23	5.55E-01
positive regulation of glutamate metabolic process (GO:2000213)	1	1	.81	+	1.23	5.55E-01
tRNA acetylation (GO:0051391)	1	1	.81	+	1.23	5.55E-01
regulation of glutamate metabolic process (GO:2000211)	1	1	.81	+	1.23	5.55E-01
response to sulfur dioxide (GO:0010477)	1	1	.81	+	1.23	5.55E-01
positive regulation of telomere maintenance (GO:0032206)	2	2	1.62	+	1.23	4.82E-01
negative regulation of telomere maintenance (GO:0032205)	4	4	3.24	+	1.23	4.07E-01
regulation of telomere maintenance (GO:0032204)	10	10	8.10	+	1.23	2.96E-01
endoplasmic reticulum polarization (GO:0061163)	2	2	1.62	+	1.23	4.82E-01
positive regulation of establishment of bipolar cell polarity regulating cell shape (GO:0061161)	1	1	.81	+	1.23	5.55E-01
regulation of establishment of bipolar cell polarity regulating cell shape (GO:0061160)	1	1	.81	+	1.23	5.55E-01
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	2	2	1.62	+	1.23	4.82E-01
negative regulation of telomere maintenance via telomere lengthening (GO:1904357)	3	3	2.43	+	1.23	4.38E-01
3'-UTR-mediated mRNA destabilization (GO:0061158)	1	1	.81	+	1.23	5.55E-01
cellular response to reactive nitrogen species (GO:1902170)	1	1	.81	+	1.23	5.55E-01
protein maturation by protein folding (GO:0022417)	1	1	.81	+	1.23	5.55E-01
peptidyl-cysteine modification to L-cysteine persulfide (GO:0098822)	1	1	.81	+	1.23	5.55E-01
positive regulation of mitotic recombination (GO:0045951)	1	1	.81	+	1.23	5.55E-01
histone H3-K36 methylation (GO:0010452)	1	1	.81	+	1.23	5.55E-01
response to lipid (GO:0033993)	2	2	1.62	+	1.23	4.82E-01
cellular potassium ion homeostasis (GO:0030007)	5	5	4.05	+	1.23	3.81E-01
para-aminobenzoic acid biosynthetic process (GO:0008153)	1	1	.81	+	1.23	5.55E-01
cellular anion homeostasis (GO:0030002)	1	1	.81	+	1.23	5.55E-01
positive regulation of transcription by RNA polymerase III (GO:0045945)	3	3	2.43	+	1.23	4.38E-01
box H/ACA snoRNA metabolic process (GO:0033979)	2	2	1.62	+	1.23	4.82E-01
regulation of inclusion body assembly (GO:0090083)	2	2	1.62	+	1.23	4.82E-01
positive regulation of lyase activity (GO:0051349)	3	3	2.43	+	1.23	4.38E-01
negative regulation of fatty acid metabolic process (GO:0045922)	2	2	1.62	+	1.23	4.82E-01
box C/D snoRNA metabolic process (GO:0033967)	12	12	9.72	+	1.23	2.72E-01
hydrogen peroxide-mediated programmed cell death (GO:0010421)	1	1	.81	+	1.23	5.55E-01
histone H3-K9 deacetylation (GO:1990619)	1	1	.81	+	1.23	5.55E-01
magnesium ion export from mitochondrion (GO:1990616)	1	1	.81	+	1.23	5.55E-01
positive regulation of ribosome biogenesis (GO:0090070)	1	1	.81	+	1.23	5.55E-01
positive regulation of carbohydrate metabolic process (GO:0045913)	5	5	4.05	+	1.23	3.81E-01
positive regulation of DNA recombination (GO:0045911)	3	3	2.43	+	1.23	4.38E-01
protein localization to cell cortex (GO:0072697)	8	8	6.48	+	1.23	3.24E-01
mannan metabolic process (GO:0010412)	2	2	1.62	+	1.23	4.82E-01
regulation of ribosome biogenesis (GO:0090069)	2	2	1.62	+	1.23	4.82E-01
regulation of trehalose metabolic process (GO:0090062)	1	1	.81	+	1.23	5.55E-01
alkanesulfonate metabolic process (GO:0019694)	1	1	.81	+	1.23	5.55E-01
