




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
lysosomal microautophagy (GO:0016237)	13	0	.24	-	 < 0.01	7.88E-01
response to disaccharide (GO:0034285)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of cell cycle G1/S phase transition (GO:1902807)	1	0	.02	-	 < 0.01	9.82E-01
N-terminal protein amino acid methylation (GO:0006480)	2	0	.04	-	 < 0.01	9.64E-01
response to monosaccharide (GO:0034284)	2	0	.04	-	 < 0.01	9.64E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	2	0	.04	-	 < 0.01	9.64E-01
telomere capping (GO:0016233)	5	0	.09	-	 < 0.01	9.12E-01
response to glucose (GO:0009749)	2	0	.04	-	 < 0.01	9.64E-01
response to hexose (GO:0009746)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	1	0	.02	-	 < 0.01	9.82E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	12	0	.22	-	 < 0.01	8.02E-01
response to sucrose (GO:0009744)	1	0	.02	-	 < 0.01	9.82E-01
regulation of DNA methylation (GO:0044030)	1	0	.02	-	 < 0.01	9.82E-01
response to carbohydrate (GO:0009743)	2	0	.04	-	 < 0.01	9.64E-01
pyrimidine-containing compound salvage (GO:0008655)	3	0	.06	-	 < 0.01	9.46E-01
cell aging (GO:0007569)	3	0	.06	-	 < 0.01	9.46E-01
aging (GO:0007568)	3	0	.06	-	 < 0.01	9.46E-01
nitric oxide metabolic process (GO:0046209)	2	0	.04	-	 < 0.01	9.64E-01
peptidyl-proline hydroxylation to 4-hydroxy-L-proline (GO:0018401)	4	0	.07	-	 < 0.01	9.29E-01
protein deacetylation (GO:0006476)	19	0	.35	-	 < 0.01	7.05E-01
internal protein amino acid acetylation (GO:0006475)	35	0	.64	-	 < 0.01	5.26E-01
N-terminal protein amino acid acetylation (GO:0006474)	8	0	.15	-	 < 0.01	8.63E-01
azole transmembrane transport (GO:0045117)	4	0	.07	-	 < 0.01	9.29E-01
protein acetylation (GO:0006473)	44	0	.81	-	 < 0.01	4.45E-01
protein ADP-ribosylation (GO:0006471)	1	0	.02	-	 < 0.01	9.82E-01
iron-sulfur cluster assembly (GO:0016226)	19	0	.35	-	 < 0.01	7.05E-01
regulation of histone ubiquitination (GO:0033182)	1	0	.02	-	 < 0.01	9.82E-01
detection of hexose stimulus (GO:0009732)	1	0	.02	-	 < 0.01	9.82E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	2	0	.04	-	 < 0.01	9.64E-01
detection of carbohydrate stimulus (GO:0009730)	1	0	.02	-	 < 0.01	9.82E-01
cellular component assembly involved in morphogenesis (GO:0010927)	4	0	.07	-	 < 0.01	9.29E-01
negative regulation of protein binding (GO:0032091)	2	0	.04	-	 < 0.01	9.64E-01
carbohydrate transport (GO:0008643)	41	0	.75	-	 < 0.01	4.71E-01
negative regulation of phosphatase activity (GO:0010923)	6	0	.11	-	 < 0.01	8.96E-01
calcium import into the mitochondrion (GO:0036444)	1	0	.02	-	 < 0.01	9.82E-01
regulation of phosphatase activity (GO:0010921)	15	0	.28	-	 < 0.01	7.59E-01
negative regulation of protein kinase activity (GO:0006469)	9	0	.17	-	 < 0.01	8.48E-01
signal peptide processing (GO:0006465)	5	0	.09	-	 < 0.01	9.12E-01
NAD transmembrane transport (GO:0035352)	2	0	.04	-	 < 0.01	9.64E-01
FAD transmembrane transport (GO:0035350)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of GTPase activity (GO:0034260)	1	0	.02	-	 < 0.01	9.82E-01
response to hormone (GO:0009725)	1	0	.02	-	 < 0.01	9.82E-01
single-species biofilm formation (GO:0044010)	1	0	.02	-	 < 0.01	9.82E-01
apoptotic mitochondrial changes (GO:0008637)	2	0	.04	-	 < 0.01	9.64E-01
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of isomerase activity (GO:0010912)	1	0	.02	-	 < 0.01	9.82E-01
regulation of isomerase activity (GO:0010911)	1	0	.02	-	 < 0.01	9.82E-01
coenzyme A transmembrane transport (GO:0035349)	1	0	.02	-	 < 0.01	9.82E-01
'de novo' protein folding (GO:0006458)	13	0	.24	-	 < 0.01	7.88E-01
protein folding (GO:0006457)	64	0	1.17	-	 < 0.01	3.08E-01
nicotinamide riboside transport (GO:0034258)	1	0	.02	-	 < 0.01	9.82E-01
translational frameshifting (GO:0006452)	2	0	.04	-	 < 0.01	9.64E-01
translational readthrough (GO:0006451)	1	0	.02	-	 < 0.01	9.82E-01
regulation of translational fidelity (GO:0006450)	19	0	.35	-	 < 0.01	7.05E-01
histone H3-K9 demethylation (GO:0033169)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of cellular amide metabolic process (GO:0034250)	22	0	.40	-	 < 0.01	6.68E-01
positive regulation of deoxyribonuclease activity (GO:0032077)	1	0	.02	-	 < 0.01	9.82E-01
catechol-containing compound biosynthetic process (GO:0009713)	3	0	.06	-	 < 0.01	9.46E-01
catechol-containing compound metabolic process (GO:0009712)	6	0	.11	-	 < 0.01	8.96E-01
positive regulation of nuclease activity (GO:0032075)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of nuclease activity (GO:0032074)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of glucose metabolic process (GO:0010907)	1	0	.02	-	 < 0.01	9.82E-01
regulation of glucose metabolic process (GO:0010906)	6	0	.11	-	 < 0.01	8.96E-01
tRNA wobble uridine modification (GO:0002098)	16	0	.29	-	 < 0.01	7.45E-01
regulation of deoxyribonuclease activity (GO:0032070)	1	0	.02	-	 < 0.01	9.82E-01
tRNA wobble base modification (GO:0002097)	20	0	.37	-	 < 0.01	6.93E-01
gene conversion at mating-type locus (GO:0007534)	1	0	.02	-	 < 0.01	9.82E-01
regulation of translational termination (GO:0006449)	5	0	.09	-	 < 0.01	9.12E-01
mating type switching (GO:0007533)	2	0	.04	-	 < 0.01	9.64E-01
fatty-acyl-CoA metabolic process (GO:0035337)	4	0	.07	-	 < 0.01	9.29E-01
regulation of translational elongation (GO:0006448)	8	0	.15	-	 < 0.01	8.63E-01
regulation of mating-type specific transcription, DNA-templated (GO:0007532)	1	0	.02	-	 < 0.01	9.82E-01
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	3	0	.06	-	 < 0.01	9.46E-01
mating type determination (GO:0007531)	3	0	.06	-	 < 0.01	9.46E-01
peptidyl-tyrosine dephosphorylation (GO:0035335)	17	0	.31	-	 < 0.01	7.32E-01
regulation of translational initiation (GO:0006446)	11	0	.20	-	 < 0.01	8.17E-01
sex determination (GO:0007530)	3	0	.06	-	 < 0.01	9.46E-01
response to cycloheximide (GO:0046898)	1	0	.02	-	 < 0.01	9.82E-01
snoRNA splicing (GO:0034247)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of transcription elongation from RNA polymerase II promoter (GO:0034244)	1	0	.02	-	 < 0.01	9.82E-01
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	13	0	.24	-	 < 0.01	7.88E-01
regulation of intracellular protein transport (GO:0033157)	9	0	.17	-	 < 0.01	8.48E-01
regulation of lipid biosynthetic process (GO:0046890)	6	0	.11	-	 < 0.01	8.96E-01
regulation of nuclease activity (GO:0032069)	2	0	.04	-	 < 0.01	9.64E-01
maintenance of protein location in cell cortex (GO:0032065)	2	0	.04	-	 < 0.01	9.64E-01
pyridoxine biosynthetic process (GO:0008615)	2	0	.04	-	 < 0.01	9.64E-01
pyridoxine metabolic process (GO:0008614)	3	0	.06	-	 < 0.01	9.46E-01
peptidyl-lysine modification to peptidyl-hypusine (GO:0008612)	2	0	.04	-	 < 0.01	9.64E-01
protein depalmitoylation (GO:0002084)	3	0	.06	-	 < 0.01	9.46E-01
regulation of oxidative phosphorylation (GO:0002082)	1	0	.02	-	 < 0.01	9.82E-01
valyl-tRNA aminoacylation (GO:0006438)	1	0	.02	-	 < 0.01	9.82E-01
tyrosyl-tRNA aminoacylation (GO:0006437)	2	0	.04	-	 < 0.01	9.64E-01
tryptophanyl-tRNA aminoacylation (GO:0006436)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of lipid biosynthetic process (GO:0046889)	3	0	.06	-	 < 0.01	9.46E-01
threonyl-tRNA aminoacylation (GO:0006435)	2	0	.04	-	 < 0.01	9.64E-01
seryl-tRNA aminoacylation (GO:0006434)	2	0	.04	-	 < 0.01	9.64E-01
prolyl-tRNA aminoacylation (GO:0006433)	2	0	.04	-	 < 0.01	9.64E-01
phenylalanyl-tRNA aminoacylation (GO:0006432)	3	0	.06	-	 < 0.01	9.46E-01
methionyl-tRNA aminoacylation (GO:0006431)	2	0	.04	-	 < 0.01	9.64E-01
lysyl-tRNA aminoacylation (GO:0006430)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of chromatin assembly or disassembly (GO:0045798)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of mitotic sister chromatid segregation (GO:0062033)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of protein localization to cell surface (GO:2000009)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of translational initiation in response to stress (GO:0032058)	2	0	.04	-	 < 0.01	9.64E-01
regulation of protein localization to cell surface (GO:2000008)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of translation in response to stress (GO:0032056)	2	0	.04	-	 < 0.01	9.64E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	16	0	.29	-	 < 0.01	7.45E-01
regulation of DNA damage checkpoint (GO:2000001)	2	0	.04	-	 < 0.01	9.64E-01
leucyl-tRNA aminoacylation (GO:0006429)	2	0	.04	-	 < 0.01	9.64E-01
isoleucyl-tRNA aminoacylation (GO:0006428)	2	0	.04	-	 < 0.01	9.64E-01
histidyl-tRNA aminoacylation (GO:0006427)	1	0	.02	-	 < 0.01	9.82E-01
glycyl-tRNA aminoacylation (GO:0006426)	1	0	.02	-	 < 0.01	9.82E-01
glutaminyl-tRNA aminoacylation (GO:0006425)	2	0	.04	-	 < 0.01	9.64E-01
glutamyl-tRNA aminoacylation (GO:0006424)	2	0	.04	-	 < 0.01	9.64E-01
cysteinyl-tRNA aminoacylation (GO:0006423)	1	0	.02	-	 < 0.01	9.82E-01
tRNA thio-modification (GO:0034227)	4	0	.07	-	 < 0.01	9.29E-01
aspartyl-tRNA aminoacylation (GO:0006422)	2	0	.04	-	 < 0.01	9.64E-01
asparaginyl-tRNA aminoacylation (GO:0006421)	2	0	.04	-	 < 0.01	9.64E-01
quinolinate metabolic process (GO:0046874)	5	0	.09	-	 < 0.01	9.12E-01
prosthetic group metabolic process (GO:0051189)	8	0	.15	-	 < 0.01	8.63E-01
arginyl-tRNA aminoacylation (GO:0006420)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process (GO:0062026)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of cell cycle (GO:0045787)	23	0	.42	-	 < 0.01	6.55E-01
regulation of SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0062025)	1	0	.02	-	 < 0.01	9.82E-01
fungal-type cell wall chitin biosynthetic process (GO:0034221)	5	0	.09	-	 < 0.01	9.12E-01
negative regulation of cell cycle (GO:0045786)	52	0	.95	-	 < 0.01	3.84E-01
positive regulation of cell adhesion (GO:0045785)	1	0	.02	-	 < 0.01	9.82E-01
cardiolipin biosynthetic process (GO:0032049)	4	0	.07	-	 < 0.01	9.29E-01
cardiolipin metabolic process (GO:0032048)	7	0	.13	-	 < 0.01	8.79E-01
vitamin transport (GO:0051180)	5	0	.09	-	 < 0.01	9.12E-01
mitochondrial DNA metabolic process (GO:0032042)	4	0	.07	-	 < 0.01	9.29E-01
negative regulation of protein dephosphorylation (GO:0035308)	5	0	.09	-	 < 0.01	9.12E-01
alanyl-tRNA aminoacylation (GO:0006419)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of protein dephosphorylation (GO:0035307)	1	0	.02	-	 < 0.01	9.82E-01
tRNA aminoacylation for protein translation (GO:0006418)	35	0	.64	-	 < 0.01	5.26E-01
positive regulation of dephosphorylation (GO:0035306)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of dephosphorylation (GO:0035305)	6	0	.11	-	 < 0.01	8.96E-01
regulation of protein dephosphorylation (GO:0035304)	14	0	.26	-	 < 0.01	7.73E-01
translational termination (GO:0006415)	10	0	.18	-	 < 0.01	8.32E-01
regulation of dephosphorylation (GO:0035303)	16	0	.29	-	 < 0.01	7.45E-01
translational elongation (GO:0006414)	24	0	.44	-	 < 0.01	6.44E-01
ascospore wall chitin metabolic process (GO:0034218)	1	0	.02	-	 < 0.01	9.82E-01
translational initiation (GO:0006413)	56	0	1.03	-	 < 0.01	3.57E-01
ascospore wall chitin biosynthetic process (GO:0034217)	1	0	.02	-	 < 0.01	9.82E-01
quinolinate catabolic process (GO:0034213)	1	0	.02	-	 < 0.01	9.82E-01
meiotic sister chromatid cohesion (GO:0051177)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of sulfur metabolic process (GO:0051176)	3	0	.06	-	 < 0.01	9.46E-01
negative regulation of small molecule metabolic process (GO:0062014)	4	0	.07	-	 < 0.01	9.29E-01
regulation of phosphorus metabolic process (GO:0051174)	74	0	1.36	-	 < 0.01	2.56E-01
positive regulation of small molecule metabolic process (GO:0062013)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	205	0	3.76	-	 < 0.01	2.23E-02
regulation of small molecule metabolic process (GO:0062012)	11	0	.20	-	 < 0.01	8.17E-01
microtubule polymerization based movement (GO:0099098)	3	0	.06	-	 < 0.01	9.46E-01
myo-inositol transport (GO:0015798)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of RNA splicing (GO:0033120)	2	0	.04	-	 < 0.01	9.64E-01
ammonium transmembrane transport (GO:0072488)	7	0	.13	-	 < 0.01	8.79E-01
glycerol transport (GO:0015793)	1	0	.02	-	 < 0.01	9.82E-01
polyol transport (GO:0015791)	4	0	.07	-	 < 0.01	9.29E-01
tRNA export from nucleus (GO:0006409)	4	0	.07	-	 < 0.01	9.29E-01
rRNA export from nucleus (GO:0006407)	3	0	.06	-	 < 0.01	9.46E-01
mRNA export from nucleus (GO:0006406)	29	0	.53	-	 < 0.01	5.87E-01
RNA import into nucleus (GO:0006404)	1	0	.02	-	 < 0.01	9.82E-01
phosphatidylinositol dephosphorylation (GO:0046856)	9	0	.17	-	 < 0.01	8.48E-01
mRNA catabolic process (GO:0006402)	65	0	1.19	-	 < 0.01	3.02E-01
inositol phosphate dephosphorylation (GO:0046855)	9	0	.17	-	 < 0.01	8.48E-01
phosphatidylinositol phosphorylation (GO:0046854)	9	0	.17	-	 < 0.01	8.48E-01
lipid translocation (GO:0034204)	8	0	.15	-	 < 0.01	8.63E-01
glycolipid translocation (GO:0034203)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of protein localization to membrane (GO:1905477)	3	0	.06	-	 < 0.01	9.46E-01
regulation of adenylate cyclase activity (GO:0045761)	1	0	.02	-	 < 0.01	9.82E-01
regulation of protein localization to membrane (GO:1905475)	3	0	.06	-	 < 0.01	9.46E-01
UDP-glucose transmembrane transport (GO:0015786)	2	0	.04	-	 < 0.01	9.64E-01
nucleotide-sugar transmembrane transport (GO:0015780)	6	0	.11	-	 < 0.01	8.96E-01
negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903298)	1	0	.02	-	 < 0.01	9.82E-01
regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903297)	1	0	.02	-	 < 0.01	9.82E-01
response to drug (GO:0042493)	4	0	.07	-	 < 0.01	9.29E-01
N-acylphosphatidylethanolamine metabolic process (GO:0070292)	1	0	.02	-	 < 0.01	9.82E-01
N-acylethanolamine metabolic process (GO:0070291)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial respiratory chain complex assembly (GO:0033108)	42	0	.77	-	 < 0.01	4.62E-01
glucose 6-phosphate metabolic process (GO:0051156)	15	0	.28	-	 < 0.01	7.59E-01
positive regulation of G-quadruplex DNA unwinding (GO:1905467)	1	0	.02	-	 < 0.01	9.82E-01
regulation of G-quadruplex DNA unwinding (GO:1905465)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of DNA duplex unwinding (GO:1905463)	1	0	.02	-	 < 0.01	9.82E-01
regulation of DNA duplex unwinding (GO:1905462)	1	0	.02	-	 < 0.01	9.82E-01
actomyosin contractile ring assembly actin filament organization (GO:2000689)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of protein localization to cell periphery (GO:1904377)	2	0	.04	-	 < 0.01	9.64E-01
regulation of ARF protein signal transduction (GO:0032012)	5	0	.09	-	 < 0.01	9.12E-01
oligosaccharide transport (GO:0015772)	2	0	.04	-	 < 0.01	9.64E-01
regulation of protein localization to cell periphery (GO:1904375)	2	0	.04	-	 < 0.01	9.64E-01
sucrose transport (GO:0015770)	2	0	.04	-	 < 0.01	9.64E-01
peroxisomal transport (GO:0043574)	17	0	.31	-	 < 0.01	7.32E-01
maintenance of DNA repeat elements (GO:0043570)	6	0	.11	-	 < 0.01	8.96E-01
tetrahydrofolate interconversion (GO:0035999)	6	0	.11	-	 < 0.01	8.96E-01
phospholipid dephosphorylation (GO:0046839)	10	0	.18	-	 < 0.01	8.32E-01
7,8-dihydroneopterin 3'-triphosphate biosynthetic process (GO:0035998)	1	0	.02	-	 < 0.01	9.82E-01
phosphorylated carbohydrate dephosphorylation (GO:0046838)	10	0	.18	-	 < 0.01	8.32E-01
glycolipid transport (GO:0046836)	1	0	.02	-	 < 0.01	9.82E-01
carbohydrate phosphorylation (GO:0046835)	13	0	.24	-	 < 0.01	7.88E-01
lipid phosphorylation (GO:0046834)	12	0	.22	-	 < 0.01	8.02E-01
positive regulation of RNA export from nucleus (GO:0046833)	1	0	.02	-	 < 0.01	9.82E-01
regulation of RNA export from nucleus (GO:0046831)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of RNA import into nucleus (GO:0046830)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of TOR signaling (GO:0032007)	7	0	.13	-	 < 0.01	8.79E-01
positive regulation of DNA replication (GO:0045740)	2	0	.04	-	 < 0.01	9.64E-01
regulation of sterol biosynthetic process (GO:0106118)	1	0	.02	-	 < 0.01	9.82E-01
disaccharide transport (GO:0015766)	2	0	.04	-	 < 0.01	9.64E-01
signal transduction involved in positive regulation of conjugation with cellular fusion (GO:0032005)	6	0	.11	-	 < 0.01	8.96E-01
negative regulation of transcription regulatory region DNA binding (GO:2000678)	1	0	.02	-	 < 0.01	9.82E-01
regulation of transcription regulatory region DNA binding (GO:2000677)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of mitotic cohesin ssDNA (lagging strand) loading (GO:0106112)	1	0	.02	-	 < 0.01	9.82E-01
regulation of mitotic cohesin ssDNA (lagging strand) loading (GO:0106111)	1	0	.02	-	 < 0.01	9.82E-01
cellular response to nitrogen levels (GO:0043562)	8	0	.15	-	 < 0.01	8.63E-01
regulation of RNA import into nucleus (GO:0046828)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of protein export from nucleus (GO:0046827)	2	0	.04	-	 < 0.01	9.64E-01
regulation of protein export from nucleus (GO:0046825)	5	0	.09	-	 < 0.01	9.12E-01
positive regulation of nucleocytoplasmic transport (GO:0046824)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of DNA repair (GO:0045739)	1	0	.02	-	 < 0.01	9.82E-01
regulation of nucleocytoplasmic transport (GO:0046822)	9	0	.17	-	 < 0.01	8.48E-01
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of protein catabolic process (GO:0045732)	17	0	.31	-	 < 0.01	7.32E-01
chaperone-mediated protein complex assembly (GO:0051131)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of cellular component organization (GO:0051130)	49	0	.90	-	 < 0.01	4.06E-01
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	1	0	.02	-	 < 0.01	9.82E-01
regulation of translational initiation in response to stress (GO:0043558)	4	0	.07	-	 < 0.01	9.29E-01
regulation of telomere maintenance via telomere lengthening (GO:1904356)	2	0	.04	-	 < 0.01	9.64E-01
regulation of translation in response to stress (GO:0043555)	4	0	.07	-	 < 0.01	9.29E-01
peptidyl-serine dephosphorylation (GO:0070262)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of translation (GO:0045727)	21	0	.39	-	 < 0.01	6.80E-01
negative regulation of actin nucleation (GO:0051126)	1	0	.02	-	 < 0.01	9.82E-01
xylulose catabolic process (GO:0005998)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-threonine dephosphorylation (GO:0035970)	1	0	.02	-	 < 0.01	9.82E-01
regulation of actin nucleation (GO:0051125)	2	0	.04	-	 < 0.01	9.64E-01
xylulose metabolic process (GO:0005997)	1	0	.02	-	 < 0.01	9.82E-01
RNA polymerase II preinitiation complex assembly (GO:0051123)	11	0	.20	-	 < 0.01	8.17E-01
positive regulation of fatty acid biosynthetic process (GO:0045723)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of gluconeogenesis (GO:0045722)	1	0	.02	-	 < 0.01	9.82E-01
trehalose catabolic process (GO:0005993)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of gluconeogenesis (GO:0045721)	2	0	.04	-	 < 0.01	9.64E-01
trehalose metabolic process (GO:0005991)	2	0	.04	-	 < 0.01	9.64E-01
lactose catabolic process (GO:0005990)	2	0	.04	-	 < 0.01	9.64E-01
citrate transport (GO:0015746)	2	0	.04	-	 < 0.01	9.64E-01
regulation of kinase activity (GO:0043549)	46	0	.84	-	 < 0.01	4.29E-01
succinate transport (GO:0015744)	2	0	.04	-	 < 0.01	9.64E-01
malate transport (GO:0015743)	6	0	.11	-	 < 0.01	8.96E-01
positive regulation of GTPase activity (GO:0043547)	37	0	.68	-	 < 0.01	5.07E-01
signal transduction involved in mitotic G2 DNA damage checkpoint (GO:0072434)	1	0	.02	-	 < 0.01	9.82E-01
alpha-ketoglutarate transport (GO:0015742)	2	0	.04	-	 < 0.01	9.64E-01
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	5	0	.09	-	 < 0.01	9.12E-01
fumarate transport (GO:0015741)	1	0	.02	-	 < 0.01	9.82E-01
molybdopterin cofactor metabolic process (GO:0043545)	8	0	.15	-	 < 0.01	8.63E-01
purine nucleotide-sugar transmembrane transport (GO:0090480)	1	0	.02	-	 < 0.01	9.82E-01
C4-dicarboxylate transport (GO:0015740)	8	0	.15	-	 < 0.01	8.63E-01
exon-exon junction complex disassembly (GO:1903259)	1	0	.02	-	 < 0.01	9.82E-01
protein acylation (GO:0043543)	51	0	.94	-	 < 0.01	3.91E-01
ribonucleoside catabolic process (GO:0042454)	5	0	.09	-	 < 0.01	9.12E-01
purine nucleoside biosynthetic process (GO:0042451)	13	0	.24	-	 < 0.01	7.88E-01
arginine biosynthetic process via ornithine (GO:0042450)	2	0	.04	-	 < 0.01	9.64E-01
cardiolipin acyl-chain remodeling (GO:0035965)	3	0	.06	-	 < 0.01	9.46E-01
COPI-coated vesicle budding (GO:0035964)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of glycogen biosynthetic process (GO:0045719)	1	0	.02	-	 < 0.01	9.82E-01
lactose metabolic process (GO:0005988)	2	0	.04	-	 < 0.01	9.64E-01
sucrose catabolic process (GO:0005987)	2	0	.04	-	 < 0.01	9.64E-01
glucosamine-containing compound biosynthetic process (GO:1901073)	7	0	.13	-	 < 0.01	8.79E-01
sucrose biosynthetic process (GO:0005986)	2	0	.04	-	 < 0.01	9.64E-01
sucrose metabolic process (GO:0005985)	4	0	.07	-	 < 0.01	9.29E-01
guanosine-containing compound biosynthetic process (GO:1901070)	5	0	.09	-	 < 0.01	9.12E-01
