




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (995)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
chaperone cofactor-dependent protein refolding (GO:0051085)	19	6	3.22	+	1.87	1.07E-01
'de novo' posttranslational protein folding (GO:0051084)	19	6	3.22	+	1.87	1.07E-01
regulation of cell maturation (GO:1903429)	16	5	2.71	+	1.85	1.38E-01
regulation of neuron maturation (GO:0014041)	16	5	2.71	+	1.85	1.38E-01
response to drug (GO:0042493)	16	5	2.71	+	1.85	1.38E-01
regulation of neuron remodeling (GO:1904799)	16	5	2.71	+	1.85	1.38E-01
positive regulation of circadian sleep/wake cycle, sleep (GO:0045938)	16	5	2.71	+	1.85	1.38E-01
response to sucrose (GO:0009744)	16	5	2.71	+	1.85	1.38E-01
locomotor rhythm (GO:0045475)	61	19	10.33	+	1.84	9.46E-03
protein folding (GO:0006457)	61	19	10.33	+	1.84	9.46E-03
mitochondrial translation (GO:0032543)	74	23	12.53	+	1.84	4.76E-03
regulation of circadian rhythm (GO:0042752)	81	25	13.71	+	1.82	3.65E-03
mitochondrial gene expression (GO:0140053)	81	25	13.71	+	1.82	3.65E-03
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	13	4	2.20	+	1.82	1.81E-01
non-canonical Wnt signaling pathway (GO:0035567)	13	4	2.20	+	1.82	1.81E-01
lysosome organization (GO:0007040)	13	4	2.20	+	1.82	1.81E-01
regulation of synaptic activity (GO:0060025)	13	4	2.20	+	1.82	1.81E-01
protein O-linked glycosylation (GO:0006493)	13	4	2.20	+	1.82	1.81E-01
positive regulation of axon guidance (GO:1902669)	13	4	2.20	+	1.82	1.81E-01
regulation of defense response to fungus (GO:1900150)	13	4	2.20	+	1.82	1.81E-01
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	13	4	2.20	+	1.82	1.81E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	26	8	4.40	+	1.82	7.82E-02
calcium ion transmembrane transport (GO:0070588)	26	8	4.40	+	1.82	7.82E-02
aerobic electron transport chain (GO:0019646)	13	4	2.20	+	1.82	1.81E-01
extracellular matrix assembly (GO:0085029)	13	4	2.20	+	1.82	1.81E-01
protein depolymerization (GO:0051261)	13	4	2.20	+	1.82	1.81E-01
lytic vacuole organization (GO:0080171)	13	4	2.20	+	1.82	1.81E-01
polyol catabolic process (GO:0046174)	13	4	2.20	+	1.82	1.81E-01
negative regulation of secretion (GO:0051048)	13	4	2.20	+	1.82	1.81E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	23	7	3.89	+	1.80	9.95E-02
photoreceptor cell development (GO:0042461)	92	28	15.57	+	1.80	2.65E-03
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	10	3	1.69	+	1.77	2.41E-01
protein import into peroxisome matrix (GO:0016558)	10	3	1.69	+	1.77	2.41E-01
hydrogen peroxide metabolic process (GO:0042743)	10	3	1.69	+	1.77	2.41E-01
canonical Wnt signaling pathway (GO:0060070)	20	6	3.39	+	1.77	1.27E-01
plasma membrane organization (GO:0007009)	20	6	3.39	+	1.77	1.27E-01
protein localization to synapse (GO:0035418)	10	3	1.69	+	1.77	2.41E-01
peptidyl-tyrosine dephosphorylation (GO:0035335)	10	3	1.69	+	1.77	2.41E-01
negative regulation of lipid storage (GO:0010888)	10	3	1.69	+	1.77	2.41E-01
oocyte nucleus localization involved in oocyte dorsal/ventral axis specification (GO:0051663)	10	3	1.69	+	1.77	2.41E-01
digestive system process (GO:0022600)	10	3	1.69	+	1.77	2.41E-01
positive regulation of antifungal peptide production (GO:0002804)	10	3	1.69	+	1.77	2.41E-01
unidimensional cell growth (GO:0009826)	20	6	3.39	+	1.77	1.27E-01
potassium ion import across plasma membrane (GO:1990573)	10	3	1.69	+	1.77	2.41E-01
detoxification of zinc ion (GO:0010312)	10	3	1.69	+	1.77	2.41E-01
negative regulation of lipid localization (GO:1905953)	10	3	1.69	+	1.77	2.41E-01
regulation of stem cell division (GO:2000035)	10	3	1.69	+	1.77	2.41E-01
regulation of locomotor rhythm (GO:1904059)	10	3	1.69	+	1.77	2.41E-01
stress response to zinc ion (GO:1990359)	10	3	1.69	+	1.77	2.41E-01
initiation of dorsal closure (GO:0007392)	10	3	1.69	+	1.77	2.41E-01
positive regulation of secretion by cell (GO:1903532)	30	9	5.08	+	1.77	7.28E-02
interstrand cross-link repair (GO:0036297)	10	3	1.69	+	1.77	2.41E-01
regulation of DNA-templated transcription, elongation (GO:0032784)	27	8	4.57	+	1.75	9.20E-02
autophagosome organization (GO:1905037)	27	8	4.57	+	1.75	9.20E-02
larval midgut histolysis (GO:0035069)	27	8	4.57	+	1.75	9.20E-02
regulation of protein stability (GO:0031647)	54	16	9.14	+	1.75	2.43E-02
cytosolic transport (GO:0016482)	44	13	7.45	+	1.75	4.02E-02
positive regulation of macroautophagy (GO:0016239)	17	5	2.88	+	1.74	1.64E-01
glycogen metabolic process (GO:0005977)	17	5	2.88	+	1.74	1.64E-01
energy reserve metabolic process (GO:0006112)	17	5	2.88	+	1.74	1.64E-01
cellular glucan metabolic process (GO:0006073)	17	5	2.88	+	1.74	1.64E-01
negative regulation of protein polymerization (GO:0032272)	17	5	2.88	+	1.74	1.64E-01
adherens junction assembly (GO:0034333)	17	5	2.88	+	1.74	1.64E-01
positive regulation of gene expression, epigenetic (GO:0045815)	17	5	2.88	+	1.74	1.64E-01
glucan metabolic process (GO:0044042)	17	5	2.88	+	1.74	1.64E-01
polyol biosynthetic process (GO:0046173)	17	5	2.88	+	1.74	1.64E-01
regulation of vesicle-mediated transport (GO:0060627)	109	32	18.45	+	1.73	2.38E-03
apoptotic signaling pathway (GO:0097190)	24	7	4.06	+	1.72	1.17E-01
glycoprotein metabolic process (GO:0009100)	62	18	10.50	+	1.72	2.12E-02
regulation of dendrite morphogenesis (GO:0048814)	31	9	5.25	+	1.72	8.49E-02
polyol metabolic process (GO:0019751)	31	9	5.25	+	1.72	8.49E-02
positive regulation of secretion (GO:0051047)	31	9	5.25	+	1.72	8.49E-02
anatomical structure homeostasis (GO:0060249)	145	42	24.54	+	1.71	7.16E-04
response to radiation (GO:0009314)	157	45	26.58	+	1.69	5.82E-04
N-terminal protein amino acid modification (GO:0031365)	7	2	1.18	+	1.69	3.32E-01
protein autoprocessing (GO:0016540)	7	2	1.18	+	1.69	3.32E-01
female meiosis I (GO:0007144)	7	2	1.18	+	1.69	3.32E-01
oligosaccharide metabolic process (GO:0009311)	7	2	1.18	+	1.69	3.32E-01
regulation of regulated secretory pathway (GO:1903305)	14	4	2.37	+	1.69	2.15E-01
mitotic centrosome separation (GO:0007100)	7	2	1.18	+	1.69	3.32E-01
rhabdomere membrane biogenesis (GO:0045313)	7	2	1.18	+	1.69	3.32E-01
positive regulation of protein localization to membrane (GO:1905477)	7	2	1.18	+	1.69	3.32E-01
spindle assembly involved in male meiosis (GO:0007053)	7	2	1.18	+	1.69	3.32E-01
pteridine-containing compound metabolic process (GO:0042558)	14	4	2.37	+	1.69	2.15E-01
phospholipid biosynthetic process (GO:0008654)	28	8	4.74	+	1.69	1.07E-01
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	14	4	2.37	+	1.69	2.15E-01
negative regulation of protein dephosphorylation (GO:0035308)	7	2	1.18	+	1.69	3.32E-01
C4-dicarboxylate transport (GO:0015740)	7	2	1.18	+	1.69	3.32E-01
negative regulation of chromatin organization (GO:1905268)	21	6	3.55	+	1.69	1.49E-01
regulation of protein localization to plasma membrane (GO:1903076)	7	2	1.18	+	1.69	3.32E-01
aspartate family amino acid biosynthetic process (GO:0009067)	7	2	1.18	+	1.69	3.32E-01
indole-containing compound metabolic process (GO:0042430)	7	2	1.18	+	1.69	3.32E-01
behavioral response to nutrient (GO:0051780)	7	2	1.18	+	1.69	3.32E-01
respiratory chain complex IV assembly (GO:0008535)	7	2	1.18	+	1.69	3.32E-01
DNA-templated transcription, termination (GO:0006353)	7	2	1.18	+	1.69	3.32E-01
gonad morphogenesis (GO:0035262)	7	2	1.18	+	1.69	3.32E-01
microvillus organization (GO:0032528)	7	2	1.18	+	1.69	3.32E-01
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	14	4	2.37	+	1.69	2.15E-01
positive regulation of wound healing (GO:0090303)	14	4	2.37	+	1.69	2.15E-01
maintenance of gastrointestinal epithelium (GO:0030277)	7	2	1.18	+	1.69	3.32E-01
positive regulation of Wnt protein secretion (GO:0061357)	7	2	1.18	+	1.69	3.32E-01
regulation of Wnt protein secretion (GO:0061356)	7	2	1.18	+	1.69	3.32E-01
pyrimidine nucleobase biosynthetic process (GO:0019856)	7	2	1.18	+	1.69	3.32E-01
positive regulation of Rho protein signal transduction (GO:0035025)	7	2	1.18	+	1.69	3.32E-01
piRNA metabolic process (GO:0034587)	14	4	2.37	+	1.69	2.15E-01
neuron projection organization (GO:0106027)	7	2	1.18	+	1.69	3.32E-01
retrograde transport, endosome to Golgi (GO:0042147)	21	6	3.55	+	1.69	1.49E-01
inositol metabolic process (GO:0006020)	7	2	1.18	+	1.69	3.32E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	35	10	5.92	+	1.69	7.82E-02
intestinal epithelial structure maintenance (GO:0060729)	7	2	1.18	+	1.69	3.32E-01
receptor localization to synapse (GO:0097120)	7	2	1.18	+	1.69	3.32E-01
positive regulation of feeding behavior (GO:2000253)	7	2	1.18	+	1.69	3.32E-01
skeletal myofibril assembly (GO:0014866)	7	2	1.18	+	1.69	3.32E-01
intercellular transport (GO:0010496)	7	2	1.18	+	1.69	3.32E-01
positive regulation of protein localization to cell periphery (GO:1904377)	7	2	1.18	+	1.69	3.32E-01
central nervous system neuron differentiation (GO:0021953)	7	2	1.18	+	1.69	3.32E-01
dendritic spine organization (GO:0097061)	7	2	1.18	+	1.69	3.32E-01
rhythmic behavior (GO:0007622)	70	20	11.85	+	1.69	1.83E-02
protein stabilization (GO:0050821)	35	10	5.92	+	1.69	7.82E-02
histone monoubiquitination (GO:0010390)	7	2	1.18	+	1.69	3.32E-01
negative regulation of peptide secretion (GO:0002792)	7	2	1.18	+	1.69	3.32E-01
positive regulation of heart contraction (GO:0045823)	7	2	1.18	+	1.69	3.32E-01
purine-containing compound catabolic process (GO:0072523)	14	4	2.37	+	1.69	2.15E-01
synaptic vesicle recycling (GO:0036465)	42	12	7.11	+	1.69	5.78E-02
ciliary basal body organization (GO:0032053)	7	2	1.18	+	1.69	3.32E-01
imaginal disc-derived female genitalia development (GO:0007486)	7	2	1.18	+	1.69	3.32E-01
cytosolic calcium ion transport (GO:0060401)	7	2	1.18	+	1.69	3.32E-01
positive regulation of binding (GO:0051099)	7	2	1.18	+	1.69	3.32E-01
negative regulation of R7 cell differentiation (GO:0045677)	7	2	1.18	+	1.69	3.32E-01
positive regulation of hemocyte differentiation (GO:0045612)	7	2	1.18	+	1.69	3.32E-01
mitochondrial cytochrome c oxidase assembly (GO:0033617)	7	2	1.18	+	1.69	3.32E-01
positive regulation of ATP metabolic process (GO:1903580)	7	2	1.18	+	1.69	3.32E-01
egg activation (GO:0007343)	7	2	1.18	+	1.69	3.32E-01
positive regulation of blood circulation (GO:1903524)	7	2	1.18	+	1.69	3.32E-01
positive regulation of protein-containing complex assembly (GO:0031334)	46	13	7.79	+	1.67	5.34E-02
vacuolar transport (GO:0007034)	46	13	7.79	+	1.67	5.34E-02
cellular carbohydrate metabolic process (GO:0044262)	46	13	7.79	+	1.67	5.34E-02
carbohydrate derivative catabolic process (GO:1901136)	39	11	6.60	+	1.67	7.20E-02
phagocytosis (GO:0006909)	39	11	6.60	+	1.67	7.20E-02
regulation of DNA metabolic process (GO:0051052)	39	11	6.60	+	1.67	7.20E-02
aerobic respiration (GO:0009060)	32	9	5.42	+	1.66	9.81E-02
autophagosome assembly (GO:0000045)	25	7	4.23	+	1.65	1.36E-01
development of primary sexual characteristics (GO:0045137)	50	14	8.46	+	1.65	4.92E-02
gonad development (GO:0008406)	50	14	8.46	+	1.65	4.92E-02
circadian behavior (GO:0048512)	68	19	11.51	+	1.65	2.56E-02
morphogenesis of a branching structure (GO:0001763)	54	15	9.14	+	1.64	4.54E-02
peroxisome organization (GO:0007031)	18	5	3.05	+	1.64	1.92E-01
aggressive behavior (GO:0002118)	18	5	3.05	+	1.64	1.92E-01
cyclic nucleotide metabolic process (GO:0009187)	18	5	3.05	+	1.64	1.92E-01
regulation of compound eye retinal cell programmed cell death (GO:0046669)	18	5	3.05	+	1.64	1.92E-01
regulation of retinal cell programmed cell death (GO:0046668)	18	5	3.05	+	1.64	1.92E-01
branching morphogenesis of an epithelial tube (GO:0048754)	54	15	9.14	+	1.64	4.54E-02
response to acid chemical (GO:0001101)	18	5	3.05	+	1.64	1.92E-01
morphogenesis of a branching epithelium (GO:0061138)	54	15	9.14	+	1.64	4.54E-02
cell junction maintenance (GO:0034331)	18	5	3.05	+	1.64	1.92E-01
cellular protein complex disassembly (GO:0043624)	18	5	3.05	+	1.64	1.92E-01
response to disaccharide (GO:0034285)	18	5	3.05	+	1.64	1.92E-01
cellular response to topologically incorrect protein (GO:0035967)	36	10	6.09	+	1.64	8.99E-02
regulation of defense response to virus (GO:0050688)	18	5	3.05	+	1.64	1.92E-01
branching involved in open tracheal system development (GO:0060446)	54	15	9.14	+	1.64	4.54E-02
heart morphogenesis (GO:0003007)	36	10	6.09	+	1.64	8.99E-02
muscle contraction (GO:0006936)	18	5	3.05	+	1.64	1.92E-01
anion transport (GO:0006820)	94	26	15.91	+	1.63	1.17E-02
small molecule catabolic process (GO:0044282)	76	21	12.86	+	1.63	2.20E-02
cellular response to chemical stress (GO:0062197)	29	8	4.91	+	1.63	1.24E-01
cellular lipid catabolic process (GO:0044242)	29	8	4.91	+	1.63	1.24E-01
circadian rhythm (GO:0007623)	87	24	14.73	+	1.63	1.54E-02
positive regulation of behavior (GO:0048520)	29	8	4.91	+	1.63	1.24E-01
regulation of heart contraction (GO:0008016)	29	8	4.91	+	1.63	1.24E-01
regulation of blood circulation (GO:1903522)	29	8	4.91	+	1.63	1.24E-01
positive regulation of canonical Wnt signaling pathway (GO:0090263)	40	11	6.77	+	1.62	8.24E-02
pigment metabolic process (GO:0042440)	95	26	16.08	+	1.62	1.32E-02
response to zinc ion (GO:0010043)	11	3	1.86	+	1.61	2.86E-01
negative regulation of protein-containing complex assembly (GO:0031333)	22	6	3.72	+	1.61	1.73E-01
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	11	3	1.86	+	1.61	2.86E-01
cytochrome complex assembly (GO:0017004)	11	3	1.86	+	1.61	2.86E-01
endomitotic cell cycle (GO:0007113)	11	3	1.86	+	1.61	2.86E-01
receptor clustering (GO:0043113)	11	3	1.86	+	1.61	2.86E-01
phospholipid transport (GO:0015914)	11	3	1.86	+	1.61	2.86E-01
glycophagy (GO:0061723)	11	3	1.86	+	1.61	2.86E-01
L-amino acid transport (GO:0015807)	11	3	1.86	+	1.61	2.86E-01
cellular response to gamma radiation (GO:0071480)	11	3	1.86	+	1.61	2.86E-01
regulation of axon extension (GO:0030516)	22	6	3.72	+	1.61	1.73E-01
glutamine family amino acid catabolic process (GO:0009065)	11	3	1.86	+	1.61	2.86E-01
cellular response to steroid hormone stimulus (GO:0071383)	11	3	1.86	+	1.61	2.86E-01
regulation of DNA repair (GO:0006282)	11	3	1.86	+	1.61	2.86E-01
dorsal closure, amnioserosa morphology change (GO:0046664)	11	3	1.86	+	1.61	2.86E-01
regulation of extent of cell growth (GO:0061387)	22	6	3.72	+	1.61	1.73E-01
cell elongation involved in imaginal disc-derived wing morphogenesis (GO:0090254)	11	3	1.86	+	1.61	2.86E-01
sperm chromatin decondensation (GO:0035041)	11	3	1.86	+	1.61	2.86E-01
regulation of Rho protein signal transduction (GO:0035023)	22	6	3.72	+	1.61	1.73E-01
positive regulation of Wnt signaling pathway (GO:0030177)	44	12	7.45	+	1.61	7.55E-02
negative regulation of transposition (GO:0010529)	22	6	3.72	+	1.61	1.73E-01
DNA catabolic process, endonucleolytic (GO:0000737)	11	3	1.86	+	1.61	2.86E-01
chitin catabolic process (GO:0006032)	11	3	1.86	+	1.61	2.86E-01
execution phase of apoptosis (GO:0097194)	11	3	1.86	+	1.61	2.86E-01
regulation of actin filament bundle assembly (GO:0032231)	11	3	1.86	+	1.61	2.86E-01
visual behavior (GO:0007632)	22	6	3.72	+	1.61	1.73E-01
response to steroid hormone (GO:0048545)	11	3	1.86	+	1.61	2.86E-01
rhythmic process (GO:0048511)	88	24	14.90	+	1.61	1.74E-02
positive regulation of DNA-templated transcription, initiation (GO:2000144)	11	3	1.86	+	1.61	2.86E-01
regulation of antifungal peptide production (GO:0002788)	11	3	1.86	+	1.61	2.86E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	11	3	1.86	+	1.61	2.86E-01
positive regulation of DNA metabolic process (GO:0051054)	11	3	1.86	+	1.61	2.86E-01
steroid hormone mediated signaling pathway (GO:0043401)	11	3	1.86	+	1.61	2.86E-01
purine ribonucleotide metabolic process (GO:0009150)	81	22	13.71	+	1.60	2.29E-02
presynaptic endocytosis (GO:0140238)	37	10	6.26	+	1.60	1.03E-01
synaptic vesicle endocytosis (GO:0048488)	37	10	6.26	+	1.60	1.03E-01
response to topologically incorrect protein (GO:0035966)	37	10	6.26	+	1.60	1.03E-01
negative regulation of transport (GO:0051051)	37	10	6.26	+	1.60	1.03E-01
autophagic cell death (GO:0048102)	26	7	4.40	+	1.59	1.56E-01
regulation of macroautophagy (GO:0016241)	26	7	4.40	+	1.59	1.56E-01
imaginal disc-derived wing margin morphogenesis (GO:0008587)	52	14	8.80	+	1.59	6.35E-02
cellular component maintenance (GO:0043954)	26	7	4.40	+	1.59	1.56E-01
cellular response to oxidative stress (GO:0034599)	26	7	4.40	+	1.59	1.56E-01
fluid transport (GO:0042044)	26	7	4.40	+	1.59	1.56E-01
import across plasma membrane (GO:0098739)	26	7	4.40	+	1.59	1.56E-01
purine-containing compound metabolic process (GO:0072521)	93	25	15.74	+	1.59	1.80E-02
vacuole organization (GO:0007033)	41	11	6.94	+	1.58	9.36E-02
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	15	4	2.54	+	1.58	2.51E-01
receptor metabolic process (GO:0043112)	15	4	2.54	+	1.58	2.51E-01
regulation of DNA recombination (GO:0000018)	15	4	2.54	+	1.58	2.51E-01
regulation of microtubule-based process (GO:0032886)	45	12	7.62	+	1.58	8.55E-02
endosome organization (GO:0007032)	15	4	2.54	+	1.58	2.51E-01
intracellular receptor signaling pathway (GO:0030522)	15	4	2.54	+	1.58	2.51E-01
regulation of heart rate (GO:0002027)	15	4	2.54	+	1.58	2.51E-01
monosaccharide metabolic process (GO:0005996)	30	8	5.08	+	1.58	1.41E-01
pupal development (GO:0035209)	15	4	2.54	+	1.58	2.51E-01
larval chitin-based cuticle development (GO:0008363)	30	8	5.08	+	1.58	1.41E-01
actin polymerization or depolymerization (GO:0008154)	15	4	2.54	+	1.58	2.51E-01
determination of bilateral symmetry (GO:0009855)	15	4	2.54	+	1.58	2.51E-01
specification of symmetry (GO:0009799)	15	4	2.54	+	1.58	2.51E-01
monocarboxylic acid metabolic process (GO:0032787)	79	21	13.37	+	1.57	3.13E-02
sensory perception of mechanical stimulus (GO:0050954)	68	18	11.51	+	1.56	4.51E-02
negative regulation of neurogenesis (GO:0050768)	34	9	5.76	+	1.56	1.28E-01
ribonucleotide metabolic process (GO:0009259)	87	23	14.73	+	1.56	2.66E-02
ribose phosphate metabolic process (GO:0019693)	87	23	14.73	+	1.56	2.66E-02
programmed cell death (GO:0012501)	133	35	22.51	+	1.55	8.12E-03
regulation of BMP signaling pathway (GO:0030510)	38	10	6.43	+	1.55	1.16E-01
regulation of transmembrane transporter activity (GO:0022898)	19	5	3.22	+	1.55	2.22E-01
negative regulation of cell development (GO:0010721)	38	10	6.43	+	1.55	1.16E-01
regulation of ion transmembrane transporter activity (GO:0032412)	19	5	3.22	+	1.55	2.22E-01
regulation of transporter activity (GO:0032409)	19	5	3.22	+	1.55	2.22E-01
cellular aldehyde metabolic process (GO:0006081)	19	5	3.22	+	1.55	2.22E-01
copulation (GO:0007620)	19	5	3.22	+	1.55	2.22E-01
negative regulation of synaptic transmission (GO:0050805)	19	5	3.22	+	1.55	2.22E-01
dicarboxylic acid metabolic process (GO:0043648)	19	5	3.22	+	1.55	2.22E-01
homeostatic process (GO:0042592)	378	99	63.99	+	1.55	1.52E-05
purine nucleotide metabolic process (GO:0006163)	84	22	14.22	+	1.55	3.22E-02
organic anion transport (GO:0015711)	65	17	11.00	+	1.55	5.50E-02
carbohydrate homeostasis (GO:0033500)	46	12	7.79	+	1.54	9.63E-02
positive regulation of circadian rhythm (GO:0042753)	23	6	3.89	+	1.54	1.98E-01
establishment of imaginal disc-derived wing hair orientation (GO:0001737)	23	6	3.89	+	1.54	1.98E-01
regulation of neurotransmitter secretion (GO:0046928)	23	6	3.89	+	1.54	1.98E-01
negative regulation of organ growth (GO:0046621)	23	6	3.89	+	1.54	1.98E-01
regulation of neurotransmitter transport (GO:0051588)	23	6	3.89	+	1.54	1.98E-01
regulation of female receptivity (GO:0045924)	23	6	3.89	+	1.54	1.98E-01
response to toxic substance (GO:0009636)	46	12	7.79	+	1.54	9.63E-02
carboxylic acid metabolic process (GO:0019752)	154	40	26.07	+	1.53	6.04E-03
glycerolipid metabolic process (GO:0046486)	77	20	13.03	+	1.53	4.25E-02
response to alkaloid (GO:0043279)	27	7	4.57	+	1.53	1.78E-01
RNA interference (GO:0016246)	27	7	4.57	+	1.53	1.78E-01
sensory perception of sound (GO:0007605)	54	14	9.14	+	1.53	8.02E-02
hormone-mediated signaling pathway (GO:0009755)	27	7	4.57	+	1.53	1.78E-01
regulation of binding (GO:0051098)	27	7	4.57	+	1.53	1.78E-01
protein transmembrane transport (GO:0071806)	31	8	5.25	+	1.52	1.60E-01
negative regulation of supramolecular fiber organization (GO:1902904)	31	8	5.25	+	1.52	1.60E-01
intracellular protein transmembrane transport (GO:0065002)	31	8	5.25	+	1.52	1.60E-01
cuticle development involved in chitin-based cuticle molting cycle (GO:0042337)	31	8	5.25	+	1.52	1.60E-01
