




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of insulin receptor signaling pathway (GO:0046627)	31	3	1.58	+	1.89	2.12E-01
regulation of smooth muscle cell migration (GO:0014910)	62	6	3.17	+	1.89	1.01E-01
positive regulation of autophagy (GO:0010508)	124	12	6.33	+	1.89	2.82E-02
adherens junction organization (GO:0034332)	62	6	3.17	+	1.89	1.01E-01
regulation of mRNA stability (GO:0043488)	176	17	8.99	+	1.89	1.06E-02
hexose metabolic process (GO:0019318)	145	14	7.41	+	1.89	1.92E-02
cellular response to carbohydrate stimulus (GO:0071322)	83	8	4.24	+	1.89	6.62E-02
RNA splicing, via transesterification reactions (GO:0000375)	270	26	13.79	+	1.89	1.96E-03
regulation of myoblast differentiation (GO:0045661)	52	5	2.66	+	1.88	1.30E-01
stem cell proliferation (GO:0072089)	52	5	2.66	+	1.88	1.30E-01
cellular response to glucocorticoid stimulus (GO:0071385)	52	5	2.66	+	1.88	1.30E-01
double-strand break repair via nonhomologous end joining (GO:0006303)	52	5	2.66	+	1.88	1.30E-01
regulation of cholesterol transport (GO:0032374)	52	5	2.66	+	1.88	1.30E-01
negative regulation of muscle cell differentiation (GO:0051148)	52	5	2.66	+	1.88	1.30E-01
chaperone-mediated protein folding (GO:0061077)	52	5	2.66	+	1.88	1.30E-01
regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	52	5	2.66	+	1.88	1.30E-01
cellular response to monosaccharide stimulus (GO:0071326)	73	7	3.73	+	1.88	8.39E-02
regulation of mitochondrial membrane permeability (GO:0046902)	73	7	3.73	+	1.88	8.39E-02
regulation of organelle assembly (GO:1902115)	167	16	8.53	+	1.88	1.38E-02
stress-activated protein kinase signaling cascade (GO:0031098)	115	11	5.87	+	1.87	3.71E-02
G2/M transition of mitotic cell cycle (GO:0000086)	136	13	6.95	+	1.87	2.51E-02
endosomal transport (GO:0016197)	199	19	10.16	+	1.87	8.05E-03
positive regulation of protein catabolic process (GO:0045732)	220	21	11.24	+	1.87	5.55E-03
hyperosmotic response (GO:0006972)	21	2	1.07	+	1.86	2.91E-01
positive regulation of myoblast differentiation (GO:0045663)	21	2	1.07	+	1.86	2.91E-01
positive regulation of extracellular matrix organization (GO:1903055)	21	2	1.07	+	1.86	2.91E-01
ensheathment of neurons (GO:0007272)	105	10	5.36	+	1.86	4.64E-02
regulation of receptor recycling (GO:0001919)	21	2	1.07	+	1.86	2.91E-01
negative regulation of stem cell differentiation (GO:2000737)	21	2	1.07	+	1.86	2.91E-01
negative regulation of transcription regulatory region DNA binding (GO:2000678)	21	2	1.07	+	1.86	2.91E-01
regulation of double-strand break repair via nonhomologous end joining (GO:2001032)	21	2	1.07	+	1.86	2.91E-01
regulation of endothelial cell chemotaxis (GO:2001026)	21	2	1.07	+	1.86	2.91E-01
mitotic spindle assembly checkpoint (GO:0007094)	21	2	1.07	+	1.86	2.91E-01
tRNA aminoacylation for protein translation (GO:0006418)	42	4	2.15	+	1.86	1.70E-01
error-free translesion synthesis (GO:0070987)	21	2	1.07	+	1.86	2.91E-01
regulation of lymphocyte chemotaxis (GO:1901623)	21	2	1.07	+	1.86	2.91E-01
cellular response to arsenic-containing substance (GO:0071243)	21	2	1.07	+	1.86	2.91E-01
regulation of brown fat cell differentiation (GO:0090335)	21	2	1.07	+	1.86	2.91E-01
mitotic spindle checkpoint (GO:0071174)	21	2	1.07	+	1.86	2.91E-01
spindle assembly checkpoint (GO:0071173)	21	2	1.07	+	1.86	2.91E-01
DNA catabolic process, endonucleolytic (GO:0000737)	21	2	1.07	+	1.86	2.91E-01
nucleotide-excision repair, DNA duplex unwinding (GO:0000717)	21	2	1.07	+	1.86	2.91E-01
nucleotide-excision repair, DNA damage recognition (GO:0000715)	21	2	1.07	+	1.86	2.91E-01
response to corticosterone (GO:0051412)	21	2	1.07	+	1.86	2.91E-01
mitochondrion morphogenesis (GO:0070584)	21	2	1.07	+	1.86	2.91E-01
positive regulation of actin filament bundle assembly (GO:0032233)	63	6	3.22	+	1.86	1.07E-01
G1 phase (GO:0051318)	21	2	1.07	+	1.86	2.91E-01
positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)	42	4	2.15	+	1.86	1.70E-01
cellular response to extracellular stimulus (GO:0031668)	252	24	12.87	+	1.86	3.27E-03
regulation of myelination (GO:0031641)	42	4	2.15	+	1.86	1.70E-01
import into nucleus (GO:0051170)	105	10	5.36	+	1.86	4.64E-02
spindle checkpoint (GO:0031577)	21	2	1.07	+	1.86	2.91E-01
polysaccharide catabolic process (GO:0000272)	21	2	1.07	+	1.86	2.91E-01
arachidonic acid secretion (GO:0050482)	21	2	1.07	+	1.86	2.91E-01
histone deubiquitination (GO:0016578)	21	2	1.07	+	1.86	2.91E-01
establishment of protein localization to plasma membrane (GO:0061951)	42	4	2.15	+	1.86	1.70E-01
exogenous drug catabolic process (GO:0042738)	21	2	1.07	+	1.86	2.91E-01
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	21	2	1.07	+	1.86	2.91E-01
mitotic G1 phase (GO:0000080)	21	2	1.07	+	1.86	2.91E-01
RNA 3'-end processing (GO:0031123)	105	10	5.36	+	1.86	4.64E-02
arachidonate transport (GO:1903963)	21	2	1.07	+	1.86	2.91E-01
regulation of centrosome duplication (GO:0010824)	42	4	2.15	+	1.86	1.70E-01
axon ensheathment (GO:0008366)	105	10	5.36	+	1.86	4.64E-02
prostate gland epithelium morphogenesis (GO:0060740)	21	2	1.07	+	1.86	2.91E-01
pulmonary valve development (GO:0003177)	21	2	1.07	+	1.86	2.91E-01
positive regulation of proteolysis (GO:0045862)	347	33	17.72	+	1.86	6.48E-04
lipid homeostasis (GO:0055088)	137	13	7.00	+	1.86	2.64E-02
response to heat (GO:0009408)	95	9	4.85	+	1.85	5.83E-02
negative regulation of phosphoprotein phosphatase activity (GO:0032515)	53	5	2.71	+	1.85	1.38E-01
regulation of sterol transport (GO:0032371)	53	5	2.71	+	1.85	1.38E-01
regulation of phosphoprotein phosphatase activity (GO:0043666)	106	10	5.41	+	1.85	4.89E-02
response to ischemia (GO:0002931)	53	5	2.71	+	1.85	1.38E-01
positive regulation of reactive oxygen species biosynthetic process (GO:1903428)	53	5	2.71	+	1.85	1.38E-01
response to insulin (GO:0032868)	223	21	11.39	+	1.84	6.42E-03
regulation of cysteine-type endopeptidase activity (GO:2000116)	223	21	11.39	+	1.84	6.42E-03
protein-containing complex localization (GO:0031503)	223	21	11.39	+	1.84	6.42E-03
regulation of mRNA metabolic process (GO:1903311)	308	29	15.73	+	1.84	1.55E-03
regulation of cell-matrix adhesion (GO:0001952)	117	11	5.98	+	1.84	4.10E-02
purine-containing compound biosynthetic process (GO:0072522)	149	14	7.61	+	1.84	2.34E-02
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	32	3	1.63	+	1.84	2.25E-01
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis (GO:0002433)	64	6	3.27	+	1.84	1.13E-01
T cell differentiation involved in immune response (GO:0002292)	32	3	1.63	+	1.84	2.25E-01
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	64	6	3.27	+	1.84	1.13E-01
positive regulation of monooxygenase activity (GO:0032770)	32	3	1.63	+	1.84	2.25E-01
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	32	3	1.63	+	1.84	2.25E-01
tRNA export from nucleus (GO:0006409)	32	3	1.63	+	1.84	2.25E-01
regulation of glycogen metabolic process (GO:0070873)	32	3	1.63	+	1.84	2.25E-01
regulation of axon extension involved in axon guidance (GO:0048841)	32	3	1.63	+	1.84	2.25E-01
regulation of stem cell population maintenance (GO:2000036)	32	3	1.63	+	1.84	2.25E-01
maturation of 5.8S rRNA (GO:0000460)	32	3	1.63	+	1.84	2.25E-01
'de novo' posttranslational protein folding (GO:0051084)	32	3	1.63	+	1.84	2.25E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	64	6	3.27	+	1.84	1.13E-01
positive regulation of protein-containing complex disassembly (GO:0043243)	32	3	1.63	+	1.84	2.25E-01
somatic cell DNA recombination (GO:0016444)	32	3	1.63	+	1.84	2.25E-01
telomere maintenance via telomere lengthening (GO:0010833)	32	3	1.63	+	1.84	2.25E-01
pyridine-containing compound biosynthetic process (GO:0072525)	32	3	1.63	+	1.84	2.25E-01
RNA splicing (GO:0008380)	352	33	17.98	+	1.84	8.20E-04
cellular response to interferon-gamma (GO:0071346)	150	14	7.66	+	1.83	2.46E-02
positive regulation of insulin secretion (GO:0032024)	75	7	3.83	+	1.83	9.33E-02
positive regulation of chromosome organization (GO:2001252)	161	15	8.22	+	1.82	2.08E-02
transcription by RNA polymerase II (GO:0006366)	365	34	18.64	+	1.82	7.67E-04
phospholipid biosynthetic process (GO:0008654)	247	23	12.62	+	1.82	5.11E-03
positive regulation of nitric oxide biosynthetic process (GO:0045429)	43	4	2.20	+	1.82	1.80E-01
protein import into nucleus (GO:0006606)	86	8	4.39	+	1.82	7.75E-02
intermembrane lipid transfer (GO:0120009)	43	4	2.20	+	1.82	1.80E-01
coronary vasculature development (GO:0060976)	43	4	2.20	+	1.82	1.80E-01
anterograde axonal transport (GO:0008089)	43	4	2.20	+	1.82	1.80E-01
axonal transport (GO:0098930)	54	5	2.76	+	1.81	1.46E-01
tight junction assembly (GO:0120192)	54	5	2.76	+	1.81	1.46E-01
cholesterol transport (GO:0030301)	54	5	2.76	+	1.81	1.46E-01
execution phase of apoptosis (GO:0097194)	54	5	2.76	+	1.81	1.46E-01
nucleobase-containing compound transport (GO:0015931)	227	21	11.59	+	1.81	7.75E-03
positive regulation of DNA biosynthetic process (GO:2000573)	65	6	3.32	+	1.81	1.19E-01
response to organophosphorus (GO:0046683)	130	12	6.64	+	1.81	3.81E-02
mitotic spindle organization (GO:0007052)	152	14	7.76	+	1.80	2.71E-02
cellular polysaccharide metabolic process (GO:0044264)	76	7	3.88	+	1.80	9.82E-02
regulation of striated muscle cell differentiation (GO:0051153)	76	7	3.88	+	1.80	9.82E-02
monosaccharide metabolic process (GO:0005996)	174	16	8.89	+	1.80	1.93E-02
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	87	8	4.44	+	1.80	8.15E-02
regulation of RNA stability (GO:0043487)	185	17	9.45	+	1.80	1.64E-02
mRNA processing (GO:0006397)	414	38	21.15	+	1.80	5.08E-04
macromolecule methylation (GO:0043414)	207	19	10.57	+	1.80	1.18E-02
response to starvation (GO:0042594)	218	20	11.13	+	1.80	9.99E-03
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	142	13	7.25	+	1.79	3.36E-02
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	153	14	7.81	+	1.79	2.84E-02
positive regulation of endopeptidase activity (GO:0010950)	164	15	8.38	+	1.79	2.40E-02
positive regulation of cellular catabolic process (GO:0031331)	372	34	19.00	+	1.79	1.05E-03
nucleotide biosynthetic process (GO:0009165)	197	18	10.06	+	1.79	1.45E-02
regulation of mRNA catabolic process (GO:0061013)	197	18	10.06	+	1.79	1.45E-02
homotypic cell-cell adhesion (GO:0034109)	55	5	2.81	+	1.78	1.53E-01
cellular response to corticosteroid stimulus (GO:0071384)	55	5	2.81	+	1.78	1.53E-01
regulation of DNA-templated transcription in response to stress (GO:0043620)	110	10	5.62	+	1.78	5.95E-02
gene silencing by RNA (GO:0031047)	77	7	3.93	+	1.78	1.03E-01
positive regulation of dephosphorylation (GO:0035306)	55	5	2.81	+	1.78	1.53E-01
regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)	55	5	2.81	+	1.78	1.53E-01
heparan sulfate proteoglycan biosynthetic process (GO:0015012)	22	2	1.12	+	1.78	3.10E-01
aldehyde catabolic process (GO:0046185)	11	1	.56	+	1.78	4.30E-01
branching involved in mammary gland duct morphogenesis (GO:0060444)	22	2	1.12	+	1.78	3.10E-01
pinocytosis (GO:0006907)	11	1	.56	+	1.78	4.30E-01
positive regulation of monocyte differentiation (GO:0045657)	11	1	.56	+	1.78	4.30E-01
regulation of T-helper 2 cell differentiation (GO:0045628)	11	1	.56	+	1.78	4.30E-01
positive regulation of epidermal cell differentiation (GO:0045606)	22	2	1.12	+	1.78	3.10E-01
chaperone-mediated protein transport (GO:0072321)	11	1	.56	+	1.78	4.30E-01
trabecula formation (GO:0060343)	22	2	1.12	+	1.78	3.10E-01
DNA biosynthetic process (GO:0071897)	99	9	5.06	+	1.78	7.12E-02
positive regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001241)	11	1	.56	+	1.78	4.30E-01
regulation of chloride transport (GO:2001225)	11	1	.56	+	1.78	4.30E-01
pons development (GO:0021548)	11	1	.56	+	1.78	4.30E-01
T cell cytokine production (GO:0002369)	11	1	.56	+	1.78	4.30E-01
estrogen biosynthetic process (GO:0006703)	11	1	.56	+	1.78	4.30E-01
metanephric tubule morphogenesis (GO:0072173)	11	1	.56	+	1.78	4.30E-01
phosphatidylglycerol biosynthetic process (GO:0006655)	11	1	.56	+	1.78	4.30E-01
negative regulation of protein acetylation (GO:1901984)	22	2	1.12	+	1.78	3.10E-01
natural killer cell mediated immunity (GO:0002228)	22	2	1.12	+	1.78	3.10E-01
regulation of protein glycosylation (GO:0060049)	11	1	.56	+	1.78	4.30E-01
interleukin-2-mediated signaling pathway (GO:0038110)	11	1	.56	+	1.78	4.30E-01
L-phenylalanine catabolic process (GO:0006559)	11	1	.56	+	1.78	4.30E-01
L-phenylalanine metabolic process (GO:0006558)	11	1	.56	+	1.78	4.30E-01
negative regulation of telomerase activity (GO:0051974)	11	1	.56	+	1.78	4.30E-01
regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836)	11	1	.56	+	1.78	4.30E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	11	1	.56	+	1.78	4.30E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	11	1	.56	+	1.78	4.30E-01
signal peptide processing (GO:0006465)	11	1	.56	+	1.78	4.30E-01
phosphatidylinositol 3-kinase signaling (GO:0014065)	33	3	1.69	+	1.78	2.39E-01
cellular hyperosmotic response (GO:0071474)	11	1	.56	+	1.78	4.30E-01
diet induced thermogenesis (GO:0002024)	11	1	.56	+	1.78	4.30E-01
positive regulation of intracellular estrogen receptor signaling pathway (GO:0033148)	11	1	.56	+	1.78	4.30E-01
adhesion of symbiont to host cell (GO:0044650)	11	1	.56	+	1.78	4.30E-01
termination of RNA polymerase II transcription (GO:0006369)	33	3	1.69	+	1.78	2.39E-01
positive thymic T cell selection (GO:0045059)	11	1	.56	+	1.78	4.30E-01
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	11	1	.56	+	1.78	4.30E-01
maintenance of protein location in cell (GO:0032507)	66	6	3.37	+	1.78	1.25E-01
regulation of gonad development (GO:1905939)	11	1	.56	+	1.78	4.30E-01
negative regulation of excitatory postsynaptic potential (GO:0090394)	11	1	.56	+	1.78	4.30E-01
phagosome-lysosome fusion (GO:0090385)	11	1	.56	+	1.78	4.30E-01
L-aspartate transmembrane transport (GO:0070778)	11	1	.56	+	1.78	4.30E-01
regulation of protein deacetylation (GO:0090311)	44	4	2.25	+	1.78	1.90E-01
trans-synaptic signaling, modulating synaptic transmission (GO:0099550)	11	1	.56	+	1.78	4.30E-01
cGMP biosynthetic process (GO:0006182)	11	1	.56	+	1.78	4.30E-01
response to folic acid (GO:0051593)	11	1	.56	+	1.78	4.30E-01
negative regulation of histone H3-K9 methylation (GO:0051573)	11	1	.56	+	1.78	4.30E-01
regulation of chromatin silencing (GO:0031935)	11	1	.56	+	1.78	4.30E-01
negative regulation of astrocyte differentiation (GO:0048712)	11	1	.56	+	1.78	4.30E-01
response to leptin (GO:0044321)	22	2	1.12	+	1.78	3.10E-01
negative regulation of hormone metabolic process (GO:0032351)	11	1	.56	+	1.78	4.30E-01
gluconeogenesis (GO:0006094)	44	4	2.25	+	1.78	1.90E-01
positive regulation of prostaglandin secretion (GO:0032308)	11	1	.56	+	1.78	4.30E-01
positive regulation of phospholipid biosynthetic process (GO:0071073)	11	1	.56	+	1.78	4.30E-01
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	11	1	.56	+	1.78	4.30E-01
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	11	1	.56	+	1.78	4.30E-01
intracellular pH reduction (GO:0051452)	44	4	2.25	+	1.78	1.90E-01
regulation of branching involved in ureteric bud morphogenesis (GO:0090189)	22	2	1.12	+	1.78	3.10E-01
regulation of smooth muscle cell proliferation (GO:0048660)	132	12	6.74	+	1.78	4.19E-02
neurotransmitter receptor transport to plasma membrane (GO:0098877)	11	1	.56	+	1.78	4.30E-01
regulation of steroid hormone biosynthetic process (GO:0090030)	11	1	.56	+	1.78	4.30E-01
regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070424)	11	1	.56	+	1.78	4.30E-01
response to hexose (GO:0009746)	143	13	7.30	+	1.78	3.52E-02
negative regulation of phagocytosis (GO:0050765)	22	2	1.12	+	1.78	3.10E-01
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	22	2	1.12	+	1.78	3.10E-01
peptidyl-threonine dephosphorylation (GO:0035970)	22	2	1.12	+	1.78	3.10E-01
negative regulation of calcium ion transmembrane transporter activity (GO:1901020)	33	3	1.69	+	1.78	2.39E-01
protein auto-ADP-ribosylation (GO:0070213)	11	1	.56	+	1.78	4.30E-01
positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904925)	11	1	.56	+	1.78	4.30E-01
regulation of cellular carbohydrate catabolic process (GO:0043471)	11	1	.56	+	1.78	4.30E-01
positive regulation of immunoglobulin secretion (GO:0051024)	11	1	.56	+	1.78	4.30E-01
negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948)	11	1	.56	+	1.78	4.30E-01
Rac protein signal transduction (GO:0016601)	22	2	1.12	+	1.78	3.10E-01
positive regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0035774)	33	3	1.69	+	1.78	2.39E-01
response to insecticide (GO:0017085)	11	1	.56	+	1.78	4.30E-01
negative regulation of cardiocyte differentiation (GO:1905208)	11	1	.56	+	1.78	4.30E-01
positive regulation of actin filament depolymerization (GO:0030836)	11	1	.56	+	1.78	4.30E-01
mRNA transcription by RNA polymerase II (GO:0042789)	11	1	.56	+	1.78	4.30E-01
snoRNA 3'-end processing (GO:0031126)	11	1	.56	+	1.78	4.30E-01
nucleotide-sugar biosynthetic process (GO:0009226)	22	2	1.12	+	1.78	3.10E-01
negative regulation of protein localization to nucleus (GO:1900181)	33	3	1.69	+	1.78	2.39E-01
phosphate ion homeostasis (GO:0055062)	11	1	.56	+	1.78	4.30E-01
tRNA aminoacylation (GO:0043039)	44	4	2.25	+	1.78	1.90E-01
gamma-aminobutyric acid transport (GO:0015812)	11	1	.56	+	1.78	4.30E-01
positive regulation of cellular response to insulin stimulus (GO:1900078)	22	2	1.12	+	1.78	3.10E-01
negative regulation of cellular response to insulin stimulus (GO:1900077)	33	3	1.69	+	1.78	2.39E-01
magnesium ion homeostasis (GO:0010960)	11	1	.56	+	1.78	4.30E-01
positive regulation of nitric oxide metabolic process (GO:1904407)	44	4	2.25	+	1.78	1.90E-01
negative regulation of transcription by competitive promoter binding (GO:0010944)	11	1	.56	+	1.78	4.30E-01
negative regulation of hippo signaling (GO:0035331)	11	1	.56	+	1.78	4.30E-01
regulation of cell-substrate junction organization (GO:0150116)	66	6	3.37	+	1.78	1.25E-01
regulation of protein catabolic process in the vacuole (GO:1904350)	11	1	.56	+	1.78	4.30E-01
melanin biosynthetic process (GO:0042438)	11	1	.56	+	1.78	4.30E-01
regulation of cholesterol esterification (GO:0010872)	11	1	.56	+	1.78	4.30E-01
regulation of PERK-mediated unfolded protein response (GO:1903897)	11	1	.56	+	1.78	4.30E-01
negative regulation of neuroinflammatory response (GO:0150079)	11	1	.56	+	1.78	4.30E-01
muscle cell cellular homeostasis (GO:0046716)	22	2	1.12	+	1.78	3.10E-01
genitalia morphogenesis (GO:0035112)	11	1	.56	+	1.78	4.30E-01
endocrine hormone secretion (GO:0060986)	11	1	.56	+	1.78	4.30E-01
positive regulation of triglyceride lipase activity (GO:0061365)	11	1	.56	+	1.78	4.30E-01
cornea development in camera-type eye (GO:0061303)	11	1	.56	+	1.78	4.30E-01
sphingoid biosynthetic process (GO:0046520)	11	1	.56	+	1.78	4.30E-01
sphingosine biosynthetic process (GO:0046512)	11	1	.56	+	1.78	4.30E-01
regulation of vascular endothelial growth factor production (GO:0010574)	33	3	1.69	+	1.78	2.39E-01
negative regulation of smooth muscle cell migration (GO:0014912)	22	2	1.12	+	1.78	3.10E-01
establishment of protein localization to postsynaptic membrane (GO:1903540)	11	1	.56	+	1.78	4.30E-01
prostate gland growth (GO:0060736)	11	1	.56	+	1.78	4.30E-01
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)	11	1	.56	+	1.78	4.30E-01
negative regulation of heart rate (GO:0010459)	11	1	.56	+	1.78	4.30E-01
