




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_bg.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_bg.txt - REFLIST (18060)	upload_1 (421)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
neural precursor cell proliferation (GO:0061351)	87	6	2.03	+	2.96	1.73E-02
carbohydrate transmembrane transport (GO:0034219)	29	2	.68	+	2.96	1.47E-01
gamma-aminobutyric acid signaling pathway (GO:0007214)	29	2	.68	+	2.96	1.47E-01
blastocyst growth (GO:0001832)	29	2	.68	+	2.96	1.47E-01
positive regulation of amino acid transport (GO:0051957)	29	2	.68	+	2.96	1.47E-01
negative regulation of RNA splicing (GO:0033119)	29	2	.68	+	2.96	1.47E-01
regulation of interleukin-12 production (GO:0032655)	58	4	1.35	+	2.96	4.82E-02
positive regulation of protein deacetylation (GO:0090312)	29	2	.68	+	2.96	1.47E-01
positive regulation of triglyceride metabolic process (GO:0090208)	29	2	.68	+	2.96	1.47E-01
digestive tract development (GO:0048565)	116	8	2.70	+	2.96	6.49E-03
positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	29	2	.68	+	2.96	1.47E-01
regulation of histone deacetylation (GO:0031063)	29	2	.68	+	2.96	1.47E-01
Golgi to plasma membrane protein transport (GO:0043001)	29	2	.68	+	2.96	1.47E-01
positive regulation of cellular response to insulin stimulus (GO:1900078)	29	2	.68	+	2.96	1.47E-01
positive regulation of phosphatase activity (GO:0010922)	29	2	.68	+	2.96	1.47E-01
axis elongation (GO:0003401)	29	2	.68	+	2.96	1.47E-01
isoprenoid biosynthetic process (GO:0008299)	29	2	.68	+	2.96	1.47E-01
prostate gland epithelium morphogenesis (GO:0060740)	29	2	.68	+	2.96	1.47E-01
central nervous system projection neuron axonogenesis (GO:0021952)	29	2	.68	+	2.96	1.47E-01
outflow tract septum morphogenesis (GO:0003148)	29	2	.68	+	2.96	1.47E-01
negative regulation of response to oxidative stress (GO:1902883)	29	2	.68	+	2.96	1.47E-01
positive regulation of canonical Wnt signaling pathway (GO:0090263)	102	7	2.38	+	2.94	1.08E-02
cellular response to interleukin-1 (GO:0071347)	73	5	1.70	+	2.94	2.94E-02
behavioral fear response (GO:0001662)	44	3	1.03	+	2.92	8.49E-02
positive regulation of Wnt signaling pathway (GO:0030177)	132	9	3.08	+	2.92	4.30E-03
regulation of glycoprotein biosynthetic process (GO:0010559)	44	3	1.03	+	2.92	8.49E-02
positive regulation of phospholipase activity (GO:0010518)	44	3	1.03	+	2.92	8.49E-02
neural tube development (GO:0021915)	191	13	4.45	+	2.92	6.75E-04
cellular response to catecholamine stimulus (GO:0071870)	59	4	1.38	+	2.91	5.07E-02
cellular response to monoamine stimulus (GO:0071868)	59	4	1.38	+	2.91	5.07E-02
positive regulation of cell-matrix adhesion (GO:0001954)	59	4	1.38	+	2.91	5.07E-02
regulation of cilium assembly (GO:1902017)	59	4	1.38	+	2.91	5.07E-02
actin filament bundle assembly (GO:0051017)	59	4	1.38	+	2.91	5.07E-02
negative regulation of cell-substrate adhesion (GO:0010812)	59	4	1.38	+	2.91	5.07E-02
gene silencing by RNA (GO:0031047)	74	5	1.73	+	2.90	3.09E-02
positive regulation of leukocyte chemotaxis (GO:0002690)	89	6	2.07	+	2.89	1.91E-02
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)	104	7	2.42	+	2.89	1.19E-02
regulation of cell-matrix adhesion (GO:0001952)	119	8	2.77	+	2.88	7.50E-03
regulation of leukocyte tethering or rolling (GO:1903236)	15	1	.35	+	2.86	2.95E-01
segment specification (GO:0007379)	15	1	.35	+	2.86	2.95E-01
sulfur compound transport (GO:0072348)	45	3	1.05	+	2.86	8.93E-02
response to catecholamine (GO:0071869)	60	4	1.40	+	2.86	5.33E-02
response to monoamine (GO:0071867)	60	4	1.40	+	2.86	5.33E-02
regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001267)	15	1	.35	+	2.86	2.95E-01
synaptic transmission, cholinergic (GO:0007271)	15	1	.35	+	2.86	2.95E-01
cell differentiation in hindbrain (GO:0021533)	30	2	.70	+	2.86	1.55E-01
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	15	1	.35	+	2.86	2.95E-01
phagolysosome assembly (GO:0001845)	15	1	.35	+	2.86	2.95E-01
positive regulation of sodium ion transmembrane transporter activity (GO:2000651)	15	1	.35	+	2.86	2.95E-01
cellular response to chemokine (GO:1990869)	60	4	1.40	+	2.86	5.33E-02
response to chemokine (GO:1990868)	60	4	1.40	+	2.86	5.33E-02
negative regulation of cell junction assembly (GO:1901889)	30	2	.70	+	2.86	1.55E-01
negative regulation of tumor necrosis factor production (GO:0032720)	60	4	1.40	+	2.86	5.33E-02
positive regulation of glutamate secretion (GO:0014049)	15	1	.35	+	2.86	2.95E-01
response to hydroperoxide (GO:0033194)	15	1	.35	+	2.86	2.95E-01
action potential (GO:0001508)	90	6	2.10	+	2.86	2.01E-02
medium-chain fatty acid metabolic process (GO:0051791)	15	1	.35	+	2.86	2.95E-01
negative regulation of calcineurin-NFAT signaling cascade (GO:0070885)	15	1	.35	+	2.86	2.95E-01
cellular response to copper ion (GO:0071280)	15	1	.35	+	2.86	2.95E-01
Golgi localization (GO:0051645)	15	1	.35	+	2.86	2.95E-01
positive regulation by host of viral transcription (GO:0043923)	15	1	.35	+	2.86	2.95E-01
regulation of spindle checkpoint (GO:0090231)	15	1	.35	+	2.86	2.95E-01
acetyl-CoA metabolic process (GO:0006084)	30	2	.70	+	2.86	1.55E-01
DNA catabolic process, endonucleolytic (GO:0000737)	15	1	.35	+	2.86	2.95E-01
positive regulation of voltage-gated calcium channel activity (GO:1901387)	15	1	.35	+	2.86	2.95E-01
epithelial cell-cell adhesion (GO:0090136)	15	1	.35	+	2.86	2.95E-01
induction of positive chemotaxis (GO:0050930)	15	1	.35	+	2.86	2.95E-01
negative regulation of calcineurin-mediated signaling (GO:0106057)	15	1	.35	+	2.86	2.95E-01
regulation of synaptic transmission, cholinergic (GO:0032222)	15	1	.35	+	2.86	2.95E-01
embryonic camera-type eye morphogenesis (GO:0048596)	30	2	.70	+	2.86	1.55E-01
lymph node development (GO:0048535)	30	2	.70	+	2.86	1.55E-01
engulfment of apoptotic cell (GO:0043652)	15	1	.35	+	2.86	2.95E-01
calcium ion import across plasma membrane (GO:0098703)	15	1	.35	+	2.86	2.95E-01
regulation of excretion (GO:0044062)	30	2	.70	+	2.86	1.55E-01
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	15	1	.35	+	2.86	2.95E-01
photoreceptor cell outer segment organization (GO:0035845)	15	1	.35	+	2.86	2.95E-01
cortical cytoskeleton organization (GO:0030865)	60	4	1.40	+	2.86	5.33E-02
very long-chain fatty acid metabolic process (GO:0000038)	30	2	.70	+	2.86	1.55E-01
calcineurin-mediated signaling (GO:0097720)	15	1	.35	+	2.86	2.95E-01
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)	15	1	.35	+	2.86	2.95E-01
neuron remodeling (GO:0016322)	15	1	.35	+	2.86	2.95E-01
vitamin transmembrane transport (GO:0035461)	15	1	.35	+	2.86	2.95E-01
nucleoside diphosphate catabolic process (GO:0009134)	15	1	.35	+	2.86	2.95E-01
negative regulation of cellular response to insulin stimulus (GO:1900077)	45	3	1.05	+	2.86	8.93E-02
magnesium ion homeostasis (GO:0010960)	15	1	.35	+	2.86	2.95E-01
progesterone metabolic process (GO:0042448)	15	1	.35	+	2.86	2.95E-01
norepinephrine metabolic process (GO:0042415)	15	1	.35	+	2.86	2.95E-01
fibroblast growth factor receptor signaling pathway (GO:0008543)	45	3	1.05	+	2.86	8.93E-02
magnesium ion transport (GO:0015693)	15	1	.35	+	2.86	2.95E-01
fibroblast migration (GO:0010761)	15	1	.35	+	2.86	2.95E-01
positive regulation of phospholipid metabolic process (GO:1903727)	15	1	.35	+	2.86	2.95E-01
cellular response to heat (GO:0034605)	45	3	1.05	+	2.86	8.93E-02
tooth mineralization (GO:0034505)	15	1	.35	+	2.86	2.95E-01
epithelial cell differentiation involved in prostate gland development (GO:0060742)	15	1	.35	+	2.86	2.95E-01
positive regulation of inositol phosphate biosynthetic process (GO:0060732)	15	1	.35	+	2.86	2.95E-01
ncRNA 5'-end processing (GO:0034471)	15	1	.35	+	2.86	2.95E-01
ruffle assembly (GO:0097178)	15	1	.35	+	2.86	2.95E-01
GABAergic neuron differentiation (GO:0097154)	15	1	.35	+	2.86	2.95E-01
mesenchymal cell proliferation (GO:0010463)	15	1	.35	+	2.86	2.95E-01
negative regulation of translational initiation (GO:0045947)	15	1	.35	+	2.86	2.95E-01
regulation of skeletal muscle adaptation (GO:0014733)	15	1	.35	+	2.86	2.95E-01
positive regulation of protein tyrosine kinase activity (GO:0061098)	45	3	1.05	+	2.86	8.93E-02
eyelid development in camera-type eye (GO:0061029)	15	1	.35	+	2.86	2.95E-01
pyramidal neuron differentiation (GO:0021859)	15	1	.35	+	2.86	2.95E-01
regulation of non-motile cilium assembly (GO:1902855)	15	1	.35	+	2.86	2.95E-01
prostate gland morphogenesis (GO:0060512)	30	2	.70	+	2.86	1.55E-01
rhythmic process (GO:0048511)	255	17	5.94	+	2.86	1.37E-04
circadian rhythm (GO:0007623)	135	9	3.15	+	2.86	4.96E-03
small GTPase mediated signal transduction (GO:0007264)	211	14	4.92	+	2.85	5.44E-04
gland morphogenesis (GO:0022612)	121	8	2.82	+	2.84	8.24E-03
regulation of smoothened signaling pathway (GO:0008589)	91	6	2.12	+	2.83	2.10E-02
regulation of insulin receptor signaling pathway (GO:0046626)	76	5	1.77	+	2.82	3.41E-02
lung alveolus development (GO:0048286)	61	4	1.42	+	2.81	5.59E-02
actin filament bundle organization (GO:0061572)	61	4	1.42	+	2.81	5.59E-02
positive regulation of cellular carbohydrate metabolic process (GO:0010676)	61	4	1.42	+	2.81	5.59E-02
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	61	4	1.42	+	2.81	5.59E-02
behavioral defense response (GO:0002209)	46	3	1.07	+	2.80	9.38E-02
phospholipid translocation (GO:0045332)	46	3	1.07	+	2.80	9.38E-02
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	184	12	4.29	+	2.80	1.53E-03
response to hydrogen peroxide (GO:0042542)	92	6	2.14	+	2.80	2.20E-02
positive regulation of glucose metabolic process (GO:0010907)	46	3	1.07	+	2.80	9.38E-02
extrinsic apoptotic signaling pathway (GO:0097191)	92	6	2.14	+	2.80	2.20E-02
regulation of cell-substrate adhesion (GO:0010810)	215	14	5.01	+	2.79	6.52E-04
granulocyte chemotaxis (GO:0071621)	77	5	1.79	+	2.79	3.57E-02
regulation of cell projection assembly (GO:0060491)	186	12	4.34	+	2.77	1.67E-03
regulation of hydrogen peroxide-induced cell death (GO:1903205)	31	2	.72	+	2.77	1.64E-01
monocyte chemotaxis (GO:0002548)	31	2	.72	+	2.77	1.64E-01
regulation of syncytium formation by plasma membrane fusion (GO:0060142)	31	2	.72	+	2.77	1.64E-01
negative regulation of organic acid transport (GO:0032891)	31	2	.72	+	2.77	1.64E-01
negative regulation of interleukin-1 production (GO:0032692)	31	2	.72	+	2.77	1.64E-01
regulation of calcineurin-NFAT signaling cascade (GO:0070884)	31	2	.72	+	2.77	1.64E-01
cellular response to acetylcholine (GO:1905145)	31	2	.72	+	2.77	1.64E-01
response to acetylcholine (GO:1905144)	31	2	.72	+	2.77	1.64E-01
regulation of hair cycle (GO:0042634)	31	2	.72	+	2.77	1.64E-01
regulation of dendrite extension (GO:1903859)	31	2	.72	+	2.77	1.64E-01
organic cation transport (GO:0015695)	31	2	.72	+	2.77	1.64E-01
midbrain development (GO:0030901)	47	3	1.10	+	2.74	9.85E-02
cellular response to dopamine (GO:1903351)	47	3	1.10	+	2.74	9.85E-02
response to dopamine (GO:1903350)	47	3	1.10	+	2.74	9.85E-02
regulation of Ras protein signal transduction (GO:0046578)	235	15	5.48	+	2.74	5.19E-04
axonogenesis (GO:0007409)	346	22	8.07	+	2.73	2.99E-05
response to ethanol (GO:0045471)	63	4	1.47	+	2.72	6.14E-02
neuron death (GO:0070997)	63	4	1.47	+	2.72	6.14E-02
protein transport along microtubule (GO:0098840)	63	4	1.47	+	2.72	6.14E-02
microtubule-based protein transport (GO:0099118)	63	4	1.47	+	2.72	6.14E-02
positive regulation of protein kinase B signaling (GO:0051897)	111	7	2.59	+	2.71	1.64E-02
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	111	7	2.59	+	2.71	1.64E-02
cellular response to leukemia inhibitory factor (GO:1990830)	127	8	2.96	+	2.70	1.08E-02
regulation of cold-induced thermogenesis (GO:0120161)	143	9	3.33	+	2.70	7.11E-03
tube morphogenesis (GO:0035239)	718	45	16.74	+	2.69	3.03E-09
positive regulation of cell size (GO:0045793)	16	1	.37	+	2.68	3.11E-01
phagocytosis, recognition (GO:0006910)	16	1	.37	+	2.68	3.11E-01
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002504)	16	1	.37	+	2.68	3.11E-01
cerebellar cortex formation (GO:0021697)	32	2	.75	+	2.68	1.72E-01
cerebellar granular layer development (GO:0021681)	16	1	.37	+	2.68	3.11E-01
type I interferon signaling pathway (GO:0060337)	16	1	.37	+	2.68	3.11E-01
calcium ion import into cytosol (GO:1902656)	16	1	.37	+	2.68	3.11E-01
secondary alcohol biosynthetic process (GO:1902653)	32	2	.75	+	2.68	1.72E-01
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	16	1	.37	+	2.68	3.11E-01
response to testosterone (GO:0033574)	16	1	.37	+	2.68	3.11E-01
regulation of vasculogenesis (GO:2001212)	16	1	.37	+	2.68	3.11E-01
renal system process involved in regulation of blood volume (GO:0001977)	16	1	.37	+	2.68	3.11E-01
ubiquinone metabolic process (GO:0006743)	16	1	.37	+	2.68	3.11E-01
response to nitric oxide (GO:0071731)	16	1	.37	+	2.68	3.11E-01
epithelial cell fate commitment (GO:0072148)	16	1	.37	+	2.68	3.11E-01
cholesterol biosynthetic process (GO:0006695)	32	2	.75	+	2.68	1.72E-01
regulation of MHC class II biosynthetic process (GO:0045346)	16	1	.37	+	2.68	3.11E-01
synapse maturation (GO:0060074)	16	1	.37	+	2.68	3.11E-01
cardiac muscle cell proliferation (GO:0060038)	16	1	.37	+	2.68	3.11E-01
response to leukemia inhibitory factor (GO:1990823)	128	8	2.98	+	2.68	1.13E-02
regulation of cAMP-dependent protein kinase activity (GO:2000479)	16	1	.37	+	2.68	3.11E-01
ganglioside biosynthetic process (GO:0001574)	16	1	.37	+	2.68	3.11E-01
negative regulation of interferon-beta production (GO:0032688)	16	1	.37	+	2.68	3.11E-01
mRNA cleavage (GO:0006379)	16	1	.37	+	2.68	3.11E-01
interleukin-1 beta production (GO:0032611)	16	1	.37	+	2.68	3.11E-01
cellular response to type I interferon (GO:0071357)	16	1	.37	+	2.68	3.11E-01
regulation of fibroblast growth factor receptor signaling pathway (GO:0040036)	32	2	.75	+	2.68	1.72E-01
2-oxoglutarate metabolic process (GO:0006103)	16	1	.37	+	2.68	3.11E-01
embryonic brain development (GO:1990403)	16	1	.37	+	2.68	3.11E-01
negative regulation of oligodendrocyte differentiation (GO:0048715)	16	1	.37	+	2.68	3.11E-01
lactate metabolic process (GO:0006089)	16	1	.37	+	2.68	3.11E-01
negative regulation of neuron projection regeneration (GO:0070571)	16	1	.37	+	2.68	3.11E-01
response to fatty acid (GO:0070542)	32	2	.75	+	2.68	1.72E-01
regulation of skeletal muscle tissue development (GO:0048641)	32	2	.75	+	2.68	1.72E-01
regulation of calcineurin-mediated signaling (GO:0106056)	32	2	.75	+	2.68	1.72E-01
positive regulation of actin filament bundle assembly (GO:0032233)	64	4	1.49	+	2.68	6.43E-02
regulation of inclusion body assembly (GO:0090083)	16	1	.37	+	2.68	3.11E-01
white fat cell differentiation (GO:0050872)	16	1	.37	+	2.68	3.11E-01
regulation of heat generation (GO:0031650)	16	1	.37	+	2.68	3.11E-01
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)	16	1	.37	+	2.68	3.11E-01
regulation of retinoic acid receptor signaling pathway (GO:0048385)	16	1	.37	+	2.68	3.11E-01
negative regulation of mRNA processing (GO:0050686)	32	2	.75	+	2.68	1.72E-01
chaperone cofactor-dependent protein refolding (GO:0051085)	32	2	.75	+	2.68	1.72E-01
eosinophil chemotaxis (GO:0048245)	16	1	.37	+	2.68	3.11E-01
regulation of lysosomal lumen pH (GO:0035751)	16	1	.37	+	2.68	3.11E-01
cellular response to hepatocyte growth factor stimulus (GO:0035729)	16	1	.37	+	2.68	3.11E-01
regulation of mRNA polyadenylation (GO:1900363)	16	1	.37	+	2.68	3.11E-01
sodium-independent organic anion transport (GO:0043252)	16	1	.37	+	2.68	3.11E-01
regulation of circadian sleep/wake cycle (GO:0042749)	32	2	.75	+	2.68	1.72E-01
maternal behavior (GO:0042711)	16	1	.37	+	2.68	3.11E-01
fatty acid homeostasis (GO:0055089)	16	1	.37	+	2.68	3.11E-01
neuroblast division (GO:0055057)	16	1	.37	+	2.68	3.11E-01
cell communication involved in cardiac conduction (GO:0086065)	32	2	.75	+	2.68	1.72E-01
positive regulation of cell-substrate junction organization (GO:0150117)	32	2	.75	+	2.68	1.72E-01
cellular response to angiotensin (GO:1904385)	16	1	.37	+	2.68	3.11E-01
protein O-linked mannosylation (GO:0035269)	16	1	.37	+	2.68	3.11E-01
regulation of cGMP-mediated signaling (GO:0010752)	16	1	.37	+	2.68	3.11E-01
stabilization of membrane potential (GO:0030322)	16	1	.37	+	2.68	3.11E-01
cellular response to reactive oxygen species (GO:0034614)	112	7	2.61	+	2.68	1.72E-02
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	16	1	.37	+	2.68	3.11E-01
negative regulation of androgen receptor signaling pathway (GO:0060766)	16	1	.37	+	2.68	3.11E-01
positive regulation of type 2 immune response (GO:0002830)	16	1	.37	+	2.68	3.11E-01
telencephalon regionalization (GO:0021978)	16	1	.37	+	2.68	3.11E-01
glucose import (GO:0046323)	16	1	.37	+	2.68	3.11E-01
MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	16	1	.37	+	2.68	3.11E-01
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	16	1	.37	+	2.68	3.11E-01
cardiac conduction system development (GO:0003161)	16	1	.37	+	2.68	3.11E-01
lipid translocation (GO:0034204)	48	3	1.12	+	2.68	1.03E-01
regulation of cardiac muscle cell proliferation (GO:0060043)	48	3	1.12	+	2.68	1.03E-01
morphogenesis of an epithelial sheet (GO:0002011)	48	3	1.12	+	2.68	1.03E-01
regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	48	3	1.12	+	2.68	1.03E-01
cochlea development (GO:0090102)	48	3	1.12	+	2.68	1.03E-01
establishment of spindle localization (GO:0051293)	48	3	1.12	+	2.68	1.03E-01
protein destabilization (GO:0031648)	48	3	1.12	+	2.68	1.03E-01
exocrine system development (GO:0035272)	48	3	1.12	+	2.68	1.03E-01
regulation of cell shape (GO:0008360)	145	9	3.38	+	2.66	7.74E-03
digestive system development (GO:0055123)	129	8	3.01	+	2.66	1.17E-02
purine nucleoside bisphosphate metabolic process (GO:0034032)	97	6	2.26	+	2.65	2.76E-02
roof of mouth development (GO:0060021)	97	6	2.26	+	2.65	2.76E-02
ribonucleoside bisphosphate metabolic process (GO:0033875)	97	6	2.26	+	2.65	2.76E-02
nucleoside bisphosphate metabolic process (GO:0033865)	97	6	2.26	+	2.65	2.76E-02
positive regulation of carbohydrate metabolic process (GO:0045913)	81	5	1.89	+	2.65	4.27E-02
positive regulation of Ras protein signal transduction (GO:0046579)	65	4	1.52	+	2.64	6.72E-02
regulation of systemic arterial blood pressure mediated by a chemical signal (GO:0003044)	49	3	1.14	+	2.63	1.08E-01
regulation of glycoprotein metabolic process (GO:1903018)	49	3	1.14	+	2.63	1.08E-01
regulation of stem cell proliferation (GO:0072091)	49	3	1.14	+	2.63	1.08E-01
activation of GTPase activity (GO:0090630)	98	6	2.28	+	2.63	2.88E-02
regulation of multi-organism process (GO:0043900)	49	3	1.14	+	2.63	1.08E-01
regulation of oligodendrocyte differentiation (GO:0048713)	49	3	1.14	+	2.63	1.08E-01
killing of cells of other organism (GO:0031640)	49	3	1.14	+	2.63	1.08E-01
negative regulation of DNA binding (GO:0043392)	49	3	1.14	+	2.63	1.08E-01
fear response (GO:0042596)	49	3	1.14	+	2.63	1.08E-01
axon development (GO:0061564)	376	23	8.77	+	2.62	3.57E-05
angiogenesis (GO:0001525)	312	19	7.27	+	2.61	1.78E-04
axon guidance (GO:0007411)	230	14	5.36	+	2.61	1.23E-03
mammary gland development (GO:0030879)	148	9	3.45	+	2.61	8.76E-03
regulation of axonogenesis (GO:0050770)	181	11	4.22	+	2.61	4.00E-03
negative regulation of cell motility (GO:2000146)	280	17	6.53	+	2.60	3.97E-04
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	33	2	.77	+	2.60	1.80E-01
neuroblast proliferation (GO:0007405)	33	2	.77	+	2.60	1.80E-01
negative regulation of toll-like receptor signaling pathway (GO:0034122)	33	2	.77	+	2.60	1.80E-01
telencephalon cell migration (GO:0022029)	66	4	1.54	+	2.60	7.02E-02
