




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (1540)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
intracellular lipid transport (GO:0032365)	7	1	.76	+	1.32	5.31E-01
acetyl-CoA biosynthetic process (GO:0006085)	14	2	1.51	+	1.32	4.47E-01
glycerol metabolic process (GO:0006071)	7	1	.76	+	1.32	5.31E-01
regulation of meiotic cell cycle (GO:0051445)	14	2	1.51	+	1.32	4.47E-01
N-acetylglucosamine metabolic process (GO:0006044)	7	1	.76	+	1.32	5.31E-01
one-carbon compound transport (GO:0019755)	7	1	.76	+	1.32	5.31E-01
membrane lipid biosynthetic process (GO:0046467)	56	8	6.05	+	1.32	2.63E-01
small molecule catabolic process (GO:0044282)	217	31	23.46	+	1.32	7.60E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	14	2	1.51	+	1.32	4.47E-01
nucleobase-containing small molecule biosynthetic process (GO:0034404)	28	4	3.03	+	1.32	3.59E-01
cellular potassium ion homeostasis (GO:0030007)	7	1	.76	+	1.32	5.31E-01
cellular response to potassium ion starvation (GO:0051365)	7	1	.76	+	1.32	5.31E-01
guard mother cell differentiation (GO:0010444)	7	1	.76	+	1.32	5.31E-01
negative regulation of hydrolase activity (GO:0051346)	14	2	1.51	+	1.32	4.47E-01
establishment of protein localization to peroxisome (GO:0072663)	14	2	1.51	+	1.32	4.47E-01
protein localization to peroxisome (GO:0072662)	14	2	1.51	+	1.32	4.47E-01
embryonic morphogenesis (GO:0048598)	28	4	3.03	+	1.32	3.59E-01
regulation of long-day photoperiodism, flowering (GO:0048586)	14	2	1.51	+	1.32	4.47E-01
magnesium ion transmembrane transport (GO:1903830)	7	1	.76	+	1.32	5.31E-01
response to steroid hormone (GO:0048545)	49	7	5.30	+	1.32	2.82E-01
monosaccharide catabolic process (GO:0046365)	7	1	.76	+	1.32	5.31E-01
regulation of membrane lipid distribution (GO:0097035)	14	2	1.51	+	1.32	4.47E-01
phototransduction (GO:0007602)	14	2	1.51	+	1.32	4.47E-01
cell wall macromolecule catabolic process (GO:0016998)	28	4	3.03	+	1.32	3.59E-01
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	7	1	.76	+	1.32	5.31E-01
regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898)	7	1	.76	+	1.32	5.31E-01
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	14	2	1.51	+	1.32	4.47E-01
RNA polyadenylation (GO:0043631)	14	2	1.51	+	1.32	4.47E-01
developmental vegetative growth (GO:0080186)	7	1	.76	+	1.32	5.31E-01
brassinosteroid mediated signaling pathway (GO:0009742)	49	7	5.30	+	1.32	2.82E-01
auxin-activated signaling pathway (GO:0009734)	35	5	3.78	+	1.32	3.29E-01
de-etiolation (GO:0009704)	7	1	.76	+	1.32	5.31E-01
regulation of stomatal complex patterning (GO:2000037)	7	1	.76	+	1.32	5.31E-01
myo-inositol hexakisphosphate biosynthetic process (GO:0010264)	7	1	.76	+	1.32	5.31E-01
NADH dehydrogenase complex assembly (GO:0010257)	14	2	1.51	+	1.32	4.47E-01
regulation of defense response to virus by host (GO:0050691)	7	1	.76	+	1.32	5.31E-01
regulation of chromosome separation (GO:1905818)	14	2	1.51	+	1.32	4.47E-01
negative regulation of developmental process (GO:0051093)	112	16	12.11	+	1.32	1.63E-01
RNA stabilization (GO:0043489)	7	1	.76	+	1.32	5.31E-01
regulation of RNA stability (GO:0043487)	14	2	1.51	+	1.32	4.47E-01
red light signaling pathway (GO:0010161)	7	1	.76	+	1.32	5.31E-01
vesicle budding from membrane (GO:0006900)	35	5	3.78	+	1.32	3.29E-01
steroid hormone mediated signaling pathway (GO:0043401)	49	7	5.30	+	1.32	2.82E-01
red, far-red light phototransduction (GO:0009585)	14	2	1.51	+	1.32	4.47E-01
phenol-containing compound catabolic process (GO:0019336)	7	1	.76	+	1.32	5.31E-01
positive regulation of mitochondrial translation (GO:0070131)	7	1	.76	+	1.32	5.31E-01
regulation of mitochondrial translation (GO:0070129)	7	1	.76	+	1.32	5.31E-01
chemical homeostasis (GO:0048878)	344	49	37.19	+	1.32	3.44E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	232	33	25.08	+	1.32	7.22E-02
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	232	33	25.08	+	1.32	7.22E-02
inorganic ion homeostasis (GO:0098771)	218	31	23.57	+	1.32	7.95E-02
organic acid biosynthetic process (GO:0016053)	387	55	41.84	+	1.31	2.74E-02
cellular chemical homeostasis (GO:0055082)	169	24	18.27	+	1.31	1.12E-01
protein autophosphorylation (GO:0046777)	162	23	17.51	+	1.31	1.18E-01
response to oxidative stress (GO:0006979)	367	52	39.68	+	1.31	3.26E-02
carbohydrate metabolic process (GO:0005975)	713	101	77.09	+	1.31	4.19E-03
cellular catabolic process (GO:0044248)	976	138	105.52	+	1.31	9.51E-04
phospholipid metabolic process (GO:0006644)	177	25	19.14	+	1.31	1.11E-01
leaf senescence (GO:0010150)	85	12	9.19	+	1.31	2.15E-01
cellular ion homeostasis (GO:0006873)	149	21	16.11	+	1.30	1.37E-01
regulation of multicellular organismal process (GO:0051239)	327	46	35.35	+	1.30	4.65E-02
negative regulation of RNA biosynthetic process (GO:1902679)	185	26	20.00	+	1.30	1.11E-01
negative regulation of transcription, DNA-templated (GO:0045892)	185	26	20.00	+	1.30	1.11E-01
negative regulation of nucleic acid-templated transcription (GO:1903507)	185	26	20.00	+	1.30	1.11E-01
water-soluble vitamin metabolic process (GO:0006767)	57	8	6.16	+	1.30	2.78E-01
protein targeting to membrane (GO:0006612)	57	8	6.16	+	1.30	2.78E-01
microtubule-based movement (GO:0007018)	57	8	6.16	+	1.30	2.78E-01
cation homeostasis (GO:0055080)	207	29	22.38	+	1.30	9.96E-02
protein deubiquitination (GO:0016579)	50	7	5.41	+	1.29	2.99E-01
cellular response to ethylene stimulus (GO:0071369)	50	7	5.41	+	1.29	2.99E-01
cellular response to brassinosteroid stimulus (GO:0071367)	50	7	5.41	+	1.29	2.99E-01
carboxylic acid transmembrane transport (GO:1905039)	50	7	5.41	+	1.29	2.99E-01
negative regulation of biosynthetic process (GO:0009890)	250	35	27.03	+	1.29	7.77E-02
jasmonic acid mediated signaling pathway (GO:0009867)	50	7	5.41	+	1.29	2.99E-01
pyrimidine-containing compound metabolic process (GO:0072527)	50	7	5.41	+	1.29	2.99E-01
iron ion homeostasis (GO:0055072)	43	6	4.65	+	1.29	3.23E-01
cellular response to salicylic acid stimulus (GO:0071446)	43	6	4.65	+	1.29	3.23E-01
process utilizing autophagic mechanism (GO:0061919)	36	5	3.89	+	1.28	3.50E-01
regulation of ion transport (GO:0043269)	36	5	3.89	+	1.28	3.50E-01
oligosaccharide biosynthetic process (GO:0009312)	36	5	3.89	+	1.28	3.50E-01
fatty acid beta-oxidation (GO:0006635)	36	5	3.89	+	1.28	3.50E-01
cellular response to water deprivation (GO:0042631)	36	5	3.89	+	1.28	3.50E-01
lipid homeostasis (GO:0055088)	36	5	3.89	+	1.28	3.50E-01
dephosphorylation (GO:0016311)	108	15	11.68	+	1.28	1.99E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	36	5	3.89	+	1.28	3.50E-01
aromatic amino acid family biosynthetic process (GO:0009073)	36	5	3.89	+	1.28	3.50E-01
pollen wall assembly (GO:0010208)	36	5	3.89	+	1.28	3.50E-01
autophagy (GO:0006914)	36	5	3.89	+	1.28	3.50E-01
negative regulation of cellular biosynthetic process (GO:0031327)	245	34	26.49	+	1.28	8.84E-02
ribonucleotide metabolic process (GO:0009259)	173	24	18.70	+	1.28	1.34E-01
cellular response to organic cyclic compound (GO:0071407)	101	14	10.92	+	1.28	2.11E-01
cellular response to phosphate starvation (GO:0016036)	65	9	7.03	+	1.28	2.74E-01
cell tip growth (GO:0009932)	130	18	14.06	+	1.28	1.76E-01
programmed cell death (GO:0012501)	65	9	7.03	+	1.28	2.74E-01
catabolic process (GO:0009056)	1172	162	126.71	+	1.28	9.11E-04
ion homeostasis (GO:0050801)	239	33	25.84	+	1.28	9.65E-02
monocarboxylic acid transport (GO:0015718)	29	4	3.14	+	1.28	3.83E-01
cellular response to reactive oxygen species (GO:0034614)	29	4	3.14	+	1.28	3.83E-01
cellular lipid catabolic process (GO:0044242)	87	12	9.41	+	1.28	2.38E-01
regulation of response to external stimulus (GO:0032101)	145	20	15.68	+	1.28	1.65E-01
negative regulation of multicellular organismal process (GO:0051241)	87	12	9.41	+	1.28	2.38E-01
regulation of abscisic acid-activated signaling pathway (GO:0009787)	87	12	9.41	+	1.28	2.38E-01
regulation of cellular response to alcohol (GO:1905957)	87	12	9.41	+	1.28	2.38E-01
regulation of response to alcohol (GO:1901419)	87	12	9.41	+	1.28	2.38E-01
negative regulation of gene expression (GO:0010629)	341	47	36.87	+	1.27	5.83E-02
nucleobase-containing compound catabolic process (GO:0034655)	109	15	11.78	+	1.27	2.08E-01
regulation of immune response (GO:0050776)	80	11	8.65	+	1.27	2.53E-01
cellular response to organic substance (GO:0071310)	531	73	57.41	+	1.27	2.43E-02
ribose phosphate metabolic process (GO:0019693)	182	25	19.68	+	1.27	1.38E-01
regulation of defense response (GO:0031347)	204	28	22.06	+	1.27	1.23E-01
regulation of DNA metabolic process (GO:0051052)	51	7	5.51	+	1.27	3.16E-01
response to organic substance (GO:0010033)	1344	184	145.31	+	1.27	6.35E-04
isoprenoid metabolic process (GO:0006720)	168	23	18.16	+	1.27	1.53E-01
reproductive system development (GO:0061458)	935	128	101.09	+	1.27	4.24E-03
reproductive structure development (GO:0048608)	935	128	101.09	+	1.27	4.24E-03
regulation of developmental growth (GO:0048638)	117	16	12.65	+	1.26	2.05E-01
phospholipid catabolic process (GO:0009395)	22	3	2.38	+	1.26	4.25E-01
sulfate assimilation (GO:0000103)	22	3	2.38	+	1.26	4.25E-01
defense response by callose deposition (GO:0052542)	22	3	2.38	+	1.26	4.25E-01
cuticle development (GO:0042335)	22	3	2.38	+	1.26	4.25E-01
dormancy process (GO:0022611)	22	3	2.38	+	1.26	4.25E-01
isoprenoid catabolic process (GO:0008300)	22	3	2.38	+	1.26	4.25E-01
regulation of biological process involved in symbiotic interaction (GO:0043903)	22	3	2.38	+	1.26	4.25E-01
sulfur compound catabolic process (GO:0044273)	44	6	4.76	+	1.26	3.41E-01
negative regulation of cellular protein metabolic process (GO:0032269)	66	9	7.14	+	1.26	2.88E-01
cellular process involved in reproduction in multicellular organism (GO:0022412)	44	6	4.76	+	1.26	3.41E-01
regulation of proteasomal protein catabolic process (GO:0061136)	22	3	2.38	+	1.26	4.25E-01
embryonic meristem development (GO:0048508)	22	3	2.38	+	1.26	4.25E-01
nuclear export (GO:0051168)	44	6	4.76	+	1.26	3.41E-01
regulation of phosphorelay signal transduction system (GO:0070297)	22	3	2.38	+	1.26	4.25E-01
seed dormancy process (GO:0010162)	22	3	2.38	+	1.26	4.25E-01
regulation of ethylene-activated signaling pathway (GO:0010104)	22	3	2.38	+	1.26	4.25E-01
male gamete generation (GO:0048232)	44	6	4.76	+	1.26	3.41E-01
response to chemical (GO:0042221)	2105	286	227.58	+	1.26	2.72E-05
positive regulation of catalytic activity (GO:0043085)	59	8	6.38	+	1.25	3.09E-01
response to decreased oxygen levels (GO:0036293)	177	24	19.14	+	1.25	1.57E-01
purine ribonucleotide metabolic process (GO:0009150)	155	21	16.76	+	1.25	1.77E-01
organic substance catabolic process (GO:1901575)	1064	144	115.04	+	1.25	3.71E-03
purine nucleotide metabolic process (GO:0006163)	170	23	18.38	+	1.25	1.66E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	37	5	4.00	+	1.25	3.71E-01
nucleoside monophosphate biosynthetic process (GO:0009124)	37	5	4.00	+	1.25	3.71E-01
cellular response to water stimulus (GO:0071462)	37	5	4.00	+	1.25	3.71E-01
cellular component assembly involved in morphogenesis (GO:0010927)	37	5	4.00	+	1.25	3.71E-01
sucrose metabolic process (GO:0005985)	37	5	4.00	+	1.25	3.71E-01
plant-type cell wall organization (GO:0009664)	111	15	12.00	+	1.25	2.27E-01
lipid catabolic process (GO:0016042)	89	12	9.62	+	1.25	2.61E-01
regulation of cell population proliferation (GO:0042127)	52	7	5.62	+	1.25	3.33E-01
pollen germination (GO:0009846)	52	7	5.62	+	1.25	3.33E-01
organic acid transmembrane transport (GO:1903825)	52	7	5.62	+	1.25	3.33E-01
purine-containing compound metabolic process (GO:0072521)	186	25	20.11	+	1.24	1.61E-01
negative regulation of protein metabolic process (GO:0051248)	67	9	7.24	+	1.24	3.03E-01
response to oxygen levels (GO:0070482)	179	24	19.35	+	1.24	1.70E-01
post-embryonic development (GO:0009791)	1143	153	123.58	+	1.24	4.18E-03
regulation of response to biotic stimulus (GO:0002831)	142	19	15.35	+	1.24	2.05E-01
regulation of hormone levels (GO:0010817)	202	27	21.84	+	1.24	1.57E-01
regulation of fatty acid metabolic process (GO:0019217)	15	2	1.62	+	1.23	4.82E-01
cytosolic transport (GO:0016482)	30	4	3.24	+	1.23	4.07E-01
rRNA methylation (GO:0031167)	15	2	1.62	+	1.23	4.82E-01
peroxisomal membrane transport (GO:0015919)	15	2	1.62	+	1.23	4.82E-01
cytoplasmic translation (GO:0002181)	60	8	6.49	+	1.23	3.25E-01
organic hydroxy compound transport (GO:0015850)	15	2	1.62	+	1.23	4.82E-01
cell fate commitment (GO:0045165)	30	4	3.24	+	1.23	4.07E-01
protein localization to endoplasmic reticulum (GO:0070972)	30	4	3.24	+	1.23	4.07E-01
phospholipid dephosphorylation (GO:0046839)	30	4	3.24	+	1.23	4.07E-01
regulation of ion transmembrane transport (GO:0034765)	15	2	1.62	+	1.23	4.82E-01
regulation of transmembrane transport (GO:0034762)	15	2	1.62	+	1.23	4.82E-01
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	15	2	1.62	+	1.23	4.82E-01
stomatal closure (GO:0090332)	15	2	1.62	+	1.23	4.82E-01
jasmonic acid and ethylene-dependent systemic resistance (GO:0009861)	15	2	1.62	+	1.23	4.82E-01
photorespiration (GO:0009853)	30	4	3.24	+	1.23	4.07E-01
disaccharide biosynthetic process (GO:0046351)	30	4	3.24	+	1.23	4.07E-01
response to gamma radiation (GO:0010332)	15	2	1.62	+	1.23	4.82E-01
maturation of 5.8S rRNA (GO:0000460)	15	2	1.62	+	1.23	4.82E-01
cellulose microfibril organization (GO:0010215)	15	2	1.62	+	1.23	4.82E-01
positive regulation of transport (GO:0051050)	15	2	1.62	+	1.23	4.82E-01
stomatal complex morphogenesis (GO:0010103)	15	2	1.62	+	1.23	4.82E-01
pentose metabolic process (GO:0019321)	15	2	1.62	+	1.23	4.82E-01
fatty acid biosynthetic process (GO:0006633)	90	12	9.73	+	1.23	2.73E-01
protein targeting to mitochondrion (GO:0006626)	45	6	4.87	+	1.23	3.60E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	210	28	22.70	+	1.23	1.55E-01
response to brassinosteroid (GO:0009741)	75	10	8.11	+	1.23	2.97E-01
cellular response to chemical stimulus (GO:0070887)	836	111	90.38	+	1.23	1.67E-02
regulation of developmental process (GO:0050793)	558	74	60.33	+	1.23	4.51E-02
inorganic anion transport (GO:0015698)	83	11	8.97	+	1.23	2.91E-01
seed germination (GO:0009845)	83	11	8.97	+	1.23	2.91E-01
peptidyl-amino acid modification (GO:0018193)	272	36	29.41	+	1.22	1.30E-01
glycerophospholipid metabolic process (GO:0006650)	121	16	13.08	+	1.22	2.43E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	53	7	5.73	+	1.22	3.50E-01
negative regulation of cellular metabolic process (GO:0031324)	318	42	34.38	+	1.22	1.12E-01
gamete generation (GO:0007276)	53	7	5.73	+	1.22	3.50E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	53	7	5.73	+	1.22	3.50E-01
response to extracellular stimulus (GO:0009991)	212	28	22.92	+	1.22	1.67E-01
tRNA processing (GO:0008033)	53	7	5.73	+	1.22	3.50E-01
maintenance of location (GO:0051235)	53	7	5.73	+	1.22	3.50E-01
regulation of reproductive process (GO:2000241)	235	31	25.41	+	1.22	1.54E-01
response to stimulus (GO:0050896)	4126	544	446.09	+	1.22	3.90E-08
phosphate-containing compound metabolic process (GO:0006796)	1358	179	146.82	+	1.22	3.69E-03
shoot system morphogenesis (GO:0010016)	129	17	13.95	+	1.22	2.39E-01
developmental process involved in reproduction (GO:0003006)	1094	144	118.28	+	1.22	9.28E-03
defense response to symbiont (GO:0140546)	38	5	4.11	+	1.22	3.92E-01
activation of immune response (GO:0002253)	38	5	4.11	+	1.22	3.92E-01
activation of innate immune response (GO:0002218)	38	5	4.11	+	1.22	3.92E-01
defense response to virus (GO:0051607)	38	5	4.11	+	1.22	3.92E-01
negative regulation of flower development (GO:0009910)	38	5	4.11	+	1.22	3.92E-01
phosphorus metabolic process (GO:0006793)	1399	184	151.25	+	1.22	3.55E-03
response to stress (GO:0006950)	2389	314	258.29	+	1.22	1.19E-04
response to nutrient levels (GO:0031667)	175	23	18.92	+	1.22	2.00E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	282	37	30.49	+	1.21	1.37E-01
organelle fusion (GO:0048284)	61	8	6.60	+	1.21	3.41E-01
glycerolipid metabolic process (GO:0046486)	145	19	15.68	+	1.21	2.30E-01
double-strand break repair (GO:0006302)	84	11	9.08	+	1.21	3.03E-01
cellular developmental process (GO:0048869)	459	60	49.63	+	1.21	8.01E-02
lipid transport (GO:0006869)	69	9	7.46	+	1.21	3.32E-01
potassium ion transport (GO:0006813)	46	6	4.97	+	1.21	3.79E-01
membrane lipid metabolic process (GO:0006643)	69	9	7.46	+	1.21	3.32E-01
leucine metabolic process (GO:0006551)	23	3	2.49	+	1.21	4.53E-01
mitotic cell cycle phase transition (GO:0044772)	46	6	4.97	+	1.21	3.79E-01
telomere maintenance (GO:0000723)	23	3	2.49	+	1.21	4.53E-01
protein localization to mitochondrion (GO:0070585)	46	6	4.97	+	1.21	3.79E-01
telomere organization (GO:0032200)	23	3	2.49	+	1.21	4.53E-01
establishment of protein localization to mitochondrion (GO:0072655)	46	6	4.97	+	1.21	3.79E-01
establishment of RNA localization (GO:0051236)	46	6	4.97	+	1.21	3.79E-01
RNA transport (GO:0050658)	46	6	4.97	+	1.21	3.79E-01
nucleic acid transport (GO:0050657)	46	6	4.97	+	1.21	3.79E-01
Group II intron splicing (GO:0000373)	23	3	2.49	+	1.21	4.53E-01
alpha-amino acid metabolic process (GO:1901605)	208	27	22.49	+	1.20	1.94E-01
cellular response to jasmonic acid stimulus (GO:0071395)	54	7	5.84	+	1.20	3.68E-01
polyol metabolic process (GO:0019751)	54	7	5.84	+	1.20	3.68E-01
system development (GO:0048731)	1436	186	155.25	+	1.20	6.17E-03
signal transduction (GO:0007165)	927	120	100.22	+	1.20	2.55E-02
multicellular organism development (GO:0007275)	1848	239	199.80	+	1.20	2.05E-03
signaling (GO:0023052)	930	120	100.55	+	1.19	2.77E-02
ribosome biogenesis (GO:0042254)	217	28	23.46	+	1.19	1.97E-01
endocytosis (GO:0006897)	62	8	6.70	+	1.19	3.57E-01
nucleobase metabolic process (GO:0009112)	31	4	3.35	+	1.19	4.31E-01
cellular response to stimulus (GO:0051716)	1784	230	192.88	+	1.19	2.91E-03
sulfur compound metabolic process (GO:0006790)	357	46	38.60	+	1.19	1.31E-01
sulfur compound biosynthetic process (GO:0044272)	132	17	14.27	+	1.19	2.67E-01
negative regulation of macromolecule metabolic process (GO:0010605)	412	53	44.54	+	1.19	1.15E-01
organic cyclic compound biosynthetic process (GO:1901362)	661	85	71.46	+	1.19	6.00E-02
positive regulation of molecular function (GO:0044093)	70	9	7.57	+	1.19	3.47E-01
heterocycle biosynthetic process (GO:0018130)	514	66	55.57	+	1.19	9.00E-02
nucleoside monophosphate metabolic process (GO:0009123)	39	5	4.22	+	1.19	4.13E-01
ribonucleoprotein complex export from nucleus (GO:0071426)	39	5	4.22	+	1.19	4.13E-01
ribonucleoprotein complex localization (GO:0071166)	39	5	4.22	+	1.19	4.13E-01
regulation of protein catabolic process (GO:0042176)	39	5	4.22	+	1.19	4.13E-01
heat acclimation (GO:0010286)	39	5	4.22	+	1.19	4.13E-01
regulation of cell communication (GO:0010646)	258	33	27.89	+	1.18	1.87E-01
root morphogenesis (GO:0010015)	219	28	23.68	+	1.18	2.10E-01
cell cycle phase transition (GO:0044770)	47	6	5.08	+	1.18	3.98E-01
oxidative phosphorylation (GO:0006119)	47	6	5.08	+	1.18	3.98E-01
negative regulation of metabolic process (GO:0009892)	447	57	48.33	+	1.18	1.18E-01
cellular amino acid metabolic process (GO:0006520)	322	41	34.81	+	1.18	1.64E-01
immune effector process (GO:0002252)	55	7	5.95	+	1.18	3.85E-01
response to hypoxia (GO:0001666)	173	22	18.70	+	1.18	2.51E-01
transmembrane transport (GO:0055085)	787	100	85.09	+	1.18	5.66E-02
indole-containing compound metabolic process (GO:0042430)	63	8	6.81	+	1.17	3.73E-01
positive regulation of post-embryonic development (GO:0048582)	63	8	6.81	+	1.17	3.73E-01
photoperiodism (GO:0009648)	63	8	6.81	+	1.17	3.73E-01
phyllome development (GO:0048827)	386	49	41.73	+	1.17	1.45E-01
external encapsulating structure organization (GO:0045229)	260	33	28.11	+	1.17	1.99E-01
plant organ morphogenesis (GO:1905392)	331	42	35.79	+	1.17	1.66E-01
carbohydrate derivative metabolic process (GO:1901135)	599	76	64.76	+	1.17	8.87E-02
cell differentiation (GO:0030154)	402	51	43.46	+	1.17	1.40E-01
biological process involved in symbiotic interaction (GO:0044403)	71	9	7.68	+	1.17	3.62E-01
transition metal ion homeostasis (GO:0055076)	79	10	8.54	+	1.17	3.52E-01
regulation of catabolic process (GO:0009894)	87	11	9.41	+	1.17	3.43E-01
positive regulation of developmental process (GO:0051094)	95	12	10.27	+	1.17	3.34E-01
multicellular organismal process (GO:0032501)	2059	260	222.61	+	1.17	4.34E-03
