




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (1025)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of mitotic sister chromatid segregation (GO:0033048)	12	3	2.09	+	1.43	3.48E-01
negative regulation of sister chromatid segregation (GO:0033046)	12	3	2.09	+	1.43	3.48E-01
labial disc development (GO:0035217)	4	1	.70	+	1.43	5.02E-01
negative regulation of response to DNA damage stimulus (GO:2001021)	4	1	.70	+	1.43	5.02E-01
iron ion transmembrane transport (GO:0034755)	4	1	.70	+	1.43	5.02E-01
negative regulation of circadian sleep/wake cycle, sleep (GO:0042321)	4	1	.70	+	1.43	5.02E-01
positive regulation of protein import into nucleus (GO:0042307)	4	1	.70	+	1.43	5.02E-01
L-methionine salvage (GO:0071267)	4	1	.70	+	1.43	5.02E-01
L-methionine biosynthetic process (GO:0071265)	4	1	.70	+	1.43	5.02E-01
negative regulation of phosphoprotein phosphatase activity (GO:0032515)	4	1	.70	+	1.43	5.02E-01
actin filament capping (GO:0051693)	8	2	1.40	+	1.43	4.07E-01
detection of temperature stimulus (GO:0016048)	4	1	.70	+	1.43	5.02E-01
peptidyl-arginine methylation (GO:0018216)	8	2	1.40	+	1.43	4.07E-01
mitochondrial RNA metabolic process (GO:0000959)	8	2	1.40	+	1.43	4.07E-01
UTP biosynthetic process (GO:0006228)	4	1	.70	+	1.43	5.02E-01
pyrimidine nucleobase catabolic process (GO:0006208)	4	1	.70	+	1.43	5.02E-01
terminal cell fate specification, open tracheal system (GO:0035154)	4	1	.70	+	1.43	5.02E-01
sperm competition (GO:0046692)	12	3	2.09	+	1.43	3.48E-01
sterol regulatory element binding protein cleavage (GO:0035103)	4	1	.70	+	1.43	5.02E-01
tetrahydrofolate metabolic process (GO:0046653)	4	1	.70	+	1.43	5.02E-01
negative regulation of insulin receptor signaling pathway (GO:0046627)	24	6	4.19	+	1.43	2.44E-01
regulation of Rab protein signal transduction (GO:0032483)	8	2	1.40	+	1.43	4.07E-01
peptidyl-arginine modification (GO:0018195)	8	2	1.40	+	1.43	4.07E-01
mitotic spindle checkpoint (GO:0071174)	12	3	2.09	+	1.43	3.48E-01
positive regulation of protein import (GO:1904591)	4	1	.70	+	1.43	5.02E-01
spindle assembly checkpoint (GO:0071173)	12	3	2.09	+	1.43	3.48E-01
response to tumor necrosis factor (GO:0034612)	12	3	2.09	+	1.43	3.48E-01
regulation of cytokinesis, actomyosin contractile ring assembly (GO:2000431)	4	1	.70	+	1.43	5.02E-01
Wnt protein secretion (GO:0061355)	8	2	1.40	+	1.43	4.07E-01
GTP biosynthetic process (GO:0006183)	4	1	.70	+	1.43	5.02E-01
establishment of proximal/distal cell polarity (GO:0022606)	4	1	.70	+	1.43	5.02E-01
positive regulation of mitochondrial fusion (GO:0010636)	4	1	.70	+	1.43	5.02E-01
regulation of mitochondrial fusion (GO:0010635)	8	2	1.40	+	1.43	4.07E-01
negative regulation of peptide hormone secretion (GO:0090278)	4	1	.70	+	1.43	5.02E-01
positive regulation of lipophagy (GO:1904504)	4	1	.70	+	1.43	5.02E-01
response to nicotine (GO:0035094)	4	1	.70	+	1.43	5.02E-01
protein localization involved in establishment of planar polarity (GO:0090251)	4	1	.70	+	1.43	5.02E-01
salivary gland histolysis (GO:0035070)	32	8	5.58	+	1.43	2.00E-01
regulation of execution phase of apoptosis (GO:1900117)	4	1	.70	+	1.43	5.02E-01
regulation of Rac protein signal transduction (GO:0035020)	4	1	.70	+	1.43	5.02E-01
negative regulation of Ras protein signal transduction (GO:0046580)	4	1	.70	+	1.43	5.02E-01
regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836)	4	1	.70	+	1.43	5.02E-01
lipoprotein biosynthetic process (GO:0042158)	24	6	4.19	+	1.43	2.44E-01
cellular response to glucose starvation (GO:0042149)	4	1	.70	+	1.43	5.02E-01
sulfate transport (GO:0008272)	4	1	.70	+	1.43	5.02E-01
pentose-phosphate shunt (GO:0006098)	4	1	.70	+	1.43	5.02E-01
regulation of ceramide biosynthetic process (GO:2000303)	4	1	.70	+	1.43	5.02E-01
negative regulation of phosphorus metabolic process (GO:0010563)	68	17	11.86	+	1.43	9.25E-02
negative regulation of cellular response to insulin stimulus (GO:1900077)	24	6	4.19	+	1.43	2.44E-01
maintenance of protein location in nucleus (GO:0051457)	4	1	.70	+	1.43	5.02E-01
establishment of epithelial cell planar polarity (GO:0090163)	4	1	.70	+	1.43	5.02E-01
cuticle chitin metabolic process (GO:0006034)	4	1	.70	+	1.43	5.02E-01
non-recombinational repair (GO:0000726)	8	2	1.40	+	1.43	4.07E-01
dendrite self-avoidance (GO:0070593)	16	4	2.79	+	1.43	3.06E-01
mitochondrion morphogenesis (GO:0070584)	8	2	1.40	+	1.43	4.07E-01
regulation of neuron projection regeneration (GO:0070570)	8	2	1.40	+	1.43	4.07E-01
positive regulation of axon extension involved in regeneration (GO:0048691)	4	1	.70	+	1.43	5.02E-01
regulation of axon extension involved in regeneration (GO:0048690)	4	1	.70	+	1.43	5.02E-01
positive regulation of sprouting of injured axon (GO:0048687)	4	1	.70	+	1.43	5.02E-01
regulation of sprouting of injured axon (GO:0048686)	4	1	.70	+	1.43	5.02E-01
regulation of axon regeneration (GO:0048679)	8	2	1.40	+	1.43	4.07E-01
detection of mechanical stimulus involved in sensory perception of pain (GO:0050966)	4	1	.70	+	1.43	5.02E-01
detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	4	1	.70	+	1.43	5.02E-01
detection of temperature stimulus involved in sensory perception (GO:0050961)	4	1	.70	+	1.43	5.02E-01
hydrocarbon biosynthetic process (GO:0120251)	4	1	.70	+	1.43	5.02E-01
calcium ion import (GO:0070509)	8	2	1.40	+	1.43	4.07E-01
sensory perception of temperature stimulus (GO:0050951)	4	1	.70	+	1.43	5.02E-01
membrane lipid biosynthetic process (GO:0046467)	32	8	5.58	+	1.43	2.00E-01
embryonic anterior midgut (ectodermal) morphogenesis (GO:0048615)	4	1	.70	+	1.43	5.02E-01
embryonic ectodermal digestive tract morphogenesis (GO:0048613)	4	1	.70	+	1.43	5.02E-01
embryonic ectodermal digestive tract development (GO:0048611)	4	1	.70	+	1.43	5.02E-01
cellular polysaccharide catabolic process (GO:0044247)	12	3	2.09	+	1.43	3.48E-01
regulation of photoreceptor cell axon guidance (GO:2000289)	4	1	.70	+	1.43	5.02E-01
negative regulation of reproductive process (GO:2000242)	12	3	2.09	+	1.43	3.48E-01
positive regulation of nucleotide metabolic process (GO:0045981)	4	1	.70	+	1.43	5.02E-01
negative regulation of DNA replication (GO:0008156)	12	3	2.09	+	1.43	3.48E-01
response to lipid (GO:0033993)	48	12	8.37	+	1.43	1.40E-01
positive regulation of cell-cell adhesion (GO:0022409)	12	3	2.09	+	1.43	3.48E-01
positive regulation of circadian sleep/wake cycle, sleep (GO:0045938)	16	4	2.79	+	1.43	3.06E-01
negative regulation of phosphate metabolic process (GO:0045936)	68	17	11.86	+	1.43	9.25E-02
P-body assembly (GO:0033962)	8	2	1.40	+	1.43	4.07E-01
regulation of ribosome biogenesis (GO:0090069)	4	1	.70	+	1.43	5.02E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	4	1	.70	+	1.43	5.02E-01
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	12	3	2.09	+	1.43	3.48E-01
ectodermal digestive tract morphogenesis (GO:0048567)	8	2	1.40	+	1.43	4.07E-01
glycosyl compound biosynthetic process (GO:1901659)	12	3	2.09	+	1.43	3.48E-01
cellular response to ketone (GO:1901655)	16	4	2.79	+	1.43	3.06E-01
anterior head development (GO:0097065)	8	2	1.40	+	1.43	4.07E-01
mechanosensory behavior (GO:0007638)	12	3	2.09	+	1.43	3.48E-01
regulation of calcium-mediated signaling (GO:0050848)	8	2	1.40	+	1.43	4.07E-01
monosaccharide catabolic process (GO:0046365)	4	1	.70	+	1.43	5.02E-01
monosaccharide biosynthetic process (GO:0046364)	8	2	1.40	+	1.43	4.07E-01
imaginal disc-derived wing expansion (GO:0048526)	8	2	1.40	+	1.43	4.07E-01
lateral inhibition (GO:0046331)	8	2	1.40	+	1.43	4.07E-01
negative regulation of histone H3-K27 methylation (GO:0061086)	4	1	.70	+	1.43	5.02E-01
protein sumoylation (GO:0016925)	8	2	1.40	+	1.43	4.07E-01
establishment of meiotic spindle localization (GO:0051295)	4	1	.70	+	1.43	5.02E-01
cell dedifferentiation (GO:0043697)	8	2	1.40	+	1.43	4.07E-01
dedifferentiation (GO:0043696)	8	2	1.40	+	1.43	4.07E-01
male germline stem cell symmetric division (GO:0098730)	4	1	.70	+	1.43	5.02E-01
peptidoglycan recognition protein signaling pathway (GO:0061057)	16	4	2.79	+	1.43	3.06E-01
germline stem cell symmetric division (GO:0098729)	4	1	.70	+	1.43	5.02E-01
symmetric stem cell division (GO:0098724)	4	1	.70	+	1.43	5.02E-01
ocellus development (GO:0008056)	4	1	.70	+	1.43	5.02E-01
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	12	3	2.09	+	1.43	3.48E-01
protein tetramerization (GO:0051262)	4	1	.70	+	1.43	5.02E-01
calcium ion import across plasma membrane (GO:0098703)	4	1	.70	+	1.43	5.02E-01
negative regulation of meiotic nuclear division (GO:0045835)	4	1	.70	+	1.43	5.02E-01
membrane invagination (GO:0010324)	24	6	4.19	+	1.43	2.44E-01
cellular response to nutrient (GO:0031670)	4	1	.70	+	1.43	5.02E-01
response to sucrose (GO:0009744)	16	4	2.79	+	1.43	3.06E-01
replication fork protection (GO:0048478)	4	1	.70	+	1.43	5.02E-01
response to paraquat (GO:1901562)	4	1	.70	+	1.43	5.02E-01
L-methionine salvage from methylthioadenosine (GO:0019509)	4	1	.70	+	1.43	5.02E-01
primary sex determination, germ-line (GO:0007542)	4	1	.70	+	1.43	5.02E-01
negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	4	1	.70	+	1.43	5.02E-01
outflow tract morphogenesis (GO:0003151)	4	1	.70	+	1.43	5.02E-01
gonadal mesoderm development (GO:0007506)	8	2	1.40	+	1.43	4.07E-01
negative regulation of protein secretion (GO:0050709)	4	1	.70	+	1.43	5.02E-01
regulation of cardiac cell fate specification (GO:2000043)	4	1	.70	+	1.43	5.02E-01
positive regulation of TOR signaling (GO:0032008)	24	6	4.19	+	1.43	2.44E-01
regulation of adenylate cyclase activity (GO:0045761)	4	1	.70	+	1.43	5.02E-01
glucose 6-phosphate metabolic process (GO:0051156)	8	2	1.40	+	1.43	4.07E-01
ribosome localization (GO:0033750)	8	2	1.40	+	1.43	4.07E-01
spindle checkpoint (GO:0031577)	12	3	2.09	+	1.43	3.48E-01
positive regulation of mRNA processing (GO:0050685)	4	1	.70	+	1.43	5.02E-01
negative regulation of chromosome separation (GO:1905819)	12	3	2.09	+	1.43	3.48E-01
imaginal disc growth (GO:0007446)	12	3	2.09	+	1.43	3.48E-01
anterior midgut (ectodermal) morphogenesis (GO:0007441)	4	1	.70	+	1.43	5.02E-01
response to mechanical stimulus (GO:0009612)	32	8	5.58	+	1.43	2.00E-01
ectodermal digestive tract development (GO:0007439)	8	2	1.40	+	1.43	4.07E-01
RNA decapping (GO:0110154)	8	2	1.40	+	1.43	4.07E-01
plasma membrane invagination (GO:0099024)	24	6	4.19	+	1.43	2.44E-01
mitochondrion distribution (GO:0048311)	12	3	2.09	+	1.43	3.48E-01
purine ribonucleoside biosynthetic process (GO:0046129)	12	3	2.09	+	1.43	3.48E-01
negative regulation of compound eye photoreceptor cell differentiation (GO:0110118)	8	2	1.40	+	1.43	4.07E-01
nuclear envelope organization (GO:0006998)	12	3	2.09	+	1.43	3.48E-01
cellular response to sterol (GO:0036315)	16	4	2.79	+	1.43	3.06E-01
ER-nucleus signaling pathway (GO:0006984)	8	2	1.40	+	1.43	4.07E-01
ether metabolic process (GO:0018904)	4	1	.70	+	1.43	5.02E-01
striated muscle contraction (GO:0006941)	4	1	.70	+	1.43	5.02E-01
substrate-dependent cell migration (GO:0006929)	4	1	.70	+	1.43	5.02E-01
regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)	8	2	1.40	+	1.43	4.07E-01
dorsal closure, elongation of leading edge cells (GO:0007394)	8	2	1.40	+	1.43	4.07E-01
innervation (GO:0060384)	4	1	.70	+	1.43	5.02E-01
regulation of calcium ion-dependent exocytosis (GO:0017158)	8	2	1.40	+	1.43	4.07E-01
regulation of voltage-gated calcium channel activity (GO:1901385)	4	1	.70	+	1.43	5.02E-01
germ-band extension (GO:0007377)	8	2	1.40	+	1.43	4.07E-01
posterior midgut invagination (GO:0007374)	4	1	.70	+	1.43	5.02E-01
hexose catabolic process (GO:0019320)	4	1	.70	+	1.43	5.02E-01
mucopolysaccharide metabolic process (GO:1903510)	4	1	.70	+	1.43	5.02E-01
UTP metabolic process (GO:0046051)	4	1	.70	+	1.43	5.02E-01
pole plasm protein localization (GO:0007318)	12	3	2.09	+	1.43	3.48E-01
glycerophospholipid metabolic process (GO:0006650)	60	15	10.46	+	1.43	1.09E-01
plasma membrane organization (GO:0007009)	20	5	3.49	+	1.43	2.72E-01
phospholipid biosynthetic process (GO:0008654)	28	7	4.88	+	1.43	2.20E-01
imaginal disc-derived wing margin morphogenesis (GO:0008587)	52	13	9.07	+	1.43	1.28E-01
regulated exocytosis (GO:0045055)	56	14	9.77	+	1.43	1.18E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	36	9	6.28	+	1.43	1.82E-01
liquid clearance, open tracheal system (GO:0035002)	20	5	3.49	+	1.43	2.72E-01
regulation of canonical Wnt signaling pathway (GO:0060828)	76	19	13.25	+	1.43	7.90E-02
regulation of proteasomal protein catabolic process (GO:0061136)	40	10	6.98	+	1.43	1.66E-01
mesodermal cell migration (GO:0008078)	20	5	3.49	+	1.43	2.72E-01
cellular response to topologically incorrect protein (GO:0035967)	36	9	6.28	+	1.43	1.82E-01
oxoacid metabolic process (GO:0043436)	160	40	27.90	+	1.43	1.67E-02
negative regulation of protein modification process (GO:0031400)	76	19	13.25	+	1.43	7.90E-02
regulation of circadian rhythm (GO:0042752)	81	20	14.12	+	1.42	8.03E-02
carboxylic acid metabolic process (GO:0019752)	154	38	26.85	+	1.42	2.30E-02
ncRNA metabolic process (GO:0034660)	126	31	21.97	+	1.41	3.83E-02
synapse assembly (GO:0007416)	57	14	9.94	+	1.41	1.30E-01
membrane organization (GO:0061024)	167	41	29.12	+	1.41	2.02E-02
regulation of cellular protein catabolic process (GO:1903362)	49	12	8.54	+	1.40	1.54E-01
imaginal disc-derived wing hair organization (GO:0035317)	45	11	7.85	+	1.40	1.68E-01
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	45	11	7.85	+	1.40	1.68E-01
regulation of Toll signaling pathway (GO:0008592)	45	11	7.85	+	1.40	1.68E-01
signal release (GO:0023061)	86	21	15.00	+	1.40	8.13E-02
cellular lipid metabolic process (GO:0044255)	172	42	29.99	+	1.40	2.04E-02
regulation of response to external stimulus (GO:0032101)	197	48	34.35	+	1.40	1.44E-02
negative regulation of cellular catabolic process (GO:0031330)	37	9	6.45	+	1.39	2.02E-01
response to topologically incorrect protein (GO:0035966)	37	9	6.45	+	1.39	2.02E-01
negative regulation of transport (GO:0051051)	37	9	6.45	+	1.39	2.02E-01
RNA modification (GO:0009451)	33	8	5.75	+	1.39	2.23E-01
cell-cell junction organization (GO:0045216)	66	16	11.51	+	1.39	1.21E-01
lipid modification (GO:0030258)	62	15	10.81	+	1.39	1.31E-01
cellular response to chemical stress (GO:0062197)	29	7	5.06	+	1.38	2.46E-01
regulation of sister chromatid segregation (GO:0033045)	29	7	5.06	+	1.38	2.46E-01
organic acid biosynthetic process (GO:0016053)	58	14	10.11	+	1.38	1.43E-01
carboxylic acid biosynthetic process (GO:0046394)	58	14	10.11	+	1.38	1.43E-01
dephosphorylation (GO:0016311)	83	20	14.47	+	1.38	9.60E-02
regulation of tube architecture, open tracheal system (GO:0035152)	83	20	14.47	+	1.38	9.60E-02
regulation of behavior (GO:0050795)	83	20	14.47	+	1.38	9.60E-02
organophosphate biosynthetic process (GO:0090407)	108	26	18.83	+	1.38	6.58E-02
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	25	6	4.36	+	1.38	2.73E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	25	6	4.36	+	1.38	2.73E-01
mesoderm formation (GO:0001707)	25	6	4.36	+	1.38	2.73E-01
purine nucleoside triphosphate biosynthetic process (GO:0009145)	25	6	4.36	+	1.38	2.73E-01
proton transmembrane transport (GO:1902600)	50	12	8.72	+	1.38	1.70E-01
regulation of mitochondrion organization (GO:0010821)	25	6	4.36	+	1.38	2.73E-01
positive regulation of multicellular organism growth (GO:0040018)	25	6	4.36	+	1.38	2.73E-01
calcium-mediated signaling (GO:0019722)	25	6	4.36	+	1.38	2.73E-01
histone exchange (GO:0043486)	25	6	4.36	+	1.38	2.73E-01
carbohydrate homeostasis (GO:0033500)	46	11	8.02	+	1.37	1.85E-01
non-sensory hair organization (GO:0035316)	46	11	8.02	+	1.37	1.85E-01
hair cell differentiation (GO:0035315)	46	11	8.02	+	1.37	1.85E-01
protein localization to membrane (GO:0072657)	92	22	16.04	+	1.37	8.94E-02
organonitrogen compound biosynthetic process (GO:1901566)	431	103	75.16	+	1.37	8.65E-04
phosphorylation (GO:0016310)	314	75	54.76	+	1.37	4.31E-03
regulation of vesicle-mediated transport (GO:0060627)	109	26	19.01	+	1.37	7.15E-02
exocytosis (GO:0006887)	84	20	14.65	+	1.37	1.04E-01
ATP biosynthetic process (GO:0006754)	21	5	3.66	+	1.37	3.05E-01
'de novo' protein folding (GO:0006458)	21	5	3.66	+	1.37	3.05E-01
eye-antennal disc development (GO:0035214)	63	15	10.99	+	1.37	1.44E-01
synaptic vesicle docking (GO:0016081)	21	5	3.66	+	1.37	3.05E-01
postsynapse organization (GO:0099173)	21	5	3.66	+	1.37	3.05E-01
ribonucleoprotein complex biogenesis (GO:0022613)	156	37	27.20	+	1.36	4.03E-02
neurotransmitter secretion (GO:0007269)	76	18	13.25	+	1.36	1.23E-01
regulation of BMP signaling pathway (GO:0030510)	38	9	6.63	+	1.36	2.23E-01
signal release from synapse (GO:0099643)	76	18	13.25	+	1.36	1.23E-01
regulation of TOR signaling (GO:0032006)	38	9	6.63	+	1.36	2.23E-01
eye-antennal disc morphogenesis (GO:0007455)	38	9	6.63	+	1.36	2.23E-01
phosphate-containing compound metabolic process (GO:0006796)	511	121	89.11	+	1.36	4.29E-04
small molecule biosynthetic process (GO:0044283)	131	31	22.84	+	1.36	5.77E-02
small molecule metabolic process (GO:0044281)	351	83	61.21	+	1.36	3.56E-03
anatomical structure regression (GO:0060033)	55	13	9.59	+	1.36	1.70E-01
purine ribonucleotide biosynthetic process (GO:0009152)	55	13	9.59	+	1.36	1.70E-01
response to fungus (GO:0009620)	55	13	9.59	+	1.36	1.70E-01
negative regulation of cell communication (GO:0010648)	301	71	52.49	+	1.35	7.12E-03
glycolipid metabolic process (GO:0006664)	17	4	2.96	+	1.35	3.45E-01
positive regulation of BMP signaling pathway (GO:0030513)	17	4	2.96	+	1.35	3.45E-01
muscle attachment (GO:0016203)	34	8	5.93	+	1.35	2.46E-01
negative regulation of nuclear division (GO:0051784)	17	4	2.96	+	1.35	3.45E-01
regulation of protein catabolic process (GO:0042176)	68	16	11.86	+	1.35	1.44E-01
regulation of Wnt signaling pathway (GO:0030111)	85	20	14.82	+	1.35	1.13E-01
negative regulation of protein polymerization (GO:0032272)	17	4	2.96	+	1.35	3.45E-01
reactive oxygen species metabolic process (GO:0072593)	17	4	2.96	+	1.35	3.45E-01
skeletal muscle organ development (GO:0060538)	34	8	5.93	+	1.35	2.46E-01
liposaccharide metabolic process (GO:1903509)	17	4	2.96	+	1.35	3.45E-01
negative regulation of signaling (GO:0023057)	302	71	52.66	+	1.35	7.65E-03
response to oxidative stress (GO:0006979)	107	25	18.66	+	1.34	9.03E-02
protein import (GO:0017038)	60	14	10.46	+	1.34	1.70E-01
monosaccharide metabolic process (GO:0005996)	30	7	5.23	+	1.34	2.72E-01
larval chitin-based cuticle development (GO:0008363)	30	7	5.23	+	1.34	2.72E-01
positive regulation of Ras protein signal transduction (GO:0046579)	30	7	5.23	+	1.34	2.72E-01
response to carbohydrate (GO:0009743)	30	7	5.23	+	1.34	2.72E-01
positive regulation of small GTPase mediated signal transduction (GO:0051057)	30	7	5.23	+	1.34	2.72E-01
phosphorus metabolic process (GO:0006793)	519	121	90.50	+	1.34	7.58E-04
neuron maturation (GO:0042551)	43	10	7.50	+	1.33	2.23E-01
defense response to fungus (GO:0050832)	43	10	7.50	+	1.33	2.23E-01
imaginal disc pattern formation (GO:0007447)	99	23	17.26	+	1.33	1.05E-01
instar larval development (GO:0002168)	69	16	12.03	+	1.33	1.57E-01
lipid metabolic process (GO:0006629)	216	50	37.67	+	1.33	2.86E-02
negative regulation of apoptotic process (GO:0043066)	78	18	13.60	+	1.32	1.44E-01
ATP-dependent chromatin remodeling (GO:0043044)	39	9	6.80	+	1.32	2.45E-01
negative regulation of catabolic process (GO:0009895)	39	9	6.80	+	1.32	2.45E-01
negative regulation of response to stimulus (GO:0048585)	325	75	56.67	+	1.32	9.41E-03
establishment of protein localization to plasma membrane (GO:0061951)	13	3	2.27	+	1.32	3.95E-01
inter-male aggressive behavior (GO:0002121)	13	3	2.27	+	1.32	3.95E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	26	6	4.53	+	1.32	3.03E-01
multi-multicellular organism process (GO:0044706)	13	3	2.27	+	1.32	3.95E-01
regulation of apoptotic process involved in development (GO:1904748)	13	3	2.27	+	1.32	3.95E-01
peptidyl-threonine phosphorylation (GO:0018107)	13	3	2.27	+	1.32	3.95E-01
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	13	3	2.27	+	1.32	3.95E-01
protein localization to chromosome (GO:0034502)	13	3	2.27	+	1.32	3.95E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	26	6	4.53	+	1.32	3.03E-01
nuclear RNA surveillance (GO:0071027)	13	3	2.27	+	1.32	3.95E-01
aerobic electron transport chain (GO:0019646)	13	3	2.27	+	1.32	3.95E-01
