




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (1652)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of defense response (GO:0031347)	35	2	3.56	-	.56	3.10E-01
protein localization to extracellular region (GO:0071692)	35	2	3.56	-	.56	3.10E-01
I-kappaB kinase/NF-kappaB signaling (GO:0007249)	53	3	5.39	-	.56	2.14E-01
response to hormone (GO:0009725)	106	6	10.78	-	.56	8.76E-02
regulation of exocytosis (GO:0017157)	53	3	5.39	-	.56	2.14E-01
response to organonitrogen compound (GO:0010243)	124	7	12.61	-	.56	6.55E-02
calcium ion transmembrane transport (GO:0070588)	54	3	5.49	-	.55	2.02E-01
lipoprotein biosynthetic process (GO:0042158)	54	3	5.49	-	.55	2.02E-01
protein lipidation (GO:0006497)	54	3	5.49	-	.55	2.02E-01
cell fate commitment (GO:0045165)	54	3	5.49	-	.55	2.02E-01
spliceosomal complex assembly (GO:0000245)	18	1	1.83	-	.55	4.54E-01
long-chain fatty acid metabolic process (GO:0001676)	18	1	1.83	-	.55	4.54E-01
protein localization to vacuole (GO:0072665)	36	2	3.66	-	.55	2.92E-01
regulation of protein polymerization (GO:0032271)	72	4	7.32	-	.55	1.45E-01
actin filament depolymerization (GO:0030042)	18	1	1.83	-	.55	4.54E-01
amino acid transmembrane transport (GO:0003333)	36	2	3.66	-	.55	2.92E-01
muscle tissue development (GO:0060537)	18	1	1.83	-	.55	4.54E-01
nucleoside phosphate catabolic process (GO:1901292)	18	1	1.83	-	.55	4.54E-01
response to nitrogen compound (GO:1901698)	145	8	14.74	-	.54	4.21E-02
cellular calcium ion homeostasis (GO:0006874)	109	6	11.08	-	.54	7.47E-02
calcium ion homeostasis (GO:0055074)	110	6	11.18	-	.54	7.07E-02
positive regulation of protein-containing complex assembly (GO:0031334)	37	2	3.76	-	.53	2.75E-01
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	130	7	13.22	-	.53	4.76E-02
negative regulation of signal transduction (GO:0009968)	186	10	18.91	-	.53	1.87E-02
negative regulation of apoptotic process (GO:0043066)	56	3	5.69	-	.53	1.80E-01
peptide secretion (GO:0002790)	38	2	3.86	-	.52	2.59E-01
B cell proliferation (GO:0042100)	19	1	1.93	-	.52	4.25E-01
positive regulation of lymphocyte mediated immunity (GO:0002708)	19	1	1.93	-	.52	4.25E-01
maturation of 5.8S rRNA (GO:0000460)	19	1	1.93	-	.52	4.25E-01
embryonic organ development (GO:0048568)	38	2	3.86	-	.52	2.59E-01
negative regulation of programmed cell death (GO:0043069)	57	3	5.79	-	.52	1.70E-01
pyrimidine-containing compound metabolic process (GO:0072527)	19	1	1.93	-	.52	4.25E-01
dendrite morphogenesis (GO:0048813)	19	1	1.93	-	.52	4.25E-01
actin polymerization or depolymerization (GO:0008154)	76	4	7.73	-	.52	1.16E-01
positive regulation of adaptive immune response (GO:0002821)	19	1	1.93	-	.52	4.25E-01
iron ion transport (GO:0006826)	19	1	1.93	-	.52	4.25E-01
protein processing (GO:0016485)	58	3	5.90	-	.51	1.60E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	78	4	7.93	-	.50	1.03E-01
organophosphate ester transport (GO:0015748)	39	2	3.96	-	.50	2.43E-01
sensory organ development (GO:0007423)	39	2	3.96	-	.50	2.43E-01
regulation of vesicle-mediated transport (GO:0060627)	98	5	9.96	-	.50	6.79E-02
vacuole organization (GO:0007033)	60	3	6.10	-	.49	1.42E-01
peptidyl-threonine phosphorylation (GO:0018107)	20	1	2.03	-	.49	3.97E-01
Notch signaling pathway (GO:0007219)	40	2	4.07	-	.49	2.28E-01
regulation of leukocyte migration (GO:0002685)	20	1	2.03	-	.49	3.97E-01
negative regulation of MAPK cascade (GO:0043409)	20	1	2.03	-	.49	3.97E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	20	1	2.03	-	.49	3.97E-01
acylglycerol metabolic process (GO:0006639)	40	2	4.07	-	.49	2.28E-01
neutral lipid metabolic process (GO:0006638)	40	2	4.07	-	.49	2.28E-01
unsaturated fatty acid metabolic process (GO:0033559)	20	1	2.03	-	.49	3.97E-01
regulation of BMP signaling pathway (GO:0030510)	20	1	2.03	-	.49	3.97E-01
autophagosome assembly (GO:0000045)	41	2	4.17	-	.48	2.14E-01
autophagosome organization (GO:1905037)	41	2	4.17	-	.48	2.14E-01
regulation of lymphocyte mediated immunity (GO:0002706)	21	1	2.13	-	.47	3.71E-01
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	21	1	2.13	-	.47	3.71E-01
ATP synthesis coupled electron transport (GO:0042773)	21	1	2.13	-	.47	3.71E-01
positive regulation of cytosolic calcium ion concentration (GO:0007204)	63	3	6.40	-	.47	1.18E-01
cellular response to abiotic stimulus (GO:0071214)	21	1	2.13	-	.47	3.71E-01
head development (GO:0060322)	42	2	4.27	-	.47	2.01E-01
cellular response to environmental stimulus (GO:0104004)	21	1	2.13	-	.47	3.71E-01
positive regulation of canonical Wnt signaling pathway (GO:0090263)	21	1	2.13	-	.47	3.71E-01
brain development (GO:0007420)	42	2	4.27	-	.47	2.01E-01
synapse assembly (GO:0007416)	21	1	2.13	-	.47	3.71E-01
regulation of adaptive immune response (GO:0002819)	21	1	2.13	-	.47	3.71E-01
immune effector process (GO:0002252)	85	4	8.64	-	.46	6.78E-02
lipoprotein metabolic process (GO:0042157)	64	3	6.51	-	.46	1.11E-01
energy derivation by oxidation of organic compounds (GO:0015980)	64	3	6.51	-	.46	1.11E-01
RNA phosphodiester bond hydrolysis (GO:0090501)	43	2	4.37	-	.46	1.88E-01
muscle contraction (GO:0006936)	43	2	4.37	-	.46	1.88E-01
regulation of system process (GO:0044057)	43	2	4.37	-	.46	1.88E-01
protein modification by small protein removal (GO:0070646)	65	3	6.61	-	.45	1.04E-01
regulation of calcium ion transport (GO:0051924)	22	1	2.24	-	.45	3.46E-01
toll-like receptor signaling pathway (GO:0002224)	22	1	2.24	-	.45	3.46E-01
pattern recognition receptor signaling pathway (GO:0002221)	22	1	2.24	-	.45	3.46E-01
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	22	1	2.24	-	.45	3.46E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	22	1	2.24	-	.45	3.46E-01
monocarboxylic acid biosynthetic process (GO:0072330)	45	2	4.57	-	.44	1.65E-01
regulation of microtubule-based process (GO:0032886)	45	2	4.57	-	.44	1.65E-01
negative regulation of organelle organization (GO:0010639)	69	3	7.01	-	.43	8.06E-02
histone deacetylation (GO:0016575)	23	1	2.34	-	.43	3.22E-01
cell fate specification (GO:0001708)	23	1	2.34	-	.43	3.22E-01
response to organic cyclic compound (GO:0014070)	47	2	4.78	-	.42	1.44E-01
positive regulation of transport (GO:0051050)	47	2	4.78	-	.42	1.44E-01
mitochondrial respiratory chain complex assembly (GO:0033108)	24	1	2.44	-	.41	3.00E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	24	1	2.44	-	.41	3.00E-01
protein deacetylation (GO:0006476)	25	1	2.54	-	.39	2.79E-01
amino sugar metabolic process (GO:0006040)	25	1	2.54	-	.39	2.79E-01
nucleobase-containing small molecule biosynthetic process (GO:0034404)	25	1	2.54	-	.39	2.79E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	75	3	7.62	-	.39	5.41E-02
epithelial cell differentiation (GO:0030855)	25	1	2.54	-	.39	2.79E-01
phosphatidylinositol metabolic process (GO:0046488)	77	3	7.83	-	.38	4.72E-02
respiratory electron transport chain (GO:0022904)	26	1	2.64	-	.38	2.59E-01
electron transport chain (GO:0022900)	26	1	2.64	-	.38	2.59E-01
positive regulation of Wnt signaling pathway (GO:0030177)	26	1	2.64	-	.38	2.59E-01
regulation of endocytosis (GO:0030100)	26	1	2.64	-	.38	2.59E-01
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	27	1	2.74	-	.36	2.40E-01
negative regulation of actin filament polymerization (GO:0030837)	27	1	2.74	-	.36	2.40E-01
lymphocyte mediated immunity (GO:0002449)	27	1	2.74	-	.36	2.40E-01
regulation of lipid metabolic process (GO:0019216)	27	1	2.74	-	.36	2.40E-01
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	27	1	2.74	-	.36	2.40E-01
regulation of receptor signaling pathway via STAT (GO:1904892)	27	1	2.74	-	.36	2.40E-01
heart development (GO:0007507)	55	2	5.59	-	.36	8.25E-02
maintenance of location (GO:0051235)	55	2	5.59	-	.36	8.25E-02
divalent metal ion transport (GO:0070838)	111	4	11.28	-	.35	1.22E-02
divalent inorganic cation transport (GO:0072511)	111	4	11.28	-	.35	1.22E-02
calcium ion transport (GO:0006816)	84	3	8.54	-	.35	2.90E-02
leukocyte activation involved in immune response (GO:0002366)	28	1	2.85	-	.35	2.23E-01
phospholipid dephosphorylation (GO:0046839)	29	1	2.95	-	.34	2.07E-01
protein deubiquitination (GO:0016579)	58	2	5.90	-	.34	6.64E-02
cell activation involved in immune response (GO:0002263)	29	1	2.95	-	.34	2.07E-01
action potential (GO:0001508)	30	1	3.05	-	.33	1.92E-01
protein deacylation (GO:0035601)	31	1	3.15	-	.32	1.77E-01
macromolecule deacylation (GO:0098732)	31	1	3.15	-	.32	1.77E-01
cytokinesis (GO:0000910)	31	1	3.15	-	.32	1.77E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	32	1	3.25	-	.31	1.64E-01
B cell activation (GO:0042113)	32	1	3.25	-	.31	1.64E-01
tissue morphogenesis (GO:0048729)	33	1	3.35	-	.30	1.52E-01
cell recognition (GO:0008037)	33	1	3.35	-	.30	1.52E-01
regulation of apoptotic signaling pathway (GO:2001233)	33	1	3.35	-	.30	1.52E-01
receptor signaling pathway via JAK-STAT (GO:0007259)	34	1	3.46	-	.29	1.40E-01
receptor signaling pathway via STAT (GO:0097696)	34	1	3.46	-	.29	1.40E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	37	1	3.76	-	.27	1.10E-01
cell division (GO:0051301)	38	1	3.86	-	.26	1.02E-01
post-Golgi vesicle-mediated transport (GO:0006892)	38	1	3.86	-	.26	1.02E-01
fatty acid biosynthetic process (GO:0006633)	39	1	3.96	-	.25	9.39E-02
maintenance of location in cell (GO:0051651)	40	1	4.07	-	.25	8.66E-02
cellular response to peptide (GO:1901653)	43	1	4.37	-	.23	6.76E-02
muscle structure development (GO:0061061)	43	1	4.37	-	.23	6.76E-02
cellular response to peptide hormone stimulus (GO:0071375)	43	1	4.37	-	.23	6.76E-02
organophosphate catabolic process (GO:0046434)	44	1	4.47	-	.22	6.22E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	52	1	5.29	-	.19	3.16E-02
epithelium development (GO:0060429)	53	1	5.39	-	.19	2.90E-02
response to peptide hormone (GO:0043434)	53	1	5.39	-	.19	2.90E-02
response to peptide (GO:1901652)	54	1	5.49	-	.18	2.66E-02
regulation of Wnt signaling pathway (GO:0030111)	67	1	6.81	-	.15	8.51E-03
intermediate filament cytoskeleton organization (GO:0045104)	13	0	1.32	-	 < 0.01	2.67E-01
cellular component macromolecule biosynthetic process (GO:0070589)	1	0	.10	-	 < 0.01	9.03E-01
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	12	0	1.22	-	 < 0.01	2.95E-01
mitotic cytokinesis (GO:0000281)	13	0	1.32	-	 < 0.01	2.67E-01
sperm-egg recognition (GO:0035036)	13	0	1.32	-	 < 0.01	2.67E-01
cyclic nucleotide metabolic process (GO:0009187)	16	0	1.63	-	 < 0.01	1.96E-01
regulation of neurotransmitter receptor activity (GO:0099601)	19	0	1.93	-	 < 0.01	1.45E-01
oligodendrocyte differentiation (GO:0048709)	5	0	.51	-	 < 0.01	6.01E-01
regulation of lipid biosynthetic process (GO:0046890)	14	0	1.42	-	 < 0.01	2.41E-01
endothelial cell differentiation (GO:0045446)	8	0	.81	-	 < 0.01	4.43E-01
fat cell differentiation (GO:0045444)	4	0	.41	-	 < 0.01	6.66E-01
sensory perception of pain (GO:0019233)	5	0	.51	-	 < 0.01	6.01E-01
regulation of cell projection assembly (GO:0060491)	18	0	1.83	-	 < 0.01	1.60E-01
regulation of AMPA receptor activity (GO:2000311)	14	0	1.42	-	 < 0.01	2.41E-01
striated muscle cell differentiation (GO:0051146)	26	0	2.64	-	 < 0.01	7.10E-02
multivesicular body sorting pathway (GO:0071985)	28	0	2.85	-	 < 0.01	5.79E-02
nucleoside triphosphate catabolic process (GO:0009143)	5	0	.51	-	 < 0.01	6.01E-01
positive regulation of blood pressure (GO:0045777)	3	0	.30	-	 < 0.01	7.37E-01
negative regulation of blood pressure (GO:0045776)	7	0	.71	-	 < 0.01	4.91E-01
protein K63-linked deubiquitination (GO:0070536)	9	0	.91	-	 < 0.01	4.00E-01
regulation of chromatin assembly or disassembly (GO:0001672)	5	0	.51	-	 < 0.01	6.01E-01
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	3	0	.30	-	 < 0.01	7.37E-01
skin development (GO:0043588)	5	0	.51	-	 < 0.01	6.01E-01
meiotic DNA double-strand break formation (GO:0042138)	1	0	.10	-	 < 0.01	9.03E-01
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	7	0	.71	-	 < 0.01	4.91E-01
V(D)J recombination (GO:0033151)	1	0	.10	-	 < 0.01	9.03E-01
calcium ion import (GO:0070509)	17	0	1.73	-	 < 0.01	1.77E-01
negative regulation of Notch signaling pathway (GO:0045746)	7	0	.71	-	 < 0.01	4.91E-01
positive regulation of DNA repair (GO:0045739)	8	0	.81	-	 < 0.01	4.43E-01
odontogenesis of dentin-containing tooth (GO:0042475)	4	0	.41	-	 < 0.01	6.66E-01
cardiolipin biosynthetic process (GO:0032049)	1	0	.10	-	 < 0.01	9.03E-01
carbohydrate transmembrane transport (GO:0034219)	1	0	.10	-	 < 0.01	9.03E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	13	0	1.32	-	 < 0.01	2.67E-01
regulation of meiotic cell cycle (GO:0051445)	8	0	.81	-	 < 0.01	4.43E-01
regulation of cytokine production involved in immune response (GO:0002718)	7	0	.71	-	 < 0.01	4.91E-01
negative regulation of canonical Wnt signaling pathway (GO:0090090)	28	0	2.85	-	 < 0.01	5.79E-02
RNA interference (GO:0016246)	1	0	.10	-	 < 0.01	9.03E-01
negative regulation of macroautophagy (GO:0016242)	6	0	.61	-	 < 0.01	5.43E-01
regulation of production of molecular mediator of immune response (GO:0002700)	10	0	1.02	-	 < 0.01	3.62E-01
calcium ion transport into cytosol (GO:0060402)	22	0	2.24	-	 < 0.01	1.07E-01
cytosolic calcium ion transport (GO:0060401)	25	0	2.54	-	 < 0.01	7.86E-02
specification of symmetry (GO:0009799)	13	0	1.32	-	 < 0.01	2.67E-01
replication fork processing (GO:0031297)	6	0	.61	-	 < 0.01	5.43E-01
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	9	0	.91	-	 < 0.01	4.00E-01
mitochondrial respiratory chain complex II assembly (GO:0034553)	2	0	.20	-	 < 0.01	8.16E-01
post-embryonic development (GO:0009791)	1	0	.10	-	 < 0.01	9.03E-01
lysosomal microautophagy (GO:0016237)	3	0	.30	-	 < 0.01	7.37E-01
collagen fibril organization (GO:0030199)	6	0	.61	-	 < 0.01	5.43E-01
endosome to lysosome transport (GO:0008333)	7	0	.71	-	 < 0.01	4.91E-01
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	2	0	.20	-	 < 0.01	8.16E-01
negative regulation of blood coagulation (GO:0030195)	4	0	.41	-	 < 0.01	6.66E-01
non-motile cilium assembly (GO:1905515)	13	0	1.32	-	 < 0.01	2.67E-01
intracellular sterol transport (GO:0032366)	2	0	.20	-	 < 0.01	8.16E-01
histone deubiquitination (GO:0016578)	4	0	.41	-	 < 0.01	6.66E-01
B cell differentiation (GO:0030183)	16	0	1.63	-	 < 0.01	1.96E-01
cellular component assembly involved in morphogenesis (GO:0010927)	23	0	2.34	-	 < 0.01	9.63E-02
developmental pigmentation (GO:0048066)	4	0	.41	-	 < 0.01	6.66E-01
heart looping (GO:0001947)	11	0	1.12	-	 < 0.01	3.27E-01
negative regulation of Wnt signaling pathway (GO:0030178)	38	0	3.86	-	 < 0.01	2.09E-02
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	6	0	.61	-	 < 0.01	5.43E-01
digestion (GO:0007586)	6	0	.61	-	 < 0.01	5.43E-01
response to nutrient (GO:0007584)	4	0	.41	-	 < 0.01	6.66E-01
cristae formation (GO:0042407)	7	0	.71	-	 < 0.01	4.91E-01
dopamine receptor signaling pathway (GO:0007212)	9	0	.91	-	 < 0.01	4.00E-01
regulation of glucose metabolic process (GO:0010906)	7	0	.71	-	 < 0.01	4.91E-01
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	8	0	.81	-	 < 0.01	4.43E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	3	0	.30	-	 < 0.01	7.37E-01
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	4	0	.41	-	 < 0.01	6.66E-01
protein demethylation (GO:0006482)	11	0	1.12	-	 < 0.01	3.27E-01
protein localization to kinetochore (GO:0034501)	6	0	.61	-	 < 0.01	5.43E-01
alanine transport (GO:0032328)	6	0	.61	-	 < 0.01	5.43E-01
energy reserve metabolic process (GO:0006112)	14	0	1.42	-	 < 0.01	2.41E-01
N-terminal protein amino acid acetylation (GO:0006474)	7	0	.71	-	 < 0.01	4.91E-01
basic amino acid transmembrane transport (GO:1990822)	2	0	.20	-	 < 0.01	8.16E-01
carbohydrate transport (GO:0008643)	1	0	.10	-	 < 0.01	9.03E-01
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	21	0	2.13	-	 < 0.01	1.18E-01
sex differentiation (GO:0007548)	11	0	1.12	-	 < 0.01	3.27E-01
G2 DNA damage checkpoint (GO:0031572)	6	0	.61	-	 < 0.01	5.43E-01
skeletal muscle tissue development (GO:0007519)	3	0	.30	-	 < 0.01	7.37E-01
muscle organ development (GO:0007517)	5	0	.51	-	 < 0.01	6.01E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	9	0	.91	-	 < 0.01	4.00E-01
translational termination (GO:0006415)	8	0	.81	-	 < 0.01	4.43E-01
regulation of complement activation (GO:0030449)	1	0	.10	-	 < 0.01	9.03E-01
chondrocyte differentiation (GO:0002062)	7	0	.71	-	 < 0.01	4.91E-01
C4-dicarboxylate transport (GO:0015740)	6	0	.61	-	 < 0.01	5.43E-01
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	5	0	.51	-	 < 0.01	6.01E-01
positive regulation of response to DNA damage stimulus (GO:2001022)	15	0	1.52	-	 < 0.01	2.17E-01
mitochondrion distribution (GO:0048311)	5	0	.51	-	 < 0.01	6.01E-01
chemical synaptic transmission, postsynaptic (GO:0099565)	14	0	1.42	-	 < 0.01	2.41E-01
ubiquinone biosynthetic process (GO:0006744)	8	0	.81	-	 < 0.01	4.43E-01
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	8	0	.81	-	 < 0.01	4.43E-01
signal transduction by p53 class mediator (GO:0072331)	10	0	1.02	-	 < 0.01	3.62E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	5	0	.51	-	 < 0.01	6.01E-01
glycerophospholipid catabolic process (GO:0046475)	11	0	1.12	-	 < 0.01	3.27E-01
phosphatidylglycerol metabolic process (GO:0046471)	2	0	.20	-	 < 0.01	8.16E-01
phosphatidylcholine metabolic process (GO:0046470)	5	0	.51	-	 < 0.01	6.01E-01
morphogenesis of an epithelium (GO:0002009)	23	0	2.34	-	 < 0.01	9.63E-02
autophagosome maturation (GO:0097352)	9	0	.91	-	 < 0.01	4.00E-01
cellular response to misfolded protein (GO:0071218)	10	0	1.02	-	 < 0.01	3.62E-01
steroid catabolic process (GO:0006706)	5	0	.51	-	 < 0.01	6.01E-01
glycogen biosynthetic process (GO:0005978)	10	0	1.02	-	 < 0.01	3.62E-01
glycogen metabolic process (GO:0005977)	14	0	1.42	-	 < 0.01	2.41E-01
type 2 immune response (GO:0042092)	3	0	.30	-	 < 0.01	7.37E-01
cell wall organization or biogenesis (GO:0071554)	1	0	.10	-	 < 0.01	9.03E-01
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	11	0	1.12	-	 < 0.01	3.27E-01
protein mannosylation (GO:0035268)	8	0	.81	-	 < 0.01	4.43E-01
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	10	0	1.02	-	 < 0.01	3.62E-01
late endosome to vacuole transport (GO:0045324)	24	0	2.44	-	 < 0.01	8.70E-02
gliogenesis (GO:0042063)	10	0	1.02	-	 < 0.01	3.62E-01
B cell activation involved in immune response (GO:0002312)	4	0	.41	-	 < 0.01	6.66E-01
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	16	0	1.63	-	 < 0.01	1.96E-01
folic acid-containing compound biosynthetic process (GO:0009396)	5	0	.51	-	 < 0.01	6.01E-01
protein kinase B signaling (GO:0043491)	11	0	1.12	-	 < 0.01	3.27E-01
phospholipid catabolic process (GO:0009395)	15	0	1.52	-	 < 0.01	2.17E-01
retrograde transport, endosome to plasma membrane (GO:1990126)	8	0	.81	-	 < 0.01	4.43E-01
connective tissue development (GO:0061448)	9	0	.91	-	 < 0.01	4.00E-01
negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)	6	0	.61	-	 < 0.01	5.43E-01
toll-like receptor 4 signaling pathway (GO:0034142)	4	0	.41	-	 < 0.01	6.66E-01
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	10	0	1.02	-	 < 0.01	3.62E-01
intracellular mRNA localization (GO:0008298)	3	0	.30	-	 < 0.01	7.37E-01
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	10	0	1.02	-	 < 0.01	3.62E-01
receptor clustering (GO:0043113)	10	0	1.02	-	 < 0.01	3.62E-01
pigmentation (GO:0043473)	11	0	1.12	-	 < 0.01	3.27E-01
cleavage involved in rRNA processing (GO:0000469)	16	0	1.63	-	 < 0.01	1.96E-01
insulin receptor signaling pathway (GO:0008286)	15	0	1.52	-	 < 0.01	2.17E-01
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	11	0	1.12	-	 < 0.01	3.27E-01
triglyceride biosynthetic process (GO:0019432)	14	0	1.42	-	 < 0.01	2.41E-01
positive regulation of immunoglobulin production (GO:0002639)	3	0	.30	-	 < 0.01	7.37E-01
secondary metabolite biosynthetic process (GO:0044550)	2	0	.20	-	 < 0.01	8.16E-01
type I interferon signaling pathway (GO:0060337)	5	0	.51	-	 < 0.01	6.01E-01
protein prenylation (GO:0018342)	9	0	.91	-	 < 0.01	4.00E-01
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	12	0	1.22	-	 < 0.01	2.95E-01
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	5	0	.51	-	 < 0.01	6.01E-01
negative regulation of autophagy (GO:0010507)	11	0	1.12	-	 < 0.01	3.27E-01
epidermal growth factor receptor signaling pathway (GO:0007173)	20	0	2.03	-	 < 0.01	1.31E-01
liver development (GO:0001889)	3	0	.30	-	 < 0.01	7.37E-01
regulation of autophagosome maturation (GO:1901096)	5	0	.51	-	 < 0.01	6.01E-01
cellular glucan metabolic process (GO:0006073)	14	0	1.42	-	 < 0.01	2.41E-01
microtubule anchoring (GO:0034453)	7	0	.71	-	 < 0.01	4.91E-01
regulation of chromatin assembly (GO:0010847)	3	0	.30	-	 < 0.01	7.37E-01
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	4	0	.41	-	 < 0.01	6.66E-01
muscle cell differentiation (GO:0042692)	30	0	3.05	-	 < 0.01	4.72E-02
phytosteroid metabolic process (GO:0016128)	1	0	.10	-	 < 0.01	9.03E-01
secondary metabolic process (GO:0019748)	7	0	.71	-	 < 0.01	4.91E-01
sterol biosynthetic process (GO:0016126)	14	0	1.42	-	 < 0.01	2.41E-01
regulation of Notch signaling pathway (GO:0008593)	18	0	1.83	-	 < 0.01	1.60E-01
oligosaccharide biosynthetic process (GO:0009312)	2	0	.20	-	 < 0.01	8.16E-01
carotenoid biosynthetic process (GO:0016117)	1	0	.10	-	 < 0.01	9.03E-01
male gonad development (GO:0008584)	6	0	.61	-	 < 0.01	5.43E-01
regulation of centrosome duplication (GO:0010824)	6	0	.61	-	 < 0.01	5.43E-01
steroid hormone mediated signaling pathway (GO:0043401)	7	0	.71	-	 < 0.01	4.91E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	9	0	.91	-	 < 0.01	4.00E-01
nucleus localization (GO:0051647)	5	0	.51	-	 < 0.01	6.01E-01
positive regulation of cell-substrate adhesion (GO:0010811)	6	0	.61	-	 < 0.01	5.43E-01
centrosome localization (GO:0051642)	6	0	.61	-	 < 0.01	5.43E-01
positive regulation of exocytosis (GO:0045921)	9	0	.91	-	 < 0.01	4.00E-01
cell cycle G2/M phase transition (GO:0044839)	21	0	2.13	-	 < 0.01	1.18E-01
actomyosin contractile ring organization (GO:0044837)	2	0	.20	-	 < 0.01	8.16E-01
nucleotide-excision repair, DNA incision (GO:0033683)	5	0	.51	-	 < 0.01	6.01E-01
kidney development (GO:0001822)	5	0	.51	-	 < 0.01	6.01E-01
mitotic DNA replication checkpoint (GO:0033314)	7	0	.71	-	 < 0.01	4.91E-01
somatic recombination of immunoglobulin gene segments (GO:0016447)	3	0	.30	-	 < 0.01	7.37E-01
DNA synthesis involved in DNA repair (GO:0000731)	10	0	1.02	-	 < 0.01	3.62E-01
somatic cell DNA recombination (GO:0016444)	4	0	.41	-	 < 0.01	6.66E-01
iron ion transmembrane transport (GO:0034755)	6	0	.61	-	 < 0.01	5.43E-01
epidermis development (GO:0008544)	9	0	.91	-	 < 0.01	4.00E-01
mitotic G2/M transition checkpoint (GO:0044818)	11	0	1.12	-	 < 0.01	3.27E-01
cell-cell recognition (GO:0009988)	13	0	1.32	-	 < 0.01	2.67E-01
resolution of meiotic recombination intermediates (GO:0000712)	11	0	1.12	-	 < 0.01	3.27E-01
autophagy of nucleus (GO:0044804)	12	0	1.22	-	 < 0.01	2.95E-01
copper ion homeostasis (GO:0055070)	3	0	.30	-	 < 0.01	7.37E-01
piecemeal microautophagy of the nucleus (GO:0034727)	3	0	.30	-	 < 0.01	7.37E-01
septin ring organization (GO:0031106)	2	0	.20	-	 < 0.01	8.16E-01
DNA replication-independent nucleosome organization (GO:0034724)	6	0	.61	-	 < 0.01	5.43E-01
regulation of receptor-mediated endocytosis (GO:0048259)	10	0	1.02	-	 < 0.01	3.62E-01
peripheral nervous system development (GO:0007422)	3	0	.30	-	 < 0.01	7.37E-01
cholesterol biosynthetic process (GO:0006695)	5	0	.51	-	 < 0.01	6.01E-01
prostaglandin metabolic process (GO:0006693)	8	0	.81	-	 < 0.01	4.43E-01
macrophage chemotaxis (GO:0048246)	4	0	.41	-	 < 0.01	6.66E-01
mitochondrial cytochrome c oxidase assembly (GO:0033617)	10	0	1.02	-	 < 0.01	3.62E-01
